eigenvector_centrality,[19  2  8  9]
10,"[tensor(0.0044, device='cuda:4'), tensor(0.0043, device='cuda:4'), tensor(0.0043, device='cuda:4'), tensor(0.0043, device='cuda:4'), tensor(0.0044, device='cuda:4'), tensor(0.0044, device='cuda:4'), tensor(0.0044, device='cuda:4'), tensor(0.0043, device='cuda:4'), tensor(0.0044, device='cuda:4'), tensor(0.0044, device='cuda:4'), tensor(0.0043, device='cuda:4'), tensor(0.0044, device='cuda:4'), tensor(0.0044, device='cuda:4'), tensor(0.0044, device='cuda:4'), tensor(0.0044, device='cuda:4'), tensor(0.0044, device='cuda:4'), tensor(0.0044, device='cuda:4'), tensor(0.0044, device='cuda:4'), tensor(0.0043, device='cuda:4'), tensor(0.0044, device='cuda:4')]"
11,"[tensor(0.0042, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0043, device='cuda:4'), tensor(0.0043, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0043, device='cuda:4'), tensor(0.0043, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0043, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0043, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0043, device='cuda:4')]"
12,"[tensor(0.0042, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0042, device='cuda:4')]"
13,"[tensor(0.0041, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0041, device='cuda:4')]"
14,"[tensor(0.0040, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0041, device='cuda:4')]"
15,"[tensor(0.0039, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0039, device='cuda:4')]"
16,"[tensor(0.0040, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0040, device='cuda:4')]"
17,"[tensor(0.0039, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0039, device='cuda:4')]"
18,"[tensor(0.0039, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0039, device='cuda:4')]"
19,"[tensor(0.0038, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0038, device='cuda:4')]"
20,"[tensor(0.0038, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0039, device='cuda:4')]"
21,"[tensor(0.0038, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0037, device='cuda:4')]"
22,"[tensor(0.0038, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0036, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0038, device='cuda:4')]"
23,"[tensor(0.0037, device='cuda:4'), tensor(0.0036, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0036, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0036, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0037, device='cuda:4')]"
24,"[tensor(0.0037, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0036, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0036, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0036, device='cuda:4'), tensor(0.0036, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0036, device='cuda:4'), tensor(0.0037, device='cuda:4')]"
25,"[tensor(0.0037, device='cuda:4'), tensor(0.0036, device='cuda:4'), tensor(0.0036, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0036, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0036, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0036, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0036, device='cuda:4'), tensor(0.0036, device='cuda:4'), tensor(0.0036, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0037, device='cuda:4')]"
26,"[tensor(0.0036, device='cuda:4'), tensor(0.0036, device='cuda:4'), tensor(0.0036, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0036, device='cuda:4'), tensor(0.0036, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0036, device='cuda:4'), tensor(0.0036, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0036, device='cuda:4'), tensor(0.0036, device='cuda:4'), tensor(0.0036, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0036, device='cuda:4'), tensor(0.0037, device='cuda:4')]"
27,"[tensor(0.0037, device='cuda:4'), tensor(0.0036, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0036, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0035, device='cuda:4'), tensor(0.0036, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0036, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0036, device='cuda:4')]"
28,"[tensor(0.0037, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0036, device='cuda:4'), tensor(0.0036, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0036, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0036, device='cuda:4'), tensor(0.0037, device='cuda:4')]"
29,"[tensor(0.0038, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0035, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0036, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0036, device='cuda:4')]"
30,"[tensor(0.0037, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0036, device='cuda:4'), tensor(0.0036, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0036, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0036, device='cuda:4'), tensor(0.0037, device='cuda:4')]"
31,"[tensor(0.0037, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0035, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0035, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0036, device='cuda:4')]"
32,"[tensor(0.0036, device='cuda:4'), tensor(0.0036, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0036, device='cuda:4'), tensor(0.0036, device='cuda:4'), tensor(0.0036, device='cuda:4'), tensor(0.0036, device='cuda:4'), tensor(0.0035, device='cuda:4'), tensor(0.0036, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0035, device='cuda:4'), tensor(0.0035, device='cuda:4'), tensor(0.0036, device='cuda:4'), tensor(0.0035, device='cuda:4'), tensor(0.0036, device='cuda:4'), tensor(0.0036, device='cuda:4'), tensor(0.0036, device='cuda:4'), tensor(0.0036, device='cuda:4'), tensor(0.0035, device='cuda:4'), tensor(0.0037, device='cuda:4')]"
33,"[tensor(0.0036, device='cuda:4'), tensor(0.0036, device='cuda:4'), tensor(0.0035, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0036, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0036, device='cuda:4'), tensor(0.0034, device='cuda:4'), tensor(0.0036, device='cuda:4'), tensor(0.0036, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0036, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0036, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0036, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0036, device='cuda:4')]"
34,"[tensor(0.0034, device='cuda:4'), tensor(0.0034, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0035, device='cuda:4'), tensor(0.0035, device='cuda:4'), tensor(0.0035, device='cuda:4'), tensor(0.0035, device='cuda:4'), tensor(0.0034, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0034, device='cuda:4'), tensor(0.0034, device='cuda:4'), tensor(0.0035, device='cuda:4'), tensor(0.0034, device='cuda:4'), tensor(0.0034, device='cuda:4'), tensor(0.0034, device='cuda:4'), tensor(0.0034, device='cuda:4'), tensor(0.0034, device='cuda:4'), tensor(0.0034, device='cuda:4'), tensor(0.0037, device='cuda:4')]"
35,"[tensor(0.0036, device='cuda:4'), tensor(0.0036, device='cuda:4'), tensor(0.0034, device='cuda:4'), tensor(0.0036, device='cuda:4'), tensor(0.0036, device='cuda:4'), tensor(0.0036, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0036, device='cuda:4'), tensor(0.0034, device='cuda:4'), tensor(0.0033, device='cuda:4'), tensor(0.0035, device='cuda:4'), tensor(0.0036, device='cuda:4'), tensor(0.0036, device='cuda:4'), tensor(0.0036, device='cuda:4'), tensor(0.0036, device='cuda:4'), tensor(0.0036, device='cuda:4'), tensor(0.0036, device='cuda:4'), tensor(0.0036, device='cuda:4'), tensor(0.0036, device='cuda:4'), tensor(0.0034, device='cuda:4')]"
