eigenvector_centrality,[7. 9.]
18,"[tensor(2.0601), tensor(2.0991), tensor(1.9626), tensor(1.9871), tensor(2.0668), tensor(1.9718), tensor(2.0373), tensor(1.9804), tensor(2.0215), tensor(1.9401)]"
19,"[tensor(1.9632), tensor(1.9355), tensor(2.0087), tensor(2.0115), tensor(1.9462), tensor(1.9798), tensor(1.9724), tensor(2.0702), tensor(1.9942), tensor(2.0623)]"
20,"[tensor(1.9843), tensor(2.0592), tensor(1.9475), tensor(1.9730), tensor(2.0262), tensor(1.9722), tensor(1.9635), tensor(1.9553), tensor(1.9638), tensor(1.9119)]"
21,"[tensor(1.9731), tensor(1.9074), tensor(1.9553), tensor(1.9743), tensor(1.9104), tensor(1.9331), tensor(1.9878), tensor(2.0044), tensor(2.0022), tensor(2.0053)]"
22,"[tensor(1.9091), tensor(2.0072), tensor(1.9526), tensor(1.9656), tensor(1.9781), tensor(1.9636), tensor(1.9071), tensor(1.9658), tensor(1.9250), tensor(1.8896)]"
23,"[tensor(1.9790), tensor(1.8985), tensor(1.9164), tensor(1.9337), tensor(1.8919), tensor(1.9043), tensor(1.9946), tensor(1.9570), tensor(1.9987), tensor(1.9392)]"
24,"[tensor(1.8606), tensor(1.9353), tensor(1.9296), tensor(1.9420), tensor(1.9333), tensor(1.9509), tensor(1.8637), tensor(1.9655), tensor(1.8954), tensor(1.8984)]"
25,"[tensor(1.9742), tensor(1.9016), tensor(1.8797), tensor(1.8948), tensor(1.8757), tensor(1.8722), tensor(1.9822), tensor(1.9181), tensor(1.9754), tensor(1.8714)]"
26,"[tensor(1.8261), tensor(1.8662), tensor(1.9061), tensor(1.9161), tensor(1.8934), tensor(1.9289), tensor(1.8311), tensor(1.8839), tensor(1.8691), tensor(1.8606)]"
27,"[tensor(1.8513), tensor(1.8412), tensor(1.8073), tensor(1.8149), tensor(1.8337), tensor(1.7904), tensor(1.8441), tensor(1.9420), tensor(1.8270), tensor(1.8925)]"
28,"[tensor(1.8366), tensor(1.8646), tensor(1.8836), tensor(1.9147), tensor(1.8846), tensor(1.8517), tensor(1.7995), tensor(1.7996), tensor(1.8370), tensor(1.8592)]"
29,"[tensor(1.8131), tensor(1.8032), tensor(1.8087), tensor(1.7951), tensor(1.7992), tensor(1.7879), tensor(1.8081), tensor(1.9217), tensor(1.8112), tensor(1.8037)]"
30,"[tensor(1.8316), tensor(1.8440), tensor(1.8326), tensor(1.8765), tensor(1.8794), tensor(1.8090), tensor(1.7892), tensor(1.7980), tensor(1.8183), tensor(1.8678)]"
31,"[tensor(1.8052), tensor(1.7838), tensor(1.8155), tensor(1.7852), tensor(1.7693), tensor(1.7889), tensor(1.8212), tensor(1.8984), tensor(1.8344), tensor(1.7741)]"
32,"[tensor(1.8114), tensor(1.8284), tensor(1.8101), tensor(1.8542), tensor(1.8728), tensor(1.8104), tensor(1.7692), tensor(1.7904), tensor(1.7948), tensor(1.8769)]"
33,"[tensor(1.8242), tensor(1.8006), tensor(1.8195), tensor(1.7923), tensor(1.7492), tensor(1.8055), tensor(1.8398), tensor(1.8818), tensor(1.8496), tensor(1.7427)]"
34,"[tensor(1.7965), tensor(1.8188), tensor(1.7920), tensor(1.8339), tensor(1.8763), tensor(1.7993), tensor(1.7590), tensor(1.8001), tensor(1.7737), tensor(1.8893)]"
35,"[tensor(1.8412), tensor(1.8222), tensor(1.8176), tensor(1.8115), tensor(1.7569), tensor(1.8058), tensor(1.8411), tensor(1.8522), tensor(1.8502), tensor(1.7417)]"
36,"[tensor(1.7697), tensor(1.7939), tensor(1.7714), tensor(1.8014), tensor(1.8333), tensor(1.7603), tensor(1.7525), tensor(1.8505), tensor(1.7641), tensor(1.8849)]"
37,"[tensor(1.8329), tensor(1.8208), tensor(1.7999), tensor(1.8118), tensor(1.7674), tensor(1.7883), tensor(1.8230), tensor(1.8139), tensor(1.8258), tensor(1.7436)]"
38,"[tensor(1.7653), tensor(1.7900), tensor(1.7744), tensor(1.7935), tensor(1.7846), tensor(1.7594), tensor(1.7623), tensor(1.8642), tensor(1.7669), tensor(1.8580)]"
39,"[tensor(1.8260), tensor(1.8186), tensor(1.8054), tensor(1.8136), tensor(1.7884), tensor(1.7921), tensor(1.8138), tensor(1.8264), tensor(1.8210), tensor(1.7689)]"
40,"[tensor(1.7876), tensor(1.8079), tensor(1.8031), tensor(1.8179), tensor(1.7999), tensor(1.7862), tensor(1.7861), tensor(1.8602), tensor(1.7982), tensor(1.8482)]"
41,"[tensor(1.8369), tensor(1.8298), tensor(1.8307), tensor(1.8309), tensor(1.8093), tensor(1.8142), tensor(1.8198), tensor(1.8300), tensor(1.8320), tensor(1.7693)]"
42,"[tensor(1.7962), tensor(1.8122), tensor(1.8152), tensor(1.8232), tensor(1.8140), tensor(1.7990), tensor(1.7881), tensor(1.8673), tensor(1.8046), tensor(1.8583)]"
43,"[tensor(1.8459), tensor(1.8377), tensor(1.8410), tensor(1.8508), tensor(1.8219), tensor(1.8238), tensor(1.8212), tensor(1.8087), tensor(1.8402), tensor(1.7595)]"
44,"[tensor(1.7735), tensor(1.7750), tensor(1.8023), tensor(1.7795), tensor(1.8066), tensor(1.7860), tensor(1.7645), tensor(1.8968), tensor(1.7787), tensor(1.8865)]"
45,"[tensor(1.8586), tensor(1.8472), tensor(1.8465), tensor(1.8756), tensor(1.8448), tensor(1.8312), tensor(1.8256), tensor(1.7483), tensor(1.8457), tensor(1.7516)]"
46,"[tensor(1.7379), tensor(1.7438), tensor(1.7823), tensor(1.7517), tensor(1.7518), tensor(1.7715), tensor(1.7241), tensor(1.9259), tensor(1.7350), tensor(1.8923)]"
47,"[tensor(1.8730), tensor(1.8581), tensor(1.8412), tensor(1.8829), tensor(1.8591), tensor(1.8350), tensor(1.8315), tensor(1.6976), tensor(1.8435), tensor(1.7215)]"
48,"[tensor(1.7292), tensor(1.7315), tensor(1.7740), tensor(1.7338), tensor(1.7300), tensor(1.7678), tensor(1.7302), tensor(1.9338), tensor(1.7328), tensor(1.8923)]"
49,"[tensor(1.8898), tensor(1.8732), tensor(1.8439), tensor(1.8914), tensor(1.8739), tensor(1.8437), tensor(1.8466), tensor(1.6913), tensor(1.8479), tensor(1.7226)]"
50,"[tensor(1.7448), tensor(1.7505), tensor(1.7987), tensor(1.7521), tensor(1.7524), tensor(1.7915), tensor(1.7662), tensor(1.9362), tensor(1.7565), tensor(1.8900)]"
51,"[tensor(1.8955), tensor(1.8807), tensor(1.8527), tensor(1.8921), tensor(1.8853), tensor(1.8492), tensor(1.8603), tensor(1.7133), tensor(1.8578), tensor(1.7447)]"
52,"[tensor(1.7643), tensor(1.7700), tensor(1.8102), tensor(1.7736), tensor(1.7672), tensor(1.7952), tensor(1.7883), tensor(1.9372), tensor(1.7821), tensor(1.8813)]"
53,"[tensor(1.8772), tensor(1.8674), tensor(1.8441), tensor(1.8806), tensor(1.8729), tensor(1.8288), tensor(1.8464), tensor(1.7389), tensor(1.8461), tensor(1.7885)]"
54,"[tensor(1.7928), tensor(1.8016), tensor(1.8191), tensor(1.8120), tensor(1.7784), tensor(1.7915), tensor(1.7987), tensor(1.9337), tensor(1.7981), tensor(1.8675)]"
55,"[tensor(1.8632), tensor(1.8582), tensor(1.8442), tensor(1.8698), tensor(1.8614), tensor(1.8225), tensor(1.8437), tensor(1.7721), tensor(1.8445), tensor(1.8385)]"
56,"[tensor(1.8270), tensor(1.8325), tensor(1.8475), tensor(1.8481), tensor(1.8130), tensor(1.8149), tensor(1.8199), tensor(1.9343), tensor(1.8272), tensor(1.8668)]"
57,"[tensor(1.8914), tensor(1.8821), tensor(1.8785), tensor(1.8894), tensor(1.8888), tensor(1.8631), tensor(1.8663), tensor(1.7948), tensor(1.8697), tensor(1.8466)]"
58,"[tensor(1.8696), tensor(1.8697), tensor(1.8831), tensor(1.8757), tensor(1.8502), tensor(1.8552), tensor(1.8546), tensor(1.9504), tensor(1.8622), tensor(1.9008)]"
59,"[tensor(1.9316), tensor(1.9170), tensor(1.9236), tensor(1.9243), tensor(1.9223), tensor(1.9190), tensor(1.9070), tensor(1.8343), tensor(1.9111), tensor(1.8553)]"
60,"[tensor(1.9084), tensor(1.9081), tensor(1.9291), tensor(1.9172), tensor(1.8914), tensor(1.9141), tensor(1.8999), tensor(1.9780), tensor(1.9070), tensor(1.9340)]"
61,"[tensor(1.9647), tensor(1.9513), tensor(1.9557), tensor(1.9545), tensor(1.9560), tensor(1.9591), tensor(1.9473), tensor(1.9011), tensor(1.9476), tensor(1.9268)]"
62,"[tensor(1.9571), tensor(1.9605), tensor(1.9722), tensor(1.9823), tensor(1.9363), tensor(1.9619), tensor(1.9521), tensor(1.9941), tensor(1.9597), tensor(1.9302)]"
63,"[tensor(1.9800), tensor(1.9690), tensor(1.9679), tensor(1.9689), tensor(1.9762), tensor(1.9711), tensor(1.9652), tensor(1.9761), tensor(1.9648), tensor(1.9833)]"
64,"[tensor(1.9696), tensor(1.9762), tensor(1.9744), tensor(2.0021), tensor(1.9461), tensor(1.9645), tensor(1.9685), tensor(1.9890), tensor(1.9729), tensor(1.9388)]"
65,"[tensor(1.9808), tensor(1.9711), tensor(1.9509), tensor(1.9669), tensor(1.9795), tensor(1.9520), tensor(1.9572), tensor(2.0107), tensor(1.9450), tensor(2.0120)]"
66,"[tensor(1.9821), tensor(1.9863), tensor(1.9809), tensor(2.0193), tensor(1.9530), tensor(1.9662), tensor(1.9816), tensor(1.9651), tensor(1.9884), tensor(1.9191)]"
67,"[tensor(1.9118), tensor(1.9048), tensor(1.9170), tensor(1.9066), tensor(1.9773), tensor(1.9107), tensor(1.8996), tensor(2.0405), tensor(1.8913), tensor(2.0292)]"
68,"[tensor(1.9792), tensor(1.9890), tensor(1.9780), tensor(2.0205), tensor(1.9605), tensor(1.9469), tensor(1.9802), tensor(1.8983), tensor(1.9848), tensor(1.8952)]"
69,"[tensor(1.8825), tensor(1.8753), tensor(1.9044), tensor(1.8747), tensor(1.8947), tensor(1.8969), tensor(1.8678), tensor(2.0553), tensor(1.8678), tensor(2.0189)]"
70,"[tensor(1.9903), tensor(2.0008), tensor(1.9839), tensor(2.0311), tensor(1.9829), tensor(1.9605), tensor(1.9788), tensor(1.8694), tensor(1.9848), tensor(1.8764)]"
71,"[tensor(1.8853), tensor(1.8739), tensor(1.9674), tensor(1.8719), tensor(1.8779), tensor(1.9583), tensor(1.9015), tensor(2.0608), tensor(1.8936), tensor(2.0164)]"
72,"[tensor(2.0170), tensor(2.0275), tensor(2.0083), tensor(2.0495), tensor(2.0089), tensor(1.9914), tensor(1.9982), tensor(1.8757), tensor(1.9978), tensor(1.8773)]"
73,"[tensor(1.9313), tensor(1.9099), tensor(2.0222), tensor(1.9041), tensor(1.9093), tensor(2.0185), tensor(1.9777), tensor(2.0771), tensor(1.9814), tensor(2.0198)]"
74,"[tensor(2.0475), tensor(2.0614), tensor(2.0478), tensor(2.0824), tensor(2.0469), tensor(2.0343), tensor(2.0292), tensor(1.9306), tensor(2.0244), tensor(1.9329)]"
75,"[tensor(2.0404), tensor(2.0154), tensor(2.0730), tensor(1.9842), tensor(1.9848), tensor(2.0690), tensor(2.0536), tensor(2.0808), tensor(2.0640), tensor(1.9734)]"
76,"[tensor(2.0539), tensor(2.0694), tensor(2.0693), tensor(2.0914), tensor(2.0772), tensor(2.0603), tensor(2.0373), tensor(2.0480), tensor(2.0267), tensor(2.0818)]"
77,"[tensor(2.1067), tensor(2.0955), tensor(2.1063), tensor(2.0978), tensor(2.0675), tensor(2.0978), tensor(2.1083), tensor(2.0324), tensor(2.1091), tensor(2.0039)]"
78,"[tensor(2.0409), tensor(2.0489), tensor(2.0722), tensor(2.0557), tensor(2.0514), tensor(2.0691), tensor(2.0421), tensor(2.1365), tensor(2.0409), tensor(2.1107)]"
79,"[tensor(2.1161), tensor(2.1096), tensor(2.1107), tensor(2.1191), tensor(2.1149), tensor(2.1035), tensor(2.1079), tensor(2.0467), tensor(2.1081), tensor(2.0370)]"
80,"[tensor(2.0780), tensor(2.0837), tensor(2.1052), tensor(2.1008), tensor(2.0852), tensor(2.0941), tensor(2.0861), tensor(2.1343), tensor(2.0915), tensor(2.1211)]"
81,"[tensor(2.1304), tensor(2.1280), tensor(2.1325), tensor(2.1335), tensor(2.1358), tensor(2.1250), tensor(2.1269), tensor(2.1141), tensor(2.1251), tensor(2.1022)]"
82,"[tensor(2.1280), tensor(2.1343), tensor(2.1535), tensor(2.1516), tensor(2.1282), tensor(2.1427), tensor(2.1374), tensor(2.1174), tensor(2.1419), tensor(2.1148)]"
83,"[tensor(2.1523), tensor(2.1530), tensor(2.1516), tensor(2.1510), tensor(2.1552), tensor(2.1421), tensor(2.1529), tensor(2.1719), tensor(2.1512), tensor(2.1577)]"
84,"[tensor(2.1736), tensor(2.1802), tensor(2.1931), tensor(2.1939), tensor(2.1720), tensor(2.1830), tensor(2.1811), tensor(2.1039), tensor(2.1861), tensor(2.1053)]"
85,"[tensor(2.1125), tensor(2.1139), tensor(2.1602), tensor(2.1079), tensor(2.1317), tensor(2.1520), tensor(2.1205), tensor(2.2011), tensor(2.1172), tensor(2.1874)]"
86,"[tensor(2.1730), tensor(2.1812), tensor(2.1855), tensor(2.1973), tensor(2.1711), tensor(2.1718), tensor(2.1769), tensor(2.0803), tensor(2.1790), tensor(2.0864)]"
87,"[tensor(2.0942), tensor(2.0972), tensor(2.1411), tensor(2.0964), tensor(2.1119), tensor(2.1323), tensor(2.1024), tensor(2.1957), tensor(2.0985), tensor(2.1851)]"
88,"[tensor(2.1570), tensor(2.1662), tensor(2.1668), tensor(2.1848), tensor(2.1531), tensor(2.1513), tensor(2.1576), tensor(2.0731), tensor(2.1607), tensor(2.0756)]"
89,"[tensor(2.0835), tensor(2.0860), tensor(2.1338), tensor(2.0896), tensor(2.1045), tensor(2.1245), tensor(2.0930), tensor(2.1821), tensor(2.0885), tensor(2.1715)]"
90,"[tensor(2.1469), tensor(2.1567), tensor(2.1567), tensor(2.1783), tensor(2.1436), tensor(2.1411), tensor(2.1477), tensor(2.0695), tensor(2.1520), tensor(2.0718)]"
91,"[tensor(2.0919), tensor(2.0931), tensor(2.1477), tensor(2.0918), tensor(2.1112), tensor(2.1375), tensor(2.1115), tensor(2.1747), tensor(2.1071), tensor(2.1641)]"
92,"[tensor(2.1565), tensor(2.1660), tensor(2.1681), tensor(2.1817), tensor(2.1502), tensor(2.1555), tensor(2.1596), tensor(2.0855), tensor(2.1620), tensor(2.0775)]"
93,"[tensor(2.1173), tensor(2.1162), tensor(2.1709), tensor(2.1079), tensor(2.1432), tensor(2.1640), tensor(2.1452), tensor(2.1902), tensor(2.1369), tensor(2.1813)]"
94,"[tensor(2.1848), tensor(2.1902), tensor(2.1935), tensor(2.2029), tensor(2.1753), tensor(2.1839), tensor(2.1896), tensor(2.1019), tensor(2.1881), tensor(2.0891)]"
95,"[tensor(2.1358), tensor(2.1377), tensor(2.1834), tensor(2.1273), tensor(2.1651), tensor(2.1819), tensor(2.1553), tensor(2.2171), tensor(2.1481), tensor(2.2039)]"
96,"[tensor(2.2047), tensor(2.2085), tensor(2.2071), tensor(2.2182), tensor(2.1963), tensor(2.1993), tensor(2.2092), tensor(2.1094), tensor(2.2067), tensor(2.1080)]"
97,"[tensor(2.1489), tensor(2.1502), tensor(2.1875), tensor(2.1414), tensor(2.1791), tensor(2.1931), tensor(2.1655), tensor(2.2295), tensor(2.1585), tensor(2.2174)]"
98,"[tensor(2.2159), tensor(2.2174), tensor(2.2128), tensor(2.2274), tensor(2.2024), tensor(2.2054), tensor(2.2172), tensor(2.1270), tensor(2.2154), tensor(2.1263)]"
99,"[tensor(2.1547), tensor(2.1531), tensor(2.1914), tensor(2.1460), tensor(2.1887), tensor(2.2006), tensor(2.1657), tensor(2.2270), tensor(2.1615), tensor(2.2176)]"
