eigenvector_centrality,[7.]
19,"[tensor(2.2966), tensor(2.2949), tensor(2.2889), tensor(2.2897), tensor(2.2978), tensor(2.2902), tensor(2.2942), tensor(2.2852), tensor(2.2928), tensor(2.2860)]"
20,"[tensor(2.2941), tensor(2.2884), tensor(2.2877), tensor(2.2798), tensor(2.2930), tensor(2.2909), tensor(2.2897), tensor(2.2953), tensor(2.2855), tensor(2.2951)]"
21,"[tensor(2.2944), tensor(2.2937), tensor(2.2865), tensor(2.2885), tensor(2.2969), tensor(2.2870), tensor(2.2921), tensor(2.2823), tensor(2.2904), tensor(2.2835)]"
22,"[tensor(2.2921), tensor(2.2847), tensor(2.2840), tensor(2.2750), tensor(2.2901), tensor(2.2884), tensor(2.2872), tensor(2.2935), tensor(2.2826), tensor(2.2940)]"
23,"[tensor(2.2922), tensor(2.2910), tensor(2.2839), tensor(2.2901), tensor(2.2957), tensor(2.2835), tensor(2.2894), tensor(2.2784), tensor(2.2873), tensor(2.2798)]"
24,"[tensor(2.2901), tensor(2.2817), tensor(2.2803), tensor(2.2727), tensor(2.2863), tensor(2.2873), tensor(2.2837), tensor(2.2920), tensor(2.2787), tensor(2.2924)]"
25,"[tensor(2.2895), tensor(2.2891), tensor(2.2836), tensor(2.2903), tensor(2.2939), tensor(2.2802), tensor(2.2854), tensor(2.2740), tensor(2.2862), tensor(2.2756)]"
26,"[tensor(2.2883), tensor(2.2790), tensor(2.2774), tensor(2.2687), tensor(2.2822), tensor(2.2858), tensor(2.2818), tensor(2.2899), tensor(2.2762), tensor(2.2904)]"
27,"[tensor(2.2857), tensor(2.2889), tensor(2.2871), tensor(2.2898), tensor(2.2919), tensor(2.2783), tensor(2.2834), tensor(2.2737), tensor(2.2863), tensor(2.2724)]"
28,"[tensor(2.2859), tensor(2.2766), tensor(2.2746), tensor(2.2659), tensor(2.2803), tensor(2.2843), tensor(2.2816), tensor(2.2868), tensor(2.2764), tensor(2.2883)]"
29,"[tensor(2.2842), tensor(2.2849), tensor(2.2856), tensor(2.2884), tensor(2.2890), tensor(2.2770), tensor(2.2791), tensor(2.2749), tensor(2.2813), tensor(2.2726)]"
30,"[tensor(2.2838), tensor(2.2743), tensor(2.2724), tensor(2.2670), tensor(2.2789), tensor(2.2807), tensor(2.2803), tensor(2.2775), tensor(2.2712), tensor(2.2847)]"
31,"[tensor(2.2792), tensor(2.2724), tensor(2.2784), tensor(2.2806), tensor(2.2803), tensor(2.2699), tensor(2.2697), tensor(2.2744), tensor(2.2670), tensor(2.2659)]"
32,"[tensor(2.2767), tensor(2.2625), tensor(2.2621), tensor(2.2596), tensor(2.2738), tensor(2.2689), tensor(2.2710), tensor(2.2659), tensor(2.2598), tensor(2.2730)]"
33,"[tensor(2.2693), tensor(2.2571), tensor(2.2672), tensor(2.2704), tensor(2.2735), tensor(2.2576), tensor(2.2575), tensor(2.2672), tensor(2.2531), tensor(2.2532)]"
34,"[tensor(2.2660), tensor(2.2470), tensor(2.2498), tensor(2.2456), tensor(2.2636), tensor(2.2554), tensor(2.2639), tensor(2.2523), tensor(2.2472), tensor(2.2633)]"
35,"[tensor(2.2574), tensor(2.2412), tensor(2.2590), tensor(2.2604), tensor(2.2604), tensor(2.2418), tensor(2.2468), tensor(2.2483), tensor(2.2368), tensor(2.2400)]"
36,"[tensor(2.2553), tensor(2.2303), tensor(2.2371), tensor(2.2291), tensor(2.2471), tensor(2.2388), tensor(2.2524), tensor(2.2415), tensor(2.2308), tensor(2.2462)]"
37,"[tensor(2.2475), tensor(2.2234), tensor(2.2452), tensor(2.2477), tensor(2.2497), tensor(2.2248), tensor(2.2333), tensor(2.2416), tensor(2.2182), tensor(2.2209)]"
38,"[tensor(2.2458), tensor(2.2203), tensor(2.2250), tensor(2.2123), tensor(2.2366), tensor(2.2268), tensor(2.2412), tensor(2.2186), tensor(2.2210), tensor(2.2350)]"
39,"[tensor(2.2371), tensor(2.2071), tensor(2.2326), tensor(2.2335), tensor(2.2352), tensor(2.2101), tensor(2.2206), tensor(2.2368), tensor(2.2031), tensor(2.2052)]"
40,"[tensor(2.2365), tensor(2.2208), tensor(2.2154), tensor(2.2034), tensor(2.2341), tensor(2.2198), tensor(2.2284), tensor(2.2019), tensor(2.2152), tensor(2.2264)]"
41,"[tensor(2.2330), tensor(2.2042), tensor(2.2246), tensor(2.2242), tensor(2.2217), tensor(2.2033), tensor(2.2149), tensor(2.2340), tensor(2.1974), tensor(2.2000)]"
42,"[tensor(2.2322), tensor(2.2244), tensor(2.2089), tensor(2.1981), tensor(2.2353), tensor(2.2197), tensor(2.2264), tensor(2.1903), tensor(2.2168), tensor(2.2232)]"
43,"[tensor(2.2198), tensor(2.2014), tensor(2.2301), tensor(2.2259), tensor(2.2093), tensor(2.2179), tensor(2.2063), tensor(2.2324), tensor(2.2175), tensor(2.2243)]"
44,"[tensor(2.2380), tensor(2.2376), tensor(2.2186), tensor(2.2149), tensor(2.2349), tensor(2.2267), tensor(2.2348), tensor(2.1898), tensor(2.2281), tensor(2.2266)]"
45,"[tensor(2.2154), tensor(2.2097), tensor(2.2421), tensor(2.2350), tensor(2.2115), tensor(2.2335), tensor(2.2134), tensor(2.2421), tensor(2.2309), tensor(2.2357)]"
46,"[tensor(2.2487), tensor(2.2500), tensor(2.2392), tensor(2.2372), tensor(2.2427), tensor(2.2363), tensor(2.2477), tensor(2.2138), tensor(2.2424), tensor(2.2352)]"
47,"[tensor(2.2334), tensor(2.2397), tensor(2.2600), tensor(2.2522), tensor(2.2368), tensor(2.2512), tensor(2.2412), tensor(2.2498), tensor(2.2504), tensor(2.2530)]"
48,"[tensor(2.2651), tensor(2.2680), tensor(2.2644), tensor(2.2600), tensor(2.2564), tensor(2.2556), tensor(2.2678), tensor(2.2369), tensor(2.2623), tensor(2.2559)]"
49,"[tensor(2.2567), tensor(2.2624), tensor(2.2729), tensor(2.2643), tensor(2.2541), tensor(2.2663), tensor(2.2627), tensor(2.2644), tensor(2.2625), tensor(2.2601)]"
50,"[tensor(2.2728), tensor(2.2712), tensor(2.2707), tensor(2.2656), tensor(2.2661), tensor(2.2650), tensor(2.2721), tensor(2.2564), tensor(2.2664), tensor(2.2640)]"
51,"[tensor(2.2672), tensor(2.2678), tensor(2.2719), tensor(2.2672), tensor(2.2655), tensor(2.2653), tensor(2.2691), tensor(2.2565), tensor(2.2661), tensor(2.2633)]"
52,"[tensor(2.2627), tensor(2.2564), tensor(2.2597), tensor(2.2487), tensor(2.2540), tensor(2.2592), tensor(2.2598), tensor(2.2622), tensor(2.2535), tensor(2.2537)]"
53,"[tensor(2.2607), tensor(2.2490), tensor(2.2487), tensor(2.2624), tensor(2.2649), tensor(2.2480), tensor(2.2538), tensor(2.2446), tensor(2.2480), tensor(2.2425)]"
54,"[tensor(2.2508), tensor(2.2359), tensor(2.2408), tensor(2.2369), tensor(2.2547), tensor(2.2472), tensor(2.2540), tensor(2.2403), tensor(2.2382), tensor(2.2497)]"
55,"[tensor(2.2654), tensor(2.2362), tensor(2.2278), tensor(2.2404), tensor(2.2438), tensor(2.2314), tensor(2.2599), tensor(2.2241), tensor(2.2420), tensor(2.2319)]"
56,"[tensor(2.2324), tensor(2.2243), tensor(2.2316), tensor(2.2270), tensor(2.2549), tensor(2.2534), tensor(2.2399), tensor(2.2310), tensor(2.2283), tensor(2.2602)]"
57,"[tensor(2.2740), tensor(2.2502), tensor(2.2205), tensor(2.2294), tensor(2.2336), tensor(2.2226), tensor(2.2677), tensor(2.2125), tensor(2.2340), tensor(2.2340)]"
58,"[tensor(2.2290), tensor(2.2303), tensor(2.2240), tensor(2.2141), tensor(2.2483), tensor(2.2523), tensor(2.2385), tensor(2.2196), tensor(2.2248), tensor(2.2637)]"
59,"[tensor(2.2485), tensor(2.2285), tensor(2.2243), tensor(2.2255), tensor(2.2269), tensor(2.2269), tensor(2.2402), tensor(2.2069), tensor(2.2111), tensor(2.2346)]"
60,"[tensor(2.2302), tensor(2.2359), tensor(2.2075), tensor(2.2016), tensor(2.2358), tensor(2.2293), tensor(2.2454), tensor(2.2132), tensor(2.2284), tensor(2.2440)]"
61,"[tensor(2.2355), tensor(2.2174), tensor(2.2278), tensor(2.2307), tensor(2.2287), tensor(2.2310), tensor(2.2291), tensor(2.2008), tensor(2.2041), tensor(2.2399)]"
62,"[tensor(2.2345), tensor(2.2447), tensor(2.1994), tensor(2.1927), tensor(2.2230), tensor(2.2193), tensor(2.2556), tensor(2.2190), tensor(2.2347), tensor(2.2288)]"
63,"[tensor(2.2429), tensor(2.2230), tensor(2.2286), tensor(2.2310), tensor(2.2286), tensor(2.2325), tensor(2.2357), tensor(2.1991), tensor(2.2119), tensor(2.2425)]"
64,"[tensor(2.2341), tensor(2.2474), tensor(2.2032), tensor(2.1876), tensor(2.2126), tensor(2.2252), tensor(2.2540), tensor(2.2290), tensor(2.2321), tensor(2.2291)]"
65,"[tensor(2.2516), tensor(2.2311), tensor(2.2182), tensor(2.2220), tensor(2.2205), tensor(2.2245), tensor(2.2394), tensor(2.2056), tensor(2.2127), tensor(2.2343)]"
66,"[tensor(2.2275), tensor(2.2420), tensor(2.2022), tensor(2.1849), tensor(2.2096), tensor(2.2287), tensor(2.2459), tensor(2.2347), tensor(2.2261), tensor(2.2326)]"
67,"[tensor(2.2586), tensor(2.2383), tensor(2.2144), tensor(2.2159), tensor(2.2136), tensor(2.2185), tensor(2.2462), tensor(2.2011), tensor(2.2158), tensor(2.2292)]"
68,"[tensor(2.2225), tensor(2.2367), tensor(2.2030), tensor(2.1834), tensor(2.2086), tensor(2.2344), tensor(2.2411), tensor(2.2347), tensor(2.2213), tensor(2.2385)]"
69,"[tensor(2.2658), tensor(2.2464), tensor(2.2126), tensor(2.2131), tensor(2.2101), tensor(2.2154), tensor(2.2532), tensor(2.1967), tensor(2.2191), tensor(2.2271)]"
70,"[tensor(2.2193), tensor(2.2345), tensor(2.2016), tensor(2.1823), tensor(2.2077), tensor(2.2366), tensor(2.2397), tensor(2.2351), tensor(2.2201), tensor(2.2431)]"
71,"[tensor(2.2705), tensor(2.2488), tensor(2.2093), tensor(2.2083), tensor(2.2052), tensor(2.2118), tensor(2.2573), tensor(2.1974), tensor(2.2226), tensor(2.2242)]"
72,"[tensor(2.2168), tensor(2.2323), tensor(2.2026), tensor(2.1820), tensor(2.2062), tensor(2.2388), tensor(2.2369), tensor(2.2458), tensor(2.2177), tensor(2.2467)]"
73,"[tensor(2.2763), tensor(2.2535), tensor(2.2024), tensor(2.1992), tensor(2.2000), tensor(2.2050), tensor(2.2609), tensor(2.2010), tensor(2.2269), tensor(2.2158)]"
74,"[tensor(2.2130), tensor(2.2301), tensor(2.2049), tensor(2.1805), tensor(2.2034), tensor(2.2451), tensor(2.2305), tensor(2.2490), tensor(2.2142), tensor(2.2540)]"
75,"[tensor(2.2837), tensor(2.2604), tensor(2.1989), tensor(2.1945), tensor(2.1965), tensor(2.2013), tensor(2.2662), tensor(2.1987), tensor(2.2285), tensor(2.2130)]"
76,"[tensor(2.2136), tensor(2.2310), tensor(2.2056), tensor(2.1783), tensor(2.2011), tensor(2.2467), tensor(2.2300), tensor(2.2386), tensor(2.2144), tensor(2.2570)]"
77,"[tensor(2.2770), tensor(2.2564), tensor(2.2022), tensor(2.1969), tensor(2.1965), tensor(2.2041), tensor(2.2596), tensor(2.1890), tensor(2.2262), tensor(2.2196)]"
78,"[tensor(2.2180), tensor(2.2374), tensor(2.1989), tensor(2.1793), tensor(2.2016), tensor(2.2410), tensor(2.2385), tensor(2.2164), tensor(2.2205), tensor(2.2516)]"
79,"[tensor(2.2617), tensor(2.2453), tensor(2.2091), tensor(2.2081), tensor(2.2018), tensor(2.2117), tensor(2.2462), tensor(2.1799), tensor(2.2185), tensor(2.2294)]"
80,"[tensor(2.2310), tensor(2.2522), tensor(2.1911), tensor(2.1783), tensor(2.2028), tensor(2.2308), tensor(2.2550), tensor(2.2088), tensor(2.2356), tensor(2.2448)]"
81,"[tensor(2.2547), tensor(2.2366), tensor(2.2196), tensor(2.2222), tensor(2.2098), tensor(2.2236), tensor(2.2404), tensor(2.1844), tensor(2.2119), tensor(2.2410)]"
82,"[tensor(2.2405), tensor(2.2622), tensor(2.1896), tensor(2.1747), tensor(2.1963), tensor(2.2256), tensor(2.2659), tensor(2.2251), tensor(2.2434), tensor(2.2357)]"
83,"[tensor(2.2643), tensor(2.2446), tensor(2.2205), tensor(2.2255), tensor(2.2094), tensor(2.2289), tensor(2.2501), tensor(2.2142), tensor(2.2200), tensor(2.2446)]"
84,"[tensor(2.2458), tensor(2.2675), tensor(2.1878), tensor(2.1744), tensor(2.1915), tensor(2.2260), tensor(2.2699), tensor(2.2667), tensor(2.2446), tensor(2.2367)]"
85,"[tensor(2.2860), tensor(2.2640), tensor(2.2072), tensor(2.2074), tensor(2.1910), tensor(2.2164), tensor(2.2700), tensor(2.2494), tensor(2.2299), tensor(2.2307)]"
86,"[tensor(2.2426), tensor(2.2663), tensor(2.1916), tensor(2.1760), tensor(2.1932), tensor(2.2418), tensor(2.2634), tensor(2.2754), tensor(2.2387), tensor(2.2534)]"
87,"[tensor(2.3038), tensor(2.2815), tensor(2.2026), tensor(2.2009), tensor(2.1878), tensor(2.2113), tensor(2.2868), tensor(2.2575), tensor(2.2339), tensor(2.2275)]"
88,"[tensor(2.2459), tensor(2.2715), tensor(2.1898), tensor(2.1725), tensor(2.1862), tensor(2.2424), tensor(2.2675), tensor(2.2937), tensor(2.2421), tensor(2.2533)]"
89,"[tensor(2.3062), tensor(2.2828), tensor(2.2027), tensor(2.1968), tensor(2.1830), tensor(2.2109), tensor(2.2839), tensor(2.2713), tensor(2.2277), tensor(2.2263)]"
90,"[tensor(2.2486), tensor(2.2757), tensor(2.1558), tensor(2.1550), tensor(2.1609), tensor(2.1854), tensor(2.2701), tensor(2.3237), tensor(2.2410), tensor(2.1979)]"
91,"[tensor(2.2570), tensor(2.2367), tensor(2.2358), tensor(2.1872), tensor(2.1700), tensor(2.2377), tensor(2.2109), tensor(2.2850), tensor(2.1899), tensor(2.2419)]"
92,"[tensor(2.2740), tensor(2.3087), tensor(2.1549), tensor(2.1889), tensor(2.1984), tensor(2.1681), tensor(2.2939), tensor(2.2659), tensor(2.2547), tensor(2.1801)]"
93,"[tensor(2.2112), tensor(2.1959), tensor(2.2718), tensor(2.1637), tensor(2.1903), tensor(2.2648), tensor(2.1699), tensor(2.2877), tensor(2.1623), tensor(2.2748)]"
94,"[tensor(2.2757), tensor(2.3176), tensor(2.1714), tensor(2.2990), tensor(2.2497), tensor(2.1834), tensor(2.2786), tensor(2.2035), tensor(2.2332), tensor(2.2100)]"
95,"[tensor(2.2020), tensor(2.1923), tensor(2.2786), tensor(2.1729), tensor(2.1867), tensor(2.2595), tensor(2.1713), tensor(2.2827), tensor(2.1518), tensor(2.2896)]"
96,"[tensor(2.2764), tensor(2.3216), tensor(2.1724), tensor(2.3090), tensor(2.2567), tensor(2.1845), tensor(2.2787), tensor(2.1948), tensor(2.2344), tensor(2.2043)]"
97,"[tensor(2.2009), tensor(2.1896), tensor(2.2828), tensor(2.1709), tensor(2.1848), tensor(2.2594), tensor(2.1681), tensor(2.2871), tensor(2.1484), tensor(2.2975)]"
98,"[tensor(2.2801), tensor(2.3280), tensor(2.1693), tensor(2.3173), tensor(2.2599), tensor(2.1811), tensor(2.2831), tensor(2.1864), tensor(2.2335), tensor(2.1988)]"
99,"[tensor(2.1964), tensor(2.1850), tensor(2.2889), tensor(2.1680), tensor(2.1802), tensor(2.2648), tensor(2.1650), tensor(2.2979), tensor(2.1488), tensor(2.3049)]"
