eigenvector_centrality,[7.]
18,"[tensor(2.0601), tensor(2.0991), tensor(1.9626), tensor(1.9871), tensor(2.0668), tensor(1.9718), tensor(2.0373), tensor(1.9804), tensor(2.0215), tensor(1.9401)]"
19,"[tensor(1.9632), tensor(1.9355), tensor(2.0087), tensor(2.0115), tensor(1.9462), tensor(1.9798), tensor(1.9724), tensor(2.0702), tensor(1.9942), tensor(2.0623)]"
20,"[tensor(1.9843), tensor(2.0592), tensor(1.9475), tensor(1.9730), tensor(2.0262), tensor(1.9722), tensor(1.9635), tensor(1.9553), tensor(1.9638), tensor(1.9119)]"
21,"[tensor(1.9731), tensor(1.9074), tensor(1.9553), tensor(1.9743), tensor(1.9104), tensor(1.9331), tensor(1.9878), tensor(2.0044), tensor(2.0022), tensor(2.0053)]"
22,"[tensor(1.9091), tensor(2.0072), tensor(1.9526), tensor(1.9656), tensor(1.9781), tensor(1.9636), tensor(1.9071), tensor(1.9658), tensor(1.9250), tensor(1.8896)]"
23,"[tensor(1.9790), tensor(1.8985), tensor(1.9164), tensor(1.9337), tensor(1.8919), tensor(1.9043), tensor(1.9946), tensor(1.9570), tensor(1.9987), tensor(1.9392)]"
24,"[tensor(1.8606), tensor(1.9353), tensor(1.9296), tensor(1.9420), tensor(1.9333), tensor(1.9509), tensor(1.8637), tensor(1.9655), tensor(1.8954), tensor(1.8984)]"
25,"[tensor(1.9742), tensor(1.9016), tensor(1.8797), tensor(1.8948), tensor(1.8757), tensor(1.8722), tensor(1.9822), tensor(1.9181), tensor(1.9754), tensor(1.8714)]"
26,"[tensor(1.8261), tensor(1.8662), tensor(1.9061), tensor(1.9161), tensor(1.8934), tensor(1.9289), tensor(1.8311), tensor(1.8905), tensor(1.8691), tensor(1.9046)]"
27,"[tensor(1.9261), tensor(1.8810), tensor(1.8359), tensor(1.8408), tensor(1.8337), tensor(1.7910), tensor(1.9303), tensor(1.9316), tensor(1.9096), tensor(1.8003)]"
28,"[tensor(1.7698), tensor(1.7952), tensor(1.8673), tensor(1.8907), tensor(1.8817), tensor(1.8844), tensor(1.7654), tensor(1.8710), tensor(1.8131), tensor(1.8869)]"
29,"[tensor(1.8515), tensor(1.8318), tensor(1.7813), tensor(1.8089), tensor(1.8123), tensor(1.7705), tensor(1.8491), tensor(1.8725), tensor(1.8360), tensor(1.7654)]"
30,"[tensor(1.7571), tensor(1.7941), tensor(1.8096), tensor(1.8605), tensor(1.8334), tensor(1.7972), tensor(1.7242), tensor(1.8343), tensor(1.7838), tensor(1.8381)]"
31,"[tensor(1.8173), tensor(1.8134), tensor(1.7797), tensor(1.7968), tensor(1.7954), tensor(1.8119), tensor(1.8308), tensor(1.7971), tensor(1.8400), tensor(1.7709)]"
32,"[tensor(1.7773), tensor(1.8106), tensor(1.7931), tensor(1.8543), tensor(1.8007), tensor(1.7606), tensor(1.7091), tensor(1.8090), tensor(1.7637), tensor(1.7982)]"
33,"[tensor(1.8055), tensor(1.8081), tensor(1.7623), tensor(1.7931), tensor(1.7802), tensor(1.7935), tensor(1.8221), tensor(1.7557), tensor(1.8307), tensor(1.7836)]"
34,"[tensor(1.7555), tensor(1.7948), tensor(1.7832), tensor(1.8432), tensor(1.7743), tensor(1.7332), tensor(1.6885), tensor(1.7580), tensor(1.7601), tensor(1.7734)]"
35,"[tensor(1.7614), tensor(1.7873), tensor(1.6724), tensor(1.7804), tensor(1.7351), tensor(1.7455), tensor(1.7884), tensor(1.7857), tensor(1.7885), tensor(1.7336)]"
36,"[tensor(1.7365), tensor(1.7647), tensor(1.7616), tensor(1.8221), tensor(1.7621), tensor(1.7043), tensor(1.6592), tensor(1.7005), tensor(1.7426), tensor(1.7555)]"
37,"[tensor(1.7108), tensor(1.7520), tensor(1.6409), tensor(1.7561), tensor(1.6716), tensor(1.6986), tensor(1.7503), tensor(1.7836), tensor(1.7513), tensor(1.6463)]"
38,"[tensor(1.7079), tensor(1.7348), tensor(1.7375), tensor(1.7894), tensor(1.7487), tensor(1.6882), tensor(1.6412), tensor(1.6704), tensor(1.7018), tensor(1.7435)]"
39,"[tensor(1.6850), tensor(1.7199), tensor(1.6455), tensor(1.7368), tensor(1.6252), tensor(1.6643), tensor(1.7210), tensor(1.7635), tensor(1.7158), tensor(1.6072)]"
40,"[tensor(1.6850), tensor(1.7050), tensor(1.7168), tensor(1.7632), tensor(1.7387), tensor(1.6657), tensor(1.6431), tensor(1.6547), tensor(1.6790), tensor(1.7170)]"
41,"[tensor(1.6869), tensor(1.6826), tensor(1.6595), tensor(1.7198), tensor(1.5995), tensor(1.6400), tensor(1.6932), tensor(1.7381), tensor(1.6913), tensor(1.6018)]"
42,"[tensor(1.6891), tensor(1.6795), tensor(1.7055), tensor(1.7418), tensor(1.7271), tensor(1.6571), tensor(1.6862), tensor(1.6358), tensor(1.6964), tensor(1.7038)]"
43,"[tensor(1.6830), tensor(1.6575), tensor(1.6796), tensor(1.7039), tensor(1.5883), tensor(1.6378), tensor(1.6894), tensor(1.7272), tensor(1.6876), tensor(1.6422)]"
44,"[tensor(1.7253), tensor(1.6737), tensor(1.7125), tensor(1.7403), tensor(1.7247), tensor(1.6518), tensor(1.7271), tensor(1.6330), tensor(1.7010), tensor(1.7165)]"
45,"[tensor(1.7082), tensor(1.7073), tensor(1.6984), tensor(1.6752), tensor(1.6009), tensor(1.6575), tensor(1.7071), tensor(1.7384), tensor(1.7059), tensor(1.6620)]"
46,"[tensor(1.7559), tensor(1.6994), tensor(1.7296), tensor(1.7501), tensor(1.7437), tensor(1.6722), tensor(1.7473), tensor(1.6716), tensor(1.7083), tensor(1.7447)]"
47,"[tensor(1.7372), tensor(1.7547), tensor(1.7181), tensor(1.6600), tensor(1.6456), tensor(1.6874), tensor(1.7292), tensor(1.7538), tensor(1.7274), tensor(1.6749)]"
48,"[tensor(1.7529), tensor(1.7369), tensor(1.7337), tensor(1.7374), tensor(1.7506), tensor(1.6883), tensor(1.7252), tensor(1.7728), tensor(1.6951), tensor(1.7617)]"
49,"[tensor(1.7673), tensor(1.7824), tensor(1.7282), tensor(1.7134), tensor(1.7388), tensor(1.7139), tensor(1.7462), tensor(1.7372), tensor(1.7466), tensor(1.7093)]"
50,"[tensor(1.7414), tensor(1.7413), tensor(1.7524), tensor(1.7050), tensor(1.7349), tensor(1.7094), tensor(1.7236), tensor(1.8222), tensor(1.7125), tensor(1.7664)]"
51,"[tensor(1.7840), tensor(1.7986), tensor(1.7505), tensor(1.8070), tensor(1.7786), tensor(1.7415), tensor(1.7543), tensor(1.7096), tensor(1.7577), tensor(1.7436)]"
52,"[tensor(1.7425), tensor(1.7444), tensor(1.7665), tensor(1.7122), tensor(1.7114), tensor(1.7056), tensor(1.7389), tensor(1.8445), tensor(1.7420), tensor(1.7335)]"
53,"[tensor(1.7978), tensor(1.8099), tensor(1.7706), tensor(1.8396), tensor(1.8128), tensor(1.7734), tensor(1.7522), tensor(1.6918), tensor(1.7724), tensor(1.7836)]"
54,"[tensor(1.7409), tensor(1.7593), tensor(1.7829), tensor(1.7215), tensor(1.6954), tensor(1.6971), tensor(1.7507), tensor(1.8622), tensor(1.7745), tensor(1.6954)]"
55,"[tensor(1.8054), tensor(1.8148), tensor(1.7681), tensor(1.8473), tensor(1.8365), tensor(1.7936), tensor(1.7461), tensor(1.6882), tensor(1.7706), tensor(1.8112)]"
56,"[tensor(1.7274), tensor(1.7383), tensor(1.7797), tensor(1.7211), tensor(1.6900), tensor(1.6854), tensor(1.7627), tensor(1.8680), tensor(1.7789), tensor(1.6711)]"
57,"[tensor(1.7813), tensor(1.7989), tensor(1.7542), tensor(1.8315), tensor(1.8386), tensor(1.7798), tensor(1.7221), tensor(1.6783), tensor(1.7544), tensor(1.8120)]"
58,"[tensor(1.7003), tensor(1.7218), tensor(1.7154), tensor(1.7085), tensor(1.6821), tensor(1.6607), tensor(1.7423), tensor(1.8532), tensor(1.7544), tensor(1.6370)]"
59,"[tensor(1.7543), tensor(1.7648), tensor(1.7296), tensor(1.8057), tensor(1.8119), tensor(1.7522), tensor(1.7133), tensor(1.6516), tensor(1.7488), tensor(1.7993)]"
60,"[tensor(1.6730), tensor(1.6962), tensor(1.7038), tensor(1.6941), tensor(1.6630), tensor(1.6467), tensor(1.7484), tensor(1.8270), tensor(1.7598), tensor(1.6174)]"
61,"[tensor(1.7329), tensor(1.7504), tensor(1.7222), tensor(1.7952), tensor(1.7909), tensor(1.7451), tensor(1.7165), tensor(1.6348), tensor(1.7520), tensor(1.7945)]"
62,"[tensor(1.6827), tensor(1.6758), tensor(1.7148), tensor(1.6842), tensor(1.6565), tensor(1.6443), tensor(1.7510), tensor(1.8146), tensor(1.7798), tensor(1.6234)]"
63,"[tensor(1.7477), tensor(1.7537), tensor(1.7323), tensor(1.8030), tensor(1.7932), tensor(1.7645), tensor(1.7385), tensor(1.6277), tensor(1.7693), tensor(1.7915)]"
64,"[tensor(1.7479), tensor(1.6699), tensor(1.7485), tensor(1.6895), tensor(1.6700), tensor(1.6882), tensor(1.7803), tensor(1.8219), tensor(1.7980), tensor(1.6576)]"
65,"[tensor(1.7877), tensor(1.7711), tensor(1.7627), tensor(1.8244), tensor(1.8136), tensor(1.7911), tensor(1.7752), tensor(1.6560), tensor(1.7899), tensor(1.7977)]"
66,"[tensor(1.7763), tensor(1.6837), tensor(1.7809), tensor(1.7105), tensor(1.6902), tensor(1.7523), tensor(1.7974), tensor(1.8518), tensor(1.8100), tensor(1.6989)]"
67,"[tensor(1.8351), tensor(1.8116), tensor(1.7932), tensor(1.8439), tensor(1.8358), tensor(1.8148), tensor(1.8143), tensor(1.7132), tensor(1.8161), tensor(1.8148)]"
68,"[tensor(1.7805), tensor(1.7288), tensor(1.8283), tensor(1.7199), tensor(1.7081), tensor(1.8020), tensor(1.8150), tensor(1.8807), tensor(1.8271), tensor(1.7663)]"
69,"[tensor(1.8700), tensor(1.8612), tensor(1.8176), tensor(1.8726), tensor(1.8593), tensor(1.8448), tensor(1.8447), tensor(1.7665), tensor(1.8359), tensor(1.8363)]"
70,"[tensor(1.7962), tensor(1.7871), tensor(1.8682), tensor(1.7583), tensor(1.7236), tensor(1.8440), tensor(1.8335), tensor(1.9102), tensor(1.8559), tensor(1.8091)]"
71,"[tensor(1.8999), tensor(1.9115), tensor(1.8456), tensor(1.8956), tensor(1.8934), tensor(1.8582), tensor(1.8732), tensor(1.8173), tensor(1.8614), tensor(1.8554)]"
72,"[tensor(1.8351), tensor(1.8238), tensor(1.8999), tensor(1.8601), tensor(1.7471), tensor(1.8925), tensor(1.8610), tensor(1.9184), tensor(1.8948), tensor(1.8773)]"
73,"[tensor(1.9364), tensor(1.9533), tensor(1.8609), tensor(1.9386), tensor(1.9192), tensor(1.8727), tensor(1.8982), tensor(1.8986), tensor(1.8746), tensor(1.8207)]"
74,"[tensor(1.8531), tensor(1.8454), tensor(1.9211), tensor(1.8847), tensor(1.8229), tensor(1.9210), tensor(1.8654), tensor(1.8612), tensor(1.9295), tensor(1.9304)]"
75,"[tensor(1.9220), tensor(1.9639), tensor(1.8022), tensor(1.9446), tensor(1.9077), tensor(1.8155), tensor(1.8581), tensor(1.9822), tensor(1.8056), tensor(1.7719)]"
76,"[tensor(1.8947), tensor(1.8500), tensor(1.9321), tensor(1.8959), tensor(1.9249), tensor(1.9120), tensor(1.8892), tensor(1.8029), tensor(1.9544), tensor(1.9742)]"
77,"[tensor(1.8406), tensor(1.9277), tensor(1.7984), tensor(1.8885), tensor(1.7979), tensor(1.8093), tensor(1.8094), tensor(2.0044), tensor(1.7711), tensor(1.7548)]"
78,"[tensor(1.9244), tensor(1.8738), tensor(1.9040), tensor(1.9264), tensor(1.9385), tensor(1.8838), tensor(1.8963), tensor(1.7658), tensor(1.9367), tensor(1.9536)]"
79,"[tensor(1.8029), tensor(1.8739), tensor(1.8404), tensor(1.8497), tensor(1.7769), tensor(1.8341), tensor(1.7992), tensor(2.0139), tensor(1.7755), tensor(1.7544)]"
80,"[tensor(1.9376), tensor(1.9080), tensor(1.8828), tensor(1.9409), tensor(1.9501), tensor(1.8791), tensor(1.9061), tensor(1.7474), tensor(1.9331), tensor(1.9407)]"
81,"[tensor(1.7918), tensor(1.8333), tensor(1.9215), tensor(1.8176), tensor(1.7694), tensor(1.8600), tensor(1.8094), tensor(2.0281), tensor(1.7975), tensor(1.7533)]"
82,"[tensor(1.9587), tensor(1.9464), tensor(1.8865), tensor(1.9625), tensor(1.9792), tensor(1.9090), tensor(1.9331), tensor(1.7447), tensor(1.9409), tensor(1.9551)]"
83,"[tensor(1.7989), tensor(1.8239), tensor(1.9962), tensor(1.8178), tensor(1.7754), tensor(1.8928), tensor(1.8611), tensor(2.0408), tensor(1.8463), tensor(1.7718)]"
84,"[tensor(1.9790), tensor(1.9840), tensor(1.9111), tensor(1.9903), tensor(2.0080), tensor(1.9462), tensor(1.9492), tensor(1.7661), tensor(1.9430), tensor(1.9793)]"
85,"[tensor(1.8305), tensor(1.8410), tensor(2.0251), tensor(1.8390), tensor(1.7942), tensor(1.8919), tensor(1.9186), tensor(2.0550), tensor(1.9263), tensor(1.7880)]"
86,"[tensor(1.9992), tensor(2.0124), tensor(1.9292), tensor(2.0156), tensor(2.0315), tensor(1.9949), tensor(1.9597), tensor(1.8001), tensor(1.9410), tensor(2.0109)]"
87,"[tensor(1.8663), tensor(1.8586), tensor(2.0410), tensor(1.8635), tensor(1.8224), tensor(1.8909), tensor(1.9495), tensor(2.0706), tensor(2.0197), tensor(1.8173)]"
88,"[tensor(2.0186), tensor(2.0427), tensor(1.9589), tensor(2.0449), tensor(2.0561), tensor(2.0338), tensor(1.9804), tensor(1.8338), tensor(1.9341), tensor(2.0425)]"
89,"[tensor(1.8995), tensor(1.8878), tensor(2.0419), tensor(1.8883), tensor(1.8509), tensor(1.9064), tensor(1.9889), tensor(2.0776), tensor(2.0711), tensor(1.8524)]"
90,"[tensor(2.0072), tensor(2.0549), tensor(1.9565), tensor(2.0585), tensor(2.0647), tensor(2.0336), tensor(1.9388), tensor(1.8702), tensor(1.9176), tensor(2.0590)]"
91,"[tensor(1.9265), tensor(1.9020), tensor(2.0071), tensor(1.8989), tensor(1.8657), tensor(1.8928), tensor(2.0224), tensor(2.0643), tensor(2.0753), tensor(1.8665)]"
92,"[tensor(1.9516), tensor(2.0326), tensor(1.9353), tensor(2.0462), tensor(2.0607), tensor(2.0146), tensor(1.8983), tensor(1.8826), tensor(1.8898), tensor(2.0531)]"
93,"[tensor(1.9315), tensor(1.8850), tensor(1.9593), tensor(1.8861), tensor(1.8576), tensor(1.8599), tensor(2.0270), tensor(2.0379), tensor(2.0640), tensor(1.8561)]"
94,"[tensor(1.9177), tensor(2.0190), tensor(1.9419), tensor(2.0381), tensor(2.0388), tensor(2.0111), tensor(1.8777), tensor(1.8778), tensor(1.8800), tensor(2.0422)]"
95,"[tensor(1.9662), tensor(1.8805), tensor(1.9247), tensor(1.8702), tensor(1.8472), tensor(1.8489), tensor(2.0434), tensor(2.0216), tensor(2.0515), tensor(1.8491)]"
96,"[tensor(1.9045), tensor(2.0088), tensor(1.9766), tensor(2.0417), tensor(2.0307), tensor(2.0173), tensor(1.8728), tensor(1.8816), tensor(1.8862), tensor(2.0395)]"
97,"[tensor(2.0197), tensor(1.8955), tensor(1.9137), tensor(1.8725), tensor(1.8566), tensor(1.8588), tensor(2.0666), tensor(2.0210), tensor(2.0586), tensor(1.8510)]"
98,"[tensor(1.9019), tensor(2.0029), tensor(2.0216), tensor(2.0566), tensor(2.0413), tensor(2.0347), tensor(1.8788), tensor(1.8917), tensor(1.8975), tensor(2.0493)]"
99,"[tensor(2.0503), tensor(1.9227), tensor(1.9056), tensor(1.8792), tensor(1.8687), tensor(1.8629), tensor(2.0844), tensor(2.0321), tensor(2.0551), tensor(1.8559)]"
