betweeness_centrality,[2. 7.]
49,"[0.457, 0.403, 0.419, 0.411, 0.485, 0.441, 0.478, 0.338, 0.337, 0.338]"
50,"[0.456, 0.423, 0.434, 0.373, 0.378, 0.377, 0.466, 0.406, 0.367, 0.342]"
51,"[0.489, 0.362, 0.414, 0.38, 0.468, 0.475, 0.52, 0.311, 0.327, 0.323]"
52,"[0.429, 0.427, 0.42, 0.377, 0.349, 0.436, 0.515, 0.412, 0.36, 0.389]"
53,"[0.454, 0.341, 0.374, 0.367, 0.449, 0.437, 0.461, 0.356, 0.344, 0.341]"
54,"[0.484, 0.401, 0.355, 0.364, 0.38, 0.385, 0.461, 0.401, 0.378, 0.353]"
55,"[0.479, 0.362, 0.357, 0.374, 0.47, 0.527, 0.588, 0.314, 0.366, 0.345]"
56,"[0.384, 0.398, 0.366, 0.392, 0.389, 0.387, 0.441, 0.404, 0.397, 0.437]"
57,"[0.57, 0.364, 0.356, 0.4, 0.534, 0.592, 0.593, 0.398, 0.376, 0.363]"
58,"[0.364, 0.345, 0.393, 0.414, 0.365, 0.377, 0.402, 0.39, 0.414, 0.446]"
59,"[0.516, 0.358, 0.315, 0.357, 0.498, 0.56, 0.544, 0.444, 0.339, 0.328]"
60,"[0.326, 0.284, 0.425, 0.39, 0.361, 0.332, 0.357, 0.37, 0.442, 0.428]"
61,"[0.502, 0.337, 0.256, 0.323, 0.454, 0.531, 0.551, 0.427, 0.294, 0.272]"
62,"[0.29, 0.259, 0.403, 0.445, 0.32, 0.309, 0.341, 0.348, 0.418, 0.439]"
63,"[0.497, 0.35, 0.224, 0.3, 0.489, 0.477, 0.477, 0.438, 0.26, 0.258]"
64,"[0.279, 0.252, 0.4, 0.406, 0.316, 0.291, 0.331, 0.324, 0.391, 0.39]"
65,"[0.468, 0.454, 0.215, 0.295, 0.439, 0.506, 0.49, 0.319, 0.274, 0.277]"
66,"[0.285, 0.255, 0.442, 0.397, 0.315, 0.275, 0.334, 0.321, 0.48, 0.445]"
67,"[0.4, 0.435, 0.22, 0.301, 0.395, 0.429, 0.458, 0.369, 0.262, 0.285]"
68,"[0.286, 0.256, 0.447, 0.473, 0.31, 0.265, 0.303, 0.321, 0.511, 0.562]"
69,"[0.396, 0.424, 0.223, 0.286, 0.39, 0.436, 0.472, 0.482, 0.234, 0.245]"
70,"[0.28, 0.257, 0.42, 0.432, 0.307, 0.253, 0.294, 0.324, 0.495, 0.549]"
71,"[0.415, 0.437, 0.225, 0.238, 0.379, 0.458, 0.458, 0.452, 0.23, 0.219]"
72,"[0.273, 0.245, 0.429, 0.406, 0.31, 0.244, 0.285, 0.261, 0.542, 0.554]"
73,"[0.429, 0.432, 0.212, 0.209, 0.399, 0.486, 0.457, 0.466, 0.224, 0.205]"
74,"[0.287, 0.234, 0.421, 0.394, 0.343, 0.241, 0.263, 0.24, 0.52, 0.524]"
75,"[0.42, 0.381, 0.209, 0.219, 0.357, 0.479, 0.446, 0.43, 0.224, 0.205]"
76,"[0.254, 0.243, 0.382, 0.424, 0.349, 0.233, 0.264, 0.234, 0.405, 0.447]"
77,"[0.353, 0.279, 0.213, 0.24, 0.358, 0.417, 0.396, 0.403, 0.223, 0.211]"
78,"[0.262, 0.241, 0.292, 0.427, 0.347, 0.244, 0.281, 0.214, 0.396, 0.483]"
79,"[0.321, 0.241, 0.219, 0.269, 0.33, 0.35, 0.367, 0.416, 0.217, 0.203]"
80,"[0.268, 0.238, 0.267, 0.441, 0.371, 0.231, 0.254, 0.22, 0.328, 0.449]"
81,"[0.305, 0.253, 0.227, 0.273, 0.325, 0.334, 0.349, 0.475, 0.218, 0.208]"
82,"[0.273, 0.245, 0.278, 0.394, 0.374, 0.22, 0.237, 0.254, 0.318, 0.364]"
83,"[0.293, 0.25, 0.23, 0.251, 0.306, 0.32, 0.342, 0.513, 0.218, 0.205]"
84,"[0.289, 0.248, 0.309, 0.345, 0.306, 0.245, 0.236, 0.249, 0.3, 0.297]"
85,"[0.307, 0.235, 0.237, 0.202, 0.276, 0.308, 0.273, 0.492, 0.213, 0.209]"
86,"[0.331, 0.269, 0.32, 0.186, 0.172, 0.315, 0.259, 0.204, 0.239, 0.191]"
87,"[0.161, 0.105, 0.268, 0.196, 0.28, 0.184, 0.095, 0.351, 0.223, 0.206]"
88,"[0.36, 0.33, 0.271, 0.124, 0.101, 0.374, 0.353, 0.209, 0.111, 0.095]"
89,"[0.102, 0.099, 0.325, 0.22, 0.287, 0.169, 0.089, 0.233, 0.327, 0.223]"
90,"[0.303, 0.309, 0.213, 0.122, 0.1, 0.305, 0.36, 0.306, 0.098, 0.091]"
91,"[0.102, 0.099, 0.333, 0.339, 0.298, 0.271, 0.089, 0.119, 0.352, 0.288]"
92,"[0.347, 0.339, 0.123, 0.122, 0.1, 0.294, 0.398, 0.31, 0.098, 0.091]"
93,"[0.102, 0.099, 0.317, 0.367, 0.305, 0.313, 0.089, 0.099, 0.328, 0.325]"
94,"[0.327, 0.26, 0.1, 0.122, 0.1, 0.332, 0.28, 0.309, 0.098, 0.091]"
95,"[0.102, 0.099, 0.236, 0.346, 0.287, 0.362, 0.089, 0.098, 0.296, 0.272]"
96,"[0.315, 0.216, 0.101, 0.122, 0.1, 0.345, 0.227, 0.254, 0.098, 0.091]"
97,"[0.102, 0.099, 0.183, 0.283, 0.266, 0.383, 0.089, 0.098, 0.22, 0.244]"
98,"[0.295, 0.204, 0.098, 0.122, 0.1, 0.31, 0.238, 0.259, 0.098, 0.091]"
99,"[0.102, 0.099, 0.252, 0.291, 0.274, 0.385, 0.089, 0.098, 0.229, 0.236]"
