betweeness_centrality,[2.]
44,"[0.192, 0.182, 0.116, 0.142, 0.093, 0.097, 0.212, 0.108, 0.162, 0.095]"
45,"[0.103, 0.1, 0.138, 0.176, 0.138, 0.174, 0.092, 0.171, 0.124, 0.218]"
46,"[0.171, 0.237, 0.122, 0.157, 0.184, 0.177, 0.15, 0.194, 0.167, 0.097]"
47,"[0.105, 0.1, 0.193, 0.145, 0.141, 0.183, 0.092, 0.174, 0.201, 0.187]"
48,"[0.157, 0.23, 0.139, 0.178, 0.144, 0.11, 0.156, 0.098, 0.169, 0.101]"
49,"[0.117, 0.101, 0.1, 0.145, 0.22, 0.189, 0.1, 0.184, 0.1, 0.152]"
50,"[0.159, 0.148, 0.259, 0.288, 0.157, 0.11, 0.158, 0.098, 0.24, 0.107]"
51,"[0.181, 0.229, 0.107, 0.121, 0.22, 0.262, 0.204, 0.269, 0.126, 0.173]"
52,"[0.177, 0.146, 0.222, 0.314, 0.152, 0.152, 0.215, 0.126, 0.305, 0.17]"
53,"[0.128, 0.185, 0.111, 0.207, 0.187, 0.284, 0.166, 0.301, 0.191, 0.221]"
54,"[0.285, 0.24, 0.275, 0.35, 0.225, 0.174, 0.312, 0.173, 0.284, 0.143]"
55,"[0.16, 0.217, 0.223, 0.128, 0.249, 0.357, 0.189, 0.326, 0.224, 0.307]"
56,"[0.317, 0.305, 0.29, 0.372, 0.292, 0.123, 0.388, 0.138, 0.294, 0.178]"
57,"[0.217, 0.292, 0.264, 0.126, 0.301, 0.41, 0.273, 0.382, 0.243, 0.343]"
58,"[0.349, 0.33, 0.354, 0.382, 0.334, 0.181, 0.42, 0.192, 0.336, 0.268]"
59,"[0.328, 0.344, 0.361, 0.215, 0.356, 0.357, 0.33, 0.35, 0.286, 0.373]"
60,"[0.363, 0.385, 0.321, 0.323, 0.38, 0.36, 0.349, 0.373, 0.278, 0.336]"
61,"[0.334, 0.308, 0.363, 0.347, 0.29, 0.353, 0.326, 0.352, 0.399, 0.332]"
62,"[0.305, 0.303, 0.301, 0.31, 0.34, 0.25, 0.283, 0.297, 0.26, 0.297]"
63,"[0.293, 0.299, 0.375, 0.262, 0.293, 0.339, 0.275, 0.304, 0.283, 0.234]"
64,"[0.352, 0.335, 0.277, 0.286, 0.38, 0.271, 0.287, 0.334, 0.275, 0.267]"
65,"[0.293, 0.308, 0.33, 0.308, 0.318, 0.318, 0.316, 0.258, 0.296, 0.334]"
66,"[0.328, 0.219, 0.274, 0.252, 0.272, 0.294, 0.399, 0.291, 0.185, 0.291]"
67,"[0.341, 0.15, 0.273, 0.284, 0.354, 0.227, 0.335, 0.242, 0.206, 0.218]"
68,"[0.214, 0.191, 0.183, 0.196, 0.197, 0.261, 0.263, 0.24, 0.169, 0.113]"
69,"[0.255, 0.137, 0.198, 0.198, 0.387, 0.23, 0.357, 0.298, 0.188, 0.193]"
70,"[0.197, 0.186, 0.22, 0.284, 0.202, 0.212, 0.19, 0.201, 0.187, 0.182]"
71,"[0.327, 0.176, 0.204, 0.203, 0.373, 0.321, 0.354, 0.337, 0.192, 0.189]"
72,"[0.202, 0.177, 0.306, 0.335, 0.212, 0.216, 0.188, 0.21, 0.283, 0.289]"
73,"[0.361, 0.272, 0.212, 0.222, 0.377, 0.37, 0.363, 0.348, 0.21, 0.201]"
74,"[0.21, 0.19, 0.357, 0.33, 0.22, 0.228, 0.199, 0.219, 0.329, 0.358]"
75,"[0.349, 0.328, 0.216, 0.225, 0.402, 0.373, 0.344, 0.35, 0.223, 0.208]"
76,"[0.221, 0.201, 0.372, 0.321, 0.235, 0.241, 0.213, 0.231, 0.341, 0.382]"
77,"[0.346, 0.33, 0.228, 0.233, 0.399, 0.378, 0.342, 0.361, 0.235, 0.223]"
78,"[0.237, 0.219, 0.353, 0.315, 0.238, 0.26, 0.219, 0.235, 0.334, 0.382]"
79,"[0.355, 0.336, 0.233, 0.231, 0.407, 0.367, 0.336, 0.374, 0.25, 0.24]"
80,"[0.241, 0.229, 0.366, 0.309, 0.252, 0.259, 0.229, 0.244, 0.312, 0.348]"
81,"[0.387, 0.305, 0.237, 0.241, 0.419, 0.36, 0.367, 0.394, 0.26, 0.248]"
82,"[0.253, 0.238, 0.34, 0.316, 0.255, 0.266, 0.233, 0.257, 0.27, 0.305]"
83,"[0.378, 0.258, 0.248, 0.263, 0.424, 0.349, 0.386, 0.398, 0.264, 0.25]"
84,"[0.248, 0.25, 0.298, 0.34, 0.261, 0.278, 0.242, 0.269, 0.267, 0.278]"
85,"[0.379, 0.28, 0.257, 0.285, 0.377, 0.365, 0.378, 0.379, 0.282, 0.271]"
86,"[0.254, 0.268, 0.331, 0.345, 0.265, 0.287, 0.25, 0.275, 0.321, 0.348]"
87,"[0.373, 0.338, 0.268, 0.282, 0.375, 0.382, 0.379, 0.36, 0.299, 0.282]"
88,"[0.256, 0.27, 0.341, 0.338, 0.272, 0.291, 0.261, 0.281, 0.327, 0.372]"
89,"[0.363, 0.341, 0.269, 0.252, 0.375, 0.381, 0.372, 0.357, 0.271, 0.283]"
90,"[0.254, 0.256, 0.346, 0.336, 0.268, 0.269, 0.243, 0.283, 0.321, 0.365]"
91,"[0.366, 0.342, 0.254, 0.244, 0.375, 0.374, 0.371, 0.36, 0.275, 0.278]"
92,"[0.246, 0.25, 0.332, 0.332, 0.261, 0.26, 0.23, 0.259, 0.311, 0.353]"
93,"[0.373, 0.332, 0.244, 0.269, 0.37, 0.364, 0.369, 0.357, 0.265, 0.248]"
94,"[0.237, 0.24, 0.321, 0.33, 0.244, 0.254, 0.232, 0.257, 0.298, 0.345]"
95,"[0.367, 0.32, 0.229, 0.265, 0.363, 0.353, 0.362, 0.345, 0.259, 0.237]"
96,"[0.23, 0.232, 0.313, 0.331, 0.244, 0.252, 0.241, 0.277, 0.292, 0.339]"
97,"[0.367, 0.314, 0.239, 0.26, 0.367, 0.341, 0.358, 0.349, 0.263, 0.248]"
98,"[0.236, 0.247, 0.353, 0.318, 0.266, 0.264, 0.259, 0.325, 0.288, 0.332]"
99,"[0.364, 0.315, 0.285, 0.271, 0.405, 0.344, 0.403, 0.409, 0.292, 0.265]"
