betweeness_centrality,[2.]
18,"[tensor(2.0601), tensor(2.0991), tensor(1.9626), tensor(1.9871), tensor(2.0668), tensor(1.9718), tensor(2.0373), tensor(1.9804), tensor(2.0215), tensor(1.9401)]"
19,"[tensor(1.9632), tensor(1.9355), tensor(2.0087), tensor(2.0115), tensor(1.9462), tensor(1.9798), tensor(1.9724), tensor(2.0702), tensor(1.9942), tensor(2.0623)]"
20,"[tensor(1.9843), tensor(2.0592), tensor(1.9475), tensor(1.9730), tensor(2.0262), tensor(1.9722), tensor(1.9635), tensor(1.9553), tensor(1.9638), tensor(1.9119)]"
21,"[tensor(1.9731), tensor(1.9074), tensor(1.9553), tensor(1.9743), tensor(1.9104), tensor(1.9331), tensor(1.9878), tensor(2.0044), tensor(2.0022), tensor(2.0053)]"
22,"[tensor(1.9091), tensor(2.0072), tensor(1.9526), tensor(1.9656), tensor(1.9781), tensor(1.9636), tensor(1.9071), tensor(1.9658), tensor(1.9250), tensor(1.8896)]"
23,"[tensor(1.9790), tensor(1.8985), tensor(1.9164), tensor(1.9337), tensor(1.8919), tensor(1.9043), tensor(1.9946), tensor(1.9570), tensor(1.9987), tensor(1.9392)]"
24,"[tensor(1.8606), tensor(1.9353), tensor(1.9296), tensor(1.9420), tensor(1.9333), tensor(1.9509), tensor(1.8637), tensor(1.9655), tensor(1.8954), tensor(1.8984)]"
25,"[tensor(1.9742), tensor(1.9016), tensor(1.8797), tensor(1.8948), tensor(1.8757), tensor(1.8722), tensor(1.9822), tensor(1.9181), tensor(1.9754), tensor(1.8714)]"
26,"[tensor(1.8261), tensor(1.8662), tensor(1.8610), tensor(1.9127), tensor(1.8970), tensor(1.9306), tensor(1.8299), tensor(1.9705), tensor(1.8691), tensor(1.9046)]"
27,"[tensor(1.8948), tensor(1.8850), tensor(1.9268), tensor(1.8731), tensor(1.8485), tensor(1.8405), tensor(1.8872), tensor(1.8604), tensor(1.9465), tensor(1.8223)]"
28,"[tensor(1.7882), tensor(1.8469), tensor(1.8414), tensor(1.8333), tensor(1.8545), tensor(1.8560), tensor(1.7602), tensor(1.9039), tensor(1.8649), tensor(1.8686)]"
29,"[tensor(1.8524), tensor(1.8642), tensor(1.8851), tensor(1.8064), tensor(1.8124), tensor(1.8270), tensor(1.8407), tensor(1.8230), tensor(1.8648), tensor(1.7917)]"
30,"[tensor(1.8184), tensor(1.8308), tensor(1.7880), tensor(1.8205), tensor(1.8475), tensor(1.8310), tensor(1.7969), tensor(1.8555), tensor(1.8440), tensor(1.8321)]"
31,"[tensor(1.8188), tensor(1.8412), tensor(1.8816), tensor(1.8201), tensor(1.7832), tensor(1.8118), tensor(1.8000), tensor(1.7939), tensor(1.8650), tensor(1.8545)]"
32,"[tensor(1.8506), tensor(1.8537), tensor(1.7632), tensor(1.7945), tensor(1.8414), tensor(1.8458), tensor(1.8383), tensor(1.8452), tensor(1.8465), tensor(1.8215)]"
33,"[tensor(1.7936), tensor(1.8237), tensor(1.8819), tensor(1.8415), tensor(1.7607), tensor(1.7931), tensor(1.7639), tensor(1.7778), tensor(1.8815), tensor(1.8819)]"
34,"[tensor(1.8511), tensor(1.8697), tensor(1.7556), tensor(1.7526), tensor(1.8314), tensor(1.8442), tensor(1.8420), tensor(1.8425), tensor(1.8294), tensor(1.7956)]"
35,"[tensor(1.7531), tensor(1.7758), tensor(1.8743), tensor(1.7949), tensor(1.7388), tensor(1.7360), tensor(1.7197), tensor(1.7481), tensor(1.8820), tensor(1.8789)]"
36,"[tensor(1.8178), tensor(1.8577), tensor(1.7303), tensor(1.7192), tensor(1.8052), tensor(1.8045), tensor(1.7883), tensor(1.8239), tensor(1.7469), tensor(1.7264)]"
37,"[tensor(1.7185), tensor(1.7349), tensor(1.8512), tensor(1.7247), tensor(1.7180), tensor(1.6924), tensor(1.6939), tensor(1.7186), tensor(1.8375), tensor(1.8200)]"
38,"[tensor(1.7843), tensor(1.8274), tensor(1.7061), tensor(1.6918), tensor(1.7873), tensor(1.7718), tensor(1.7801), tensor(1.8079), tensor(1.7056), tensor(1.6967)]"
39,"[tensor(1.7056), tensor(1.7252), tensor(1.8285), tensor(1.7412), tensor(1.7092), tensor(1.6807), tensor(1.6939), tensor(1.7112), tensor(1.8218), tensor(1.8163)]"
40,"[tensor(1.7760), tensor(1.8132), tensor(1.7093), tensor(1.6957), tensor(1.7738), tensor(1.7705), tensor(1.7703), tensor(1.7826), tensor(1.7200), tensor(1.7040)]"
41,"[tensor(1.7223), tensor(1.7526), tensor(1.8068), tensor(1.7924), tensor(1.7086), tensor(1.7016), tensor(1.7149), tensor(1.7232), tensor(1.8185), tensor(1.8188)]"
42,"[tensor(1.7824), tensor(1.8074), tensor(1.7108), tensor(1.7218), tensor(1.7620), tensor(1.7745), tensor(1.7681), tensor(1.7664), tensor(1.7562), tensor(1.7386)]"
43,"[tensor(1.7363), tensor(1.7678), tensor(1.8105), tensor(1.7931), tensor(1.6994), tensor(1.7297), tensor(1.7271), tensor(1.7301), tensor(1.8113), tensor(1.8145)]"
44,"[tensor(1.7940), tensor(1.8071), tensor(1.6985), tensor(1.7648), tensor(1.7702), tensor(1.7831), tensor(1.7681), tensor(1.7699), tensor(1.7746), tensor(1.7634)]"
45,"[tensor(1.7293), tensor(1.7535), tensor(1.8204), tensor(1.7995), tensor(1.6844), tensor(1.7252), tensor(1.7005), tensor(1.7090), tensor(1.8158), tensor(1.8194)]"
46,"[tensor(1.7978), tensor(1.8093), tensor(1.6739), tensor(1.7668), tensor(1.7775), tensor(1.7874), tensor(1.7673), tensor(1.7758), tensor(1.7381), tensor(1.7378)]"
47,"[tensor(1.6960), tensor(1.7115), tensor(1.8255), tensor(1.7995), tensor(1.6692), tensor(1.6839), tensor(1.6630), tensor(1.6791), tensor(1.8227), tensor(1.8265)]"
48,"[tensor(1.7920), tensor(1.8152), tensor(1.6523), tensor(1.7204), tensor(1.7794), tensor(1.7852), tensor(1.7649), tensor(1.7766), tensor(1.6756), tensor(1.6842)]"
49,"[tensor(1.6633), tensor(1.6600), tensor(1.8297), tensor(1.7892), tensor(1.6537), tensor(1.6409), tensor(1.6396), tensor(1.6578), tensor(1.8212), tensor(1.8256)]"
50,"[tensor(1.7840), tensor(1.8199), tensor(1.6377), tensor(1.6674), tensor(1.7762), tensor(1.7717), tensor(1.7552), tensor(1.7748), tensor(1.6339), tensor(1.6410)]"
51,"[tensor(1.6519), tensor(1.6293), tensor(1.8238), tensor(1.7500), tensor(1.6528), tensor(1.6311), tensor(1.6338), tensor(1.6504), tensor(1.8039), tensor(1.8009)]"
52,"[tensor(1.7680), tensor(1.8094), tensor(1.6229), tensor(1.6560), tensor(1.7642), tensor(1.7548), tensor(1.7522), tensor(1.7709), tensor(1.6263), tensor(1.6344)]"
53,"[tensor(1.6496), tensor(1.6238), tensor(1.8175), tensor(1.7261), tensor(1.6425), tensor(1.6313), tensor(1.6381), tensor(1.6455), tensor(1.7960), tensor(1.7812)]"
54,"[tensor(1.7743), tensor(1.8146), tensor(1.6201), tensor(1.6674), tensor(1.7627), tensor(1.7597), tensor(1.7605), tensor(1.7800), tensor(1.6397), tensor(1.6428)]"
55,"[tensor(1.6651), tensor(1.6425), tensor(1.8134), tensor(1.7421), tensor(1.6417), tensor(1.6507), tensor(1.6531), tensor(1.6569), tensor(1.8075), tensor(1.7983)]"
56,"[tensor(1.7830), tensor(1.8225), tensor(1.6441), tensor(1.6932), tensor(1.7607), tensor(1.7689), tensor(1.7604), tensor(1.7805), tensor(1.6597), tensor(1.6604)]"
57,"[tensor(1.6848), tensor(1.6673), tensor(1.8117), tensor(1.7723), tensor(1.6538), tensor(1.6644), tensor(1.6583), tensor(1.6656), tensor(1.8125), tensor(1.8103)]"
58,"[tensor(1.7902), tensor(1.8183), tensor(1.6635), tensor(1.6987), tensor(1.7643), tensor(1.7814), tensor(1.7593), tensor(1.7767), tensor(1.6693), tensor(1.6751)]"
59,"[tensor(1.6926), tensor(1.6722), tensor(1.8209), tensor(1.8092), tensor(1.6583), tensor(1.6703), tensor(1.6586), tensor(1.6740), tensor(1.8257), tensor(1.8369)]"
60,"[tensor(1.8082), tensor(1.8218), tensor(1.6624), tensor(1.7343), tensor(1.7778), tensor(1.8036), tensor(1.7728), tensor(1.7841), tensor(1.6777), tensor(1.6896)]"
61,"[tensor(1.7122), tensor(1.6829), tensor(1.8481), tensor(1.8394), tensor(1.6805), tensor(1.6804), tensor(1.6955), tensor(1.6797), tensor(1.8509), tensor(1.8623)]"
62,"[tensor(1.8335), tensor(1.8447), tensor(1.6882), tensor(1.7871), tensor(1.8009), tensor(1.8272), tensor(1.7997), tensor(1.8063), tensor(1.7078), tensor(1.7276)]"
63,"[tensor(1.7859), tensor(1.7681), tensor(1.8692), tensor(1.8597), tensor(1.7300), tensor(1.7369), tensor(1.7689), tensor(1.7181), tensor(1.8810), tensor(1.8907)]"
64,"[tensor(1.8525), tensor(1.8693), tensor(1.7864), tensor(1.8440), tensor(1.8199), tensor(1.8524), tensor(1.8155), tensor(1.8348), tensor(1.7928), tensor(1.8430)]"
65,"[tensor(1.8608), tensor(1.8816), tensor(1.8916), tensor(1.8880), tensor(1.7899), tensor(1.7968), tensor(1.8266), tensor(1.7529), tensor(1.9122), tensor(1.9168)]"
66,"[tensor(1.8488), tensor(1.8810), tensor(1.8673), tensor(1.8603), tensor(1.8079), tensor(1.8530), tensor(1.8094), tensor(1.8430), tensor(1.8657), tensor(1.9075)]"
67,"[tensor(1.9045), tensor(1.9400), tensor(1.8899), tensor(1.8790), tensor(1.8380), tensor(1.8554), tensor(1.8585), tensor(1.8150), tensor(1.8986), tensor(1.8926)]"
68,"[tensor(1.8415), tensor(1.8641), tensor(1.9053), tensor(1.8729), tensor(1.8104), tensor(1.8422), tensor(1.8096), tensor(1.8341), tensor(1.9211), tensor(1.9485)]"
69,"[tensor(1.9530), tensor(1.9907), tensor(1.8806), tensor(1.8632), tensor(1.8876), tensor(1.9173), tensor(1.9064), tensor(1.8855), tensor(1.8819), tensor(1.8794)]"
70,"[tensor(1.8524), tensor(1.8717), tensor(1.9462), tensor(1.9101), tensor(1.8326), tensor(1.8591), tensor(1.8401), tensor(1.8569), tensor(1.9787), tensor(2.0088)]"
71,"[tensor(1.9719), tensor(2.0202), tensor(1.9014), tensor(1.8913), tensor(1.8971), tensor(1.9406), tensor(1.9203), tensor(1.9063), tensor(1.9100), tensor(1.9020)]"
72,"[tensor(1.8799), tensor(1.9021), tensor(1.9489), tensor(1.9104), tensor(1.8555), tensor(1.8856), tensor(1.8752), tensor(1.8875), tensor(1.9852), tensor(1.9986)]"
73,"[tensor(1.9710), tensor(2.0205), tensor(1.9319), tensor(1.9176), tensor(1.9117), tensor(1.9408), tensor(1.9274), tensor(1.9184), tensor(1.9349), tensor(1.9222)]"
74,"[tensor(1.9087), tensor(1.9332), tensor(1.9513), tensor(1.9041), tensor(1.8841), tensor(1.9107), tensor(1.9066), tensor(1.9148), tensor(1.9829), tensor(1.9901)]"
75,"[tensor(1.9739), tensor(2.0229), tensor(1.9603), tensor(1.9382), tensor(1.9252), tensor(1.9383), tensor(1.9343), tensor(1.9309), tensor(1.9588), tensor(1.9501)]"
76,"[tensor(1.9341), tensor(1.9589), tensor(1.9589), tensor(1.9112), tensor(1.9103), tensor(1.9351), tensor(1.9301), tensor(1.9403), tensor(1.9855), tensor(1.9935)]"
77,"[tensor(1.9757), tensor(2.0247), tensor(1.9823), tensor(1.9657), tensor(1.9305), tensor(1.9395), tensor(1.9358), tensor(1.9356), tensor(1.9841), tensor(1.9773)]"
78,"[tensor(1.9540), tensor(1.9799), tensor(1.9636), tensor(1.9296), tensor(1.9305), tensor(1.9575), tensor(1.9497), tensor(1.9587), tensor(1.9827), tensor(1.9930)]"
79,"[tensor(1.9744), tensor(2.0205), tensor(1.9994), tensor(1.9875), tensor(1.9314), tensor(1.9394), tensor(1.9523), tensor(1.9394), tensor(2.0038), tensor(1.9976)]"
80,"[tensor(1.9685), tensor(1.9941), tensor(1.9643), tensor(1.9530), tensor(1.9471), tensor(1.9746), tensor(1.9613), tensor(1.9757), tensor(1.9744), tensor(1.9849)]"
81,"[tensor(1.9866), tensor(2.0115), tensor(2.0136), tensor(2.0022), tensor(1.9445), tensor(1.9605), tensor(1.9816), tensor(1.9540), tensor(2.0178), tensor(2.0106)]"
82,"[tensor(1.9852), tensor(2.0079), tensor(1.9732), tensor(1.9980), tensor(1.9645), tensor(1.9934), tensor(1.9791), tensor(1.9954), tensor(1.9839), tensor(1.9980)]"
83,"[tensor(2.0027), tensor(2.0135), tensor(2.0345), tensor(2.0248), tensor(1.9586), tensor(1.9887), tensor(2.0089), tensor(1.9670), tensor(2.0380), tensor(2.0270)]"
84,"[tensor(2.0094), tensor(2.0286), tensor(1.9891), tensor(2.0347), tensor(1.9895), tensor(2.0167), tensor(2.0063), tensor(2.0213), tensor(1.9936), tensor(2.0061)]"
85,"[tensor(2.0192), tensor(2.0194), tensor(2.0587), tensor(2.0441), tensor(1.9787), tensor(2.0112), tensor(2.0392), tensor(1.9832), tensor(2.0615), tensor(2.0489)]"
86,"[tensor(2.0342), tensor(2.0532), tensor(2.0051), tensor(2.0605), tensor(2.0153), tensor(2.0417), tensor(2.0320), tensor(2.0467), tensor(2.0054), tensor(2.0210)]"
87,"[tensor(2.0423), tensor(2.0293), tensor(2.0812), tensor(2.0675), tensor(1.9989), tensor(2.0317), tensor(2.0552), tensor(2.0051), tensor(2.0854), tensor(2.0725)]"
88,"[tensor(2.0590), tensor(2.0765), tensor(2.0217), tensor(2.0849), tensor(2.0421), tensor(2.0647), tensor(2.0516), tensor(2.0718), tensor(2.0230), tensor(2.0359)]"
89,"[tensor(2.0569), tensor(2.0441), tensor(2.1043), tensor(2.0865), tensor(2.0206), tensor(2.0488), tensor(2.0711), tensor(2.0242), tensor(2.1073), tensor(2.0936)]"
90,"[tensor(2.0814), tensor(2.0972), tensor(2.0383), tensor(2.0951), tensor(2.0666), tensor(2.0852), tensor(2.0744), tensor(2.0930), tensor(2.0402), tensor(2.0544)]"
91,"[tensor(2.0722), tensor(2.0576), tensor(2.1242), tensor(2.1061), tensor(2.0390), tensor(2.0587), tensor(2.0831), tensor(2.0421), tensor(2.1253), tensor(2.1141)]"
92,"[tensor(2.1020), tensor(2.1165), tensor(2.0549), tensor(2.1073), tensor(2.0891), tensor(2.1041), tensor(2.0949), tensor(2.1146), tensor(2.0526), tensor(2.0659)]"
93,"[tensor(2.0894), tensor(2.0699), tensor(2.1413), tensor(2.1227), tensor(2.0615), tensor(2.0749), tensor(2.1004), tensor(2.0626), tensor(2.1428), tensor(2.1337)]"
94,"[tensor(2.1191), tensor(2.1338), tensor(2.0765), tensor(2.1249), tensor(2.1122), tensor(2.1227), tensor(2.1144), tensor(2.1315), tensor(2.0725), tensor(2.0826)]"
95,"[tensor(2.1126), tensor(2.0897), tensor(2.1557), tensor(2.1430), tensor(2.0875), tensor(2.0970), tensor(2.1259), tensor(2.0887), tensor(2.1567), tensor(2.1484)]"
96,"[tensor(2.1358), tensor(2.1499), tensor(2.0913), tensor(2.1461), tensor(2.1324), tensor(2.1396), tensor(2.1339), tensor(2.1503), tensor(2.1007), tensor(2.1101)]"
97,"[tensor(2.1205), tensor(2.1038), tensor(2.1741), tensor(2.1582), tensor(2.0946), tensor(2.1063), tensor(2.1262), tensor(2.0974), tensor(2.1716), tensor(2.1640)]"
98,"[tensor(2.1478), tensor(2.1613), tensor(2.1057), tensor(2.1541), tensor(2.1430), tensor(2.1517), tensor(2.1454), tensor(2.1617), tensor(2.1033), tensor(2.1200)]"
99,"[tensor(2.1305), tensor(2.1123), tensor(2.1818), tensor(2.1701), tensor(2.1109), tensor(2.1153), tensor(2.1351), tensor(2.1102), tensor(2.1779), tensor(2.1691)]"
