betweeness_centrality,[2.]
49,"[0.51, 0.445, 0.318, 0.424, 0.61, 0.531, 0.608, 0.605, 0.415, 0.414]"
50,"[0.428, 0.4, 0.498, 0.464, 0.348, 0.412, 0.423, 0.375, 0.521, 0.498]"
51,"[0.504, 0.462, 0.309, 0.398, 0.556, 0.537, 0.58, 0.55, 0.393, 0.383]"
52,"[0.374, 0.333, 0.508, 0.518, 0.358, 0.369, 0.403, 0.359, 0.541, 0.511]"
53,"[0.531, 0.491, 0.312, 0.389, 0.571, 0.568, 0.565, 0.542, 0.33, 0.317]"
54,"[0.425, 0.311, 0.537, 0.496, 0.368, 0.41, 0.424, 0.368, 0.522, 0.459]"
55,"[0.493, 0.449, 0.316, 0.416, 0.547, 0.493, 0.52, 0.527, 0.345, 0.342]"
56,"[0.387, 0.314, 0.505, 0.407, 0.371, 0.368, 0.381, 0.367, 0.467, 0.408]"
57,"[0.468, 0.389, 0.315, 0.344, 0.525, 0.498, 0.524, 0.536, 0.336, 0.327]"
58,"[0.437, 0.304, 0.361, 0.432, 0.453, 0.413, 0.488, 0.455, 0.521, 0.429]"
59,"[0.459, 0.408, 0.402, 0.4, 0.522, 0.528, 0.528, 0.519, 0.378, 0.368]"
60,"[0.419, 0.414, 0.402, 0.417, 0.418, 0.397, 0.416, 0.446, 0.509, 0.441]"
61,"[0.461, 0.441, 0.378, 0.351, 0.495, 0.484, 0.473, 0.485, 0.385, 0.353]"
62,"[0.375, 0.372, 0.433, 0.393, 0.388, 0.369, 0.374, 0.409, 0.421, 0.315]"
63,"[0.288, 0.289, 0.359, 0.336, 0.35, 0.345, 0.305, 0.408, 0.344, 0.329]"
64,"[0.349, 0.319, 0.276, 0.27, 0.338, 0.32, 0.341, 0.394, 0.281, 0.262]"
65,"[0.247, 0.245, 0.288, 0.309, 0.287, 0.291, 0.269, 0.392, 0.293, 0.27]"
66,"[0.34, 0.297, 0.234, 0.25, 0.35, 0.317, 0.352, 0.376, 0.248, 0.245]"
67,"[0.239, 0.225, 0.312, 0.3, 0.27, 0.275, 0.276, 0.284, 0.288, 0.278]"
68,"[0.37, 0.351, 0.229, 0.284, 0.385, 0.351, 0.38, 0.372, 0.226, 0.241]"
69,"[0.231, 0.213, 0.338, 0.376, 0.252, 0.271, 0.278, 0.265, 0.356, 0.348]"
70,"[0.366, 0.4, 0.23, 0.234, 0.39, 0.382, 0.412, 0.381, 0.214, 0.194]"
71,"[0.218, 0.209, 0.35, 0.414, 0.264, 0.254, 0.286, 0.271, 0.366, 0.348]"
72,"[0.397, 0.403, 0.223, 0.295, 0.423, 0.413, 0.443, 0.407, 0.217, 0.193]"
73,"[0.272, 0.214, 0.362, 0.435, 0.333, 0.343, 0.372, 0.337, 0.38, 0.363]"
74,"[0.409, 0.39, 0.292, 0.367, 0.425, 0.411, 0.45, 0.399, 0.307, 0.287]"
75,"[0.317, 0.28, 0.352, 0.417, 0.357, 0.365, 0.371, 0.34, 0.366, 0.353]"
76,"[0.388, 0.358, 0.306, 0.348, 0.411, 0.366, 0.412, 0.378, 0.249, 0.239]"
77,"[0.296, 0.223, 0.318, 0.358, 0.309, 0.316, 0.318, 0.275, 0.319, 0.317]"
78,"[0.359, 0.335, 0.254, 0.302, 0.38, 0.333, 0.377, 0.349, 0.231, 0.215]"
79,"[0.255, 0.213, 0.301, 0.329, 0.285, 0.291, 0.298, 0.265, 0.305, 0.291]"
80,"[0.357, 0.325, 0.235, 0.296, 0.371, 0.324, 0.367, 0.335, 0.225, 0.222]"
81,"[0.247, 0.21, 0.291, 0.324, 0.269, 0.282, 0.285, 0.256, 0.301, 0.292]"
82,"[0.354, 0.315, 0.226, 0.372, 0.365, 0.322, 0.365, 0.331, 0.22, 0.214]"
83,"[0.258, 0.219, 0.279, 0.322, 0.28, 0.291, 0.372, 0.278, 0.292, 0.29]"
84,"[0.353, 0.314, 0.252, 0.393, 0.359, 0.317, 0.367, 0.316, 0.253, 0.235]"
85,"[0.262, 0.242, 0.285, 0.327, 0.304, 0.286, 0.431, 0.294, 0.297, 0.302]"
86,"[0.348, 0.311, 0.241, 0.415, 0.346, 0.328, 0.356, 0.319, 0.239, 0.229]"
87,"[0.279, 0.247, 0.289, 0.322, 0.318, 0.313, 0.433, 0.313, 0.31, 0.309]"
88,"[0.353, 0.322, 0.26, 0.396, 0.34, 0.33, 0.347, 0.318, 0.257, 0.252]"
89,"[0.314, 0.25, 0.288, 0.309, 0.359, 0.351, 0.41, 0.339, 0.308, 0.309]"
90,"[0.331, 0.307, 0.278, 0.375, 0.334, 0.307, 0.322, 0.304, 0.278, 0.253]"
91,"[0.31, 0.251, 0.284, 0.29, 0.36, 0.346, 0.378, 0.346, 0.303, 0.287]"
92,"[0.312, 0.3, 0.28, 0.347, 0.317, 0.291, 0.303, 0.283, 0.289, 0.264]"
93,"[0.306, 0.263, 0.263, 0.276, 0.33, 0.34, 0.347, 0.345, 0.285, 0.271]"
94,"[0.298, 0.303, 0.267, 0.318, 0.307, 0.288, 0.299, 0.266, 0.281, 0.259]"
95,"[0.291, 0.277, 0.255, 0.257, 0.31, 0.311, 0.299, 0.303, 0.267, 0.252]"
96,"[0.301, 0.288, 0.255, 0.297, 0.301, 0.279, 0.291, 0.265, 0.272, 0.258]"
97,"[0.297, 0.267, 0.247, 0.252, 0.328, 0.321, 0.304, 0.3, 0.268, 0.249]"
98,"[0.303, 0.293, 0.258, 0.292, 0.301, 0.276, 0.287, 0.267, 0.288, 0.262]"
99,"[0.294, 0.271, 0.25, 0.256, 0.323, 0.328, 0.303, 0.294, 0.275, 0.26]"
