betweeness_centrality,[2.]
19,"[tensor(2.2966), tensor(2.2949), tensor(2.2889), tensor(2.2897), tensor(2.2978), tensor(2.2902), tensor(2.2942), tensor(2.2852), tensor(2.2928), tensor(2.2860)]"
20,"[tensor(2.2941), tensor(2.2884), tensor(2.2877), tensor(2.2798), tensor(2.2930), tensor(2.2909), tensor(2.2897), tensor(2.2953), tensor(2.2855), tensor(2.2951)]"
21,"[tensor(2.2944), tensor(2.2937), tensor(2.2865), tensor(2.2885), tensor(2.2969), tensor(2.2870), tensor(2.2921), tensor(2.2823), tensor(2.2904), tensor(2.2835)]"
22,"[tensor(2.2921), tensor(2.2847), tensor(2.2840), tensor(2.2750), tensor(2.2901), tensor(2.2884), tensor(2.2872), tensor(2.2935), tensor(2.2826), tensor(2.2940)]"
23,"[tensor(2.2922), tensor(2.2910), tensor(2.2839), tensor(2.2901), tensor(2.2957), tensor(2.2835), tensor(2.2894), tensor(2.2784), tensor(2.2873), tensor(2.2798)]"
24,"[tensor(2.2901), tensor(2.2817), tensor(2.2803), tensor(2.2727), tensor(2.2863), tensor(2.2873), tensor(2.2837), tensor(2.2920), tensor(2.2787), tensor(2.2924)]"
25,"[tensor(2.2895), tensor(2.2891), tensor(2.2836), tensor(2.2903), tensor(2.2939), tensor(2.2802), tensor(2.2854), tensor(2.2740), tensor(2.2862), tensor(2.2756)]"
26,"[tensor(2.2883), tensor(2.2790), tensor(2.2793), tensor(2.2687), tensor(2.2822), tensor(2.2859), tensor(2.2816), tensor(2.2906), tensor(2.2762), tensor(2.2904)]"
27,"[tensor(2.2883), tensor(2.2854), tensor(2.2825), tensor(2.2887), tensor(2.2913), tensor(2.2772), tensor(2.2831), tensor(2.2735), tensor(2.2840), tensor(2.2715)]"
28,"[tensor(2.2873), tensor(2.2793), tensor(2.2780), tensor(2.2679), tensor(2.2806), tensor(2.2847), tensor(2.2843), tensor(2.2870), tensor(2.2745), tensor(2.2869)]"
29,"[tensor(2.2864), tensor(2.2802), tensor(2.2819), tensor(2.2866), tensor(2.2864), tensor(2.2747), tensor(2.2796), tensor(2.2718), tensor(2.2763), tensor(2.2700)]"
30,"[tensor(2.2859), tensor(2.2809), tensor(2.2713), tensor(2.2642), tensor(2.2816), tensor(2.2816), tensor(2.2823), tensor(2.2827), tensor(2.2695), tensor(2.2777)]"
31,"[tensor(2.2815), tensor(2.2744), tensor(2.2770), tensor(2.2814), tensor(2.2814), tensor(2.2683), tensor(2.2737), tensor(2.2671), tensor(2.2765), tensor(2.2744)]"
32,"[tensor(2.2821), tensor(2.2794), tensor(2.2676), tensor(2.2585), tensor(2.2747), tensor(2.2753), tensor(2.2781), tensor(2.2759), tensor(2.2655), tensor(2.2665)]"
33,"[tensor(2.2747), tensor(2.2652), tensor(2.2704), tensor(2.2757), tensor(2.2773), tensor(2.2620), tensor(2.2661), tensor(2.2626), tensor(2.2681), tensor(2.2685)]"
34,"[tensor(2.2764), tensor(2.2731), tensor(2.2581), tensor(2.2510), tensor(2.2695), tensor(2.2640), tensor(2.2734), tensor(2.2675), tensor(2.2562), tensor(2.2565)]"
35,"[tensor(2.2677), tensor(2.2554), tensor(2.2590), tensor(2.2679), tensor(2.2722), tensor(2.2546), tensor(2.2582), tensor(2.2539), tensor(2.2575), tensor(2.2621)]"
36,"[tensor(2.2678), tensor(2.2653), tensor(2.2499), tensor(2.2418), tensor(2.2620), tensor(2.2531), tensor(2.2653), tensor(2.2547), tensor(2.2451), tensor(2.2488)]"
37,"[tensor(2.2630), tensor(2.2468), tensor(2.2461), tensor(2.2556), tensor(2.2646), tensor(2.2507), tensor(2.2508), tensor(2.2433), tensor(2.2413), tensor(2.2553)]"
38,"[tensor(2.2618), tensor(2.2553), tensor(2.2409), tensor(2.2342), tensor(2.2569), tensor(2.2454), tensor(2.2578), tensor(2.2388), tensor(2.2413), tensor(2.2440)]"
39,"[tensor(2.2600), tensor(2.2418), tensor(2.2372), tensor(2.2444), tensor(2.2598), tensor(2.2460), tensor(2.2474), tensor(2.2401), tensor(2.2323), tensor(2.2499)]"
40,"[tensor(2.2572), tensor(2.2492), tensor(2.2353), tensor(2.2306), tensor(2.2545), tensor(2.2432), tensor(2.2541), tensor(2.2324), tensor(2.2445), tensor(2.2428)]"
41,"[tensor(2.2650), tensor(2.2436), tensor(2.2390), tensor(2.2342), tensor(2.2533), tensor(2.2447), tensor(2.2491), tensor(2.2491), tensor(2.2333), tensor(2.2450)]"
42,"[tensor(2.2579), tensor(2.2465), tensor(2.2282), tensor(2.2242), tensor(2.2542), tensor(2.2466), tensor(2.2542), tensor(2.2460), tensor(2.2469), tensor(2.2459)]"
43,"[tensor(2.2693), tensor(2.2431), tensor(2.2388), tensor(2.2304), tensor(2.2490), tensor(2.2425), tensor(2.2507), tensor(2.2503), tensor(2.2356), tensor(2.2459)]"
44,"[tensor(2.2555), tensor(2.2453), tensor(2.2244), tensor(2.2191), tensor(2.2508), tensor(2.2486), tensor(2.2525), tensor(2.2534), tensor(2.2438), tensor(2.2437)]"
45,"[tensor(2.2695), tensor(2.2408), tensor(2.2386), tensor(2.2273), tensor(2.2447), tensor(2.2387), tensor(2.2502), tensor(2.2484), tensor(2.2288), tensor(2.2453)]"
46,"[tensor(2.2536), tensor(2.2444), tensor(2.2232), tensor(2.2168), tensor(2.2507), tensor(2.2449), tensor(2.2507), tensor(2.2547), tensor(2.2402), tensor(2.2421)]"
47,"[tensor(2.2678), tensor(2.2393), tensor(2.2391), tensor(2.2247), tensor(2.2406), tensor(2.2360), tensor(2.2497), tensor(2.2461), tensor(2.2278), tensor(2.2445)]"
48,"[tensor(2.2531), tensor(2.2424), tensor(2.2175), tensor(2.2202), tensor(2.2472), tensor(2.2429), tensor(2.2473), tensor(2.2537), tensor(2.2370), tensor(2.2429)]"
49,"[tensor(2.2613), tensor(2.2326), tensor(2.2410), tensor(2.2160), tensor(2.2315), tensor(2.2353), tensor(2.2431), tensor(2.2431), tensor(2.2252), tensor(2.2425)]"
50,"[tensor(2.2507), tensor(2.2397), tensor(2.2129), tensor(2.2211), tensor(2.2455), tensor(2.2349), tensor(2.2425), tensor(2.2447), tensor(2.2283), tensor(2.2380)]"
51,"[tensor(2.2502), tensor(2.2195), tensor(2.2391), tensor(2.2109), tensor(2.2264), tensor(2.2319), tensor(2.2280), tensor(2.2389), tensor(2.2197), tensor(2.2410)]"
52,"[tensor(2.2472), tensor(2.2353), tensor(2.2065), tensor(2.2288), tensor(2.2455), tensor(2.2337), tensor(2.2366), tensor(2.2329), tensor(2.2172), tensor(2.2303)]"
53,"[tensor(2.2394), tensor(2.2065), tensor(2.2355), tensor(2.2171), tensor(2.2194), tensor(2.2281), tensor(2.2137), tensor(2.2338), tensor(2.2143), tensor(2.2373)]"
54,"[tensor(2.2432), tensor(2.2305), tensor(2.2015), tensor(2.2274), tensor(2.2422), tensor(2.2308), tensor(2.2305), tensor(2.2206), tensor(2.2072), tensor(2.2185)]"
55,"[tensor(2.2237), tensor(2.1937), tensor(2.2303), tensor(2.2113), tensor(2.2079), tensor(2.2243), tensor(2.1993), tensor(2.2307), tensor(2.2086), tensor(2.2318)]"
56,"[tensor(2.2379), tensor(2.2267), tensor(2.1946), tensor(2.2254), tensor(2.2365), tensor(2.2081), tensor(2.2267), tensor(2.1966), tensor(2.1994), tensor(2.2011)]"
57,"[tensor(2.2093), tensor(2.1848), tensor(2.2231), tensor(2.1886), tensor(2.2000), tensor(2.2156), tensor(2.1908), tensor(2.2252), tensor(2.2108), tensor(2.2281)]"
58,"[tensor(2.2309), tensor(2.2232), tensor(2.1899), tensor(2.2236), tensor(2.2298), tensor(2.1925), tensor(2.2228), tensor(2.1874), tensor(2.1948), tensor(2.1886)]"
59,"[tensor(2.1952), tensor(2.1790), tensor(2.2220), tensor(2.1734), tensor(2.1931), tensor(2.2084), tensor(2.1861), tensor(2.2172), tensor(2.2107), tensor(2.2254)]"
60,"[tensor(2.2255), tensor(2.2251), tensor(2.1884), tensor(2.2200), tensor(2.2249), tensor(2.2005), tensor(2.2235), tensor(2.2026), tensor(2.1905), tensor(2.1786)]"
61,"[tensor(2.1937), tensor(2.1853), tensor(2.2183), tensor(2.1838), tensor(2.1965), tensor(2.2056), tensor(2.1938), tensor(2.2157), tensor(2.2239), tensor(2.2304)]"
62,"[tensor(2.2235), tensor(2.2300), tensor(2.1954), tensor(2.2282), tensor(2.2242), tensor(2.2174), tensor(2.2263), tensor(2.2189), tensor(2.2061), tensor(2.1894)]"
63,"[tensor(2.2010), tensor(2.2007), tensor(2.2202), tensor(2.2245), tensor(2.1985), tensor(2.2092), tensor(2.2060), tensor(2.2213), tensor(2.2362), tensor(2.2357)]"
64,"[tensor(2.2231), tensor(2.2289), tensor(2.2109), tensor(2.2359), tensor(2.2123), tensor(2.2224), tensor(2.2234), tensor(2.2198), tensor(2.2201), tensor(2.2031)]"
65,"[tensor(2.2100), tensor(2.2149), tensor(2.2139), tensor(2.2245), tensor(2.2001), tensor(2.2166), tensor(2.2147), tensor(2.2224), tensor(2.2313), tensor(2.2264)]"
66,"[tensor(2.2198), tensor(2.2214), tensor(2.2298), tensor(2.2292), tensor(2.2135), tensor(2.2173), tensor(2.2131), tensor(2.2170), tensor(2.2220), tensor(2.2043)]"
67,"[tensor(2.2178), tensor(2.2295), tensor(2.2013), tensor(2.2167), tensor(2.2111), tensor(2.2209), tensor(2.2223), tensor(2.2246), tensor(2.2248), tensor(2.2211)]"
68,"[tensor(2.2126), tensor(2.2134), tensor(2.2336), tensor(2.2279), tensor(2.2108), tensor(2.2091), tensor(2.2006), tensor(2.2074), tensor(2.2249), tensor(2.2219)]"
69,"[tensor(2.2104), tensor(2.2292), tensor(2.1997), tensor(2.2099), tensor(2.1964), tensor(2.2144), tensor(2.2142), tensor(2.2096), tensor(2.2175), tensor(2.2186)]"
70,"[tensor(2.2131), tensor(2.2088), tensor(2.2213), tensor(2.2143), tensor(2.2032), tensor(2.2008), tensor(2.1968), tensor(2.1967), tensor(2.2153), tensor(2.2122)]"
71,"[tensor(2.2058), tensor(2.2203), tensor(2.1950), tensor(2.1971), tensor(2.1924), tensor(2.2028), tensor(2.2078), tensor(2.1979), tensor(2.2069), tensor(2.2124)]"
72,"[tensor(2.2075), tensor(2.2038), tensor(2.2122), tensor(2.2032), tensor(2.1972), tensor(2.1921), tensor(2.1937), tensor(2.1873), tensor(2.2067), tensor(2.2069)]"
73,"[tensor(2.1981), tensor(2.2131), tensor(2.1874), tensor(2.1853), tensor(2.1837), tensor(2.1934), tensor(2.1993), tensor(2.1862), tensor(2.1977), tensor(2.2068)]"
74,"[tensor(2.2000), tensor(2.1962), tensor(2.2048), tensor(2.1933), tensor(2.1906), tensor(2.1832), tensor(2.1875), tensor(2.1790), tensor(2.1983), tensor(2.1983)]"
75,"[tensor(2.1905), tensor(2.2075), tensor(2.1805), tensor(2.1769), tensor(2.1781), tensor(2.1867), tensor(2.1918), tensor(2.1798), tensor(2.1918), tensor(2.2016)]"
76,"[tensor(2.1943), tensor(2.1911), tensor(2.1979), tensor(2.1875), tensor(2.1882), tensor(2.1779), tensor(2.1822), tensor(2.1750), tensor(2.1935), tensor(2.1934)]"
77,"[tensor(2.1851), tensor(2.2025), tensor(2.1769), tensor(2.1751), tensor(2.1711), tensor(2.1821), tensor(2.1879), tensor(2.1749), tensor(2.1891), tensor(2.2007)]"
78,"[tensor(2.1915), tensor(2.1907), tensor(2.1918), tensor(2.1851), tensor(2.1848), tensor(2.1762), tensor(2.1800), tensor(2.1744), tensor(2.1901), tensor(2.1884)]"
79,"[tensor(2.1801), tensor(2.1980), tensor(2.1742), tensor(2.1775), tensor(2.1654), tensor(2.1792), tensor(2.1849), tensor(2.1720), tensor(2.1891), tensor(2.2023)]"
80,"[tensor(2.1919), tensor(2.1918), tensor(2.1817), tensor(2.1860), tensor(2.1821), tensor(2.1765), tensor(2.1802), tensor(2.1741), tensor(2.1879), tensor(2.1859)]"
81,"[tensor(2.1743), tensor(2.1925), tensor(2.1689), tensor(2.1811), tensor(2.1579), tensor(2.1761), tensor(2.1801), tensor(2.1635), tensor(2.1893), tensor(2.2032)]"
82,"[tensor(2.1897), tensor(2.1916), tensor(2.1820), tensor(2.1823), tensor(2.1788), tensor(2.1746), tensor(2.1766), tensor(2.1669), tensor(2.1819), tensor(2.1785)]"
83,"[tensor(2.1707), tensor(2.1850), tensor(2.1604), tensor(2.1805), tensor(2.1551), tensor(2.1689), tensor(2.1756), tensor(2.1578), tensor(2.1885), tensor(2.2024)]"
84,"[tensor(2.1893), tensor(2.1895), tensor(2.1810), tensor(2.1745), tensor(2.1725), tensor(2.1728), tensor(2.1744), tensor(2.1598), tensor(2.1726), tensor(2.1731)]"
85,"[tensor(2.1683), tensor(2.1833), tensor(2.1656), tensor(2.1783), tensor(2.1547), tensor(2.1677), tensor(2.1700), tensor(2.1574), tensor(2.1866), tensor(2.2009)]"
86,"[tensor(2.1898), tensor(2.1887), tensor(2.1755), tensor(2.1725), tensor(2.1696), tensor(2.1681), tensor(2.1720), tensor(2.1506), tensor(2.1747), tensor(2.1739)]"
87,"[tensor(2.1623), tensor(2.1786), tensor(2.1685), tensor(2.1700), tensor(2.1507), tensor(2.1626), tensor(2.1644), tensor(2.1564), tensor(2.1827), tensor(2.1998)]"
88,"[tensor(2.1865), tensor(2.1843), tensor(2.1710), tensor(2.1723), tensor(2.1676), tensor(2.1633), tensor(2.1709), tensor(2.1489), tensor(2.1747), tensor(2.1687)]"
89,"[tensor(2.1583), tensor(2.1755), tensor(2.1646), tensor(2.1652), tensor(2.1478), tensor(2.1594), tensor(2.1610), tensor(2.1534), tensor(2.1821), tensor(2.1965)]"
90,"[tensor(2.1811), tensor(2.1782), tensor(2.1690), tensor(2.1723), tensor(2.1629), tensor(2.1596), tensor(2.1664), tensor(2.1454), tensor(2.1742), tensor(2.1663)]"
91,"[tensor(2.1559), tensor(2.1737), tensor(2.1609), tensor(2.1629), tensor(2.1459), tensor(2.1579), tensor(2.1592), tensor(2.1514), tensor(2.1800), tensor(2.1921)]"
92,"[tensor(2.1759), tensor(2.1732), tensor(2.1678), tensor(2.1728), tensor(2.1593), tensor(2.1562), tensor(2.1620), tensor(2.1433), tensor(2.1745), tensor(2.1657)]"
93,"[tensor(2.1541), tensor(2.1727), tensor(2.1574), tensor(2.1631), tensor(2.1426), tensor(2.1567), tensor(2.1570), tensor(2.1488), tensor(2.1779), tensor(2.1909)]"
94,"[tensor(2.1725), tensor(2.1705), tensor(2.1671), tensor(2.1718), tensor(2.1566), tensor(2.1535), tensor(2.1590), tensor(2.1408), tensor(2.1747), tensor(2.1640)]"
95,"[tensor(2.1513), tensor(2.1716), tensor(2.1513), tensor(2.1607), tensor(2.1398), tensor(2.1554), tensor(2.1541), tensor(2.1442), tensor(2.1755), tensor(2.1878)]"
96,"[tensor(2.1692), tensor(2.1681), tensor(2.1621), tensor(2.1670), tensor(2.1527), tensor(2.1498), tensor(2.1552), tensor(2.1368), tensor(2.1722), tensor(2.1614)]"
97,"[tensor(2.1450), tensor(2.1668), tensor(2.1409), tensor(2.1588), tensor(2.1325), tensor(2.1509), tensor(2.1488), tensor(2.1353), tensor(2.1725), tensor(2.1843)]"
98,"[tensor(2.1659), tensor(2.1671), tensor(2.1517), tensor(2.1581), tensor(2.1473), tensor(2.1478), tensor(2.1524), tensor(2.1312), tensor(2.1643), tensor(2.1548)]"
99,"[tensor(2.1351), tensor(2.1550), tensor(2.1358), tensor(2.1597), tensor(2.1237), tensor(2.1395), tensor(2.1407), tensor(2.1223), tensor(2.1706), tensor(2.1835)]"
