betweeness_centrality,[2. 7.]
19,"[tensor(2.2966), tensor(2.2949), tensor(2.2889), tensor(2.2897), tensor(2.2978), tensor(2.2902), tensor(2.2942), tensor(2.2852), tensor(2.2928), tensor(2.2860)]"
20,"[tensor(2.2941), tensor(2.2884), tensor(2.2877), tensor(2.2798), tensor(2.2930), tensor(2.2909), tensor(2.2897), tensor(2.2953), tensor(2.2855), tensor(2.2951)]"
21,"[tensor(2.2944), tensor(2.2937), tensor(2.2865), tensor(2.2885), tensor(2.2969), tensor(2.2870), tensor(2.2921), tensor(2.2823), tensor(2.2904), tensor(2.2835)]"
22,"[tensor(2.2921), tensor(2.2847), tensor(2.2840), tensor(2.2750), tensor(2.2901), tensor(2.2884), tensor(2.2872), tensor(2.2935), tensor(2.2826), tensor(2.2940)]"
23,"[tensor(2.2922), tensor(2.2910), tensor(2.2839), tensor(2.2901), tensor(2.2957), tensor(2.2835), tensor(2.2894), tensor(2.2784), tensor(2.2873), tensor(2.2798)]"
24,"[tensor(2.2901), tensor(2.2817), tensor(2.2803), tensor(2.2727), tensor(2.2863), tensor(2.2873), tensor(2.2837), tensor(2.2920), tensor(2.2787), tensor(2.2924)]"
25,"[tensor(2.2895), tensor(2.2891), tensor(2.2836), tensor(2.2903), tensor(2.2939), tensor(2.2802), tensor(2.2854), tensor(2.2740), tensor(2.2862), tensor(2.2756)]"
26,"[tensor(2.2883), tensor(2.2790), tensor(2.2793), tensor(2.2687), tensor(2.2822), tensor(2.2859), tensor(2.2816), tensor(2.2899), tensor(2.2761), tensor(2.2904)]"
27,"[tensor(2.2868), tensor(2.2873), tensor(2.2838), tensor(2.2899), tensor(2.2918), tensor(2.2773), tensor(2.2835), tensor(2.2745), tensor(2.2865), tensor(2.2724)]"
28,"[tensor(2.2873), tensor(2.2815), tensor(2.2792), tensor(2.2676), tensor(2.2814), tensor(2.2861), tensor(2.2848), tensor(2.2856), tensor(2.2772), tensor(2.2863)]"
29,"[tensor(2.2849), tensor(2.2815), tensor(2.2821), tensor(2.2879), tensor(2.2893), tensor(2.2776), tensor(2.2808), tensor(2.2761), tensor(2.2813), tensor(2.2766)]"
30,"[tensor(2.2874), tensor(2.2828), tensor(2.2772), tensor(2.2687), tensor(2.2797), tensor(2.2821), tensor(2.2844), tensor(2.2755), tensor(2.2757), tensor(2.2814)]"
31,"[tensor(2.2816), tensor(2.2750), tensor(2.2764), tensor(2.2811), tensor(2.2833), tensor(2.2727), tensor(2.2750), tensor(2.2734), tensor(2.2736), tensor(2.2725)]"
32,"[tensor(2.2792), tensor(2.2722), tensor(2.2721), tensor(2.2627), tensor(2.2750), tensor(2.2712), tensor(2.2720), tensor(2.2698), tensor(2.2663), tensor(2.2735)]"
33,"[tensor(2.2746), tensor(2.2660), tensor(2.2665), tensor(2.2691), tensor(2.2779), tensor(2.2623), tensor(2.2669), tensor(2.2668), tensor(2.2591), tensor(2.2604)]"
34,"[tensor(2.2729), tensor(2.2616), tensor(2.2602), tensor(2.2512), tensor(2.2719), tensor(2.2617), tensor(2.2661), tensor(2.2572), tensor(2.2571), tensor(2.2645)]"
35,"[tensor(2.2682), tensor(2.2578), tensor(2.2595), tensor(2.2565), tensor(2.2701), tensor(2.2528), tensor(2.2618), tensor(2.2581), tensor(2.2504), tensor(2.2534)]"
36,"[tensor(2.2685), tensor(2.2574), tensor(2.2542), tensor(2.2410), tensor(2.2704), tensor(2.2552), tensor(2.2597), tensor(2.2438), tensor(2.2525), tensor(2.2607)]"
37,"[tensor(2.2673), tensor(2.2569), tensor(2.2541), tensor(2.2474), tensor(2.2650), tensor(2.2480), tensor(2.2617), tensor(2.2543), tensor(2.2465), tensor(2.2511)]"
38,"[tensor(2.2674), tensor(2.2531), tensor(2.2491), tensor(2.2391), tensor(2.2780), tensor(2.2567), tensor(2.2579), tensor(2.2380), tensor(2.2516), tensor(2.2627)]"
39,"[tensor(2.2711), tensor(2.2598), tensor(2.2585), tensor(2.2425), tensor(2.2615), tensor(2.2462), tensor(2.2680), tensor(2.2543), tensor(2.2454), tensor(2.2499)]"
40,"[tensor(2.2698), tensor(2.2520), tensor(2.2438), tensor(2.2447), tensor(2.2981), tensor(2.2715), tensor(2.2575), tensor(2.2346), tensor(2.2493), tensor(2.2793)]"
41,"[tensor(2.2774), tensor(2.2605), tensor(2.2697), tensor(2.2403), tensor(2.2607), tensor(2.2453), tensor(2.2754), tensor(2.2538), tensor(2.2585), tensor(2.2549)]"
42,"[tensor(2.2700), tensor(2.2534), tensor(2.2448), tensor(2.2506), tensor(2.2963), tensor(2.2866), tensor(2.2570), tensor(2.2439), tensor(2.2506), tensor(2.3045)]"
43,"[tensor(2.2942), tensor(2.2589), tensor(2.2789), tensor(2.2406), tensor(2.2593), tensor(2.2477), tensor(2.2878), tensor(2.2543), tensor(2.2877), tensor(2.2591)]"
44,"[tensor(2.2713), tensor(2.2552), tensor(2.2380), tensor(2.2558), tensor(2.3094), tensor(2.3104), tensor(2.2569), tensor(2.2439), tensor(2.2476), tensor(2.3241)]"
45,"[tensor(2.2959), tensor(2.2474), tensor(2.2817), tensor(2.2414), tensor(2.2571), tensor(2.2477), tensor(2.2940), tensor(2.2536), tensor(2.3057), tensor(2.2613)]"
46,"[tensor(2.2686), tensor(2.2548), tensor(2.2441), tensor(2.2481), tensor(2.3087), tensor(2.3054), tensor(2.2552), tensor(2.2332), tensor(2.2470), tensor(2.3152)]"
47,"[tensor(2.2625), tensor(2.2354), tensor(2.2673), tensor(2.2403), tensor(2.2559), tensor(2.2482), tensor(2.2556), tensor(2.2563), tensor(2.2735), tensor(2.2598)]"
48,"[tensor(2.2652), tensor(2.2551), tensor(2.2495), tensor(2.2468), tensor(2.2807), tensor(2.2554), tensor(2.2574), tensor(2.2308), tensor(2.2521), tensor(2.2624)]"
49,"[tensor(2.2524), tensor(2.2440), tensor(2.2603), tensor(2.2460), tensor(2.2541), tensor(2.2554), tensor(2.2466), tensor(2.2616), tensor(2.2533), tensor(2.2611)]"
50,"[tensor(2.2703), tensor(2.2682), tensor(2.2605), tensor(2.2684), tensor(2.2716), tensor(2.2601), tensor(2.2691), tensor(2.2439), tensor(2.2671), tensor(2.2671)]"
51,"[tensor(2.2637), tensor(2.2684), tensor(2.2755), tensor(2.2688), tensor(2.2586), tensor(2.2715), tensor(2.2676), tensor(2.2732), tensor(2.2734), tensor(2.2662)]"
52,"[tensor(2.2792), tensor(2.2875), tensor(2.2822), tensor(2.2883), tensor(2.2771), tensor(2.2785), tensor(2.2852), tensor(2.2662), tensor(2.2853), tensor(2.2793)]"
53,"[tensor(2.2777), tensor(2.2913), tensor(2.2769), tensor(2.2919), tensor(2.2725), tensor(2.2870), tensor(2.2897), tensor(2.2782), tensor(2.2898), tensor(2.2790)]"
54,"[tensor(2.2818), tensor(2.2888), tensor(2.2957), tensor(2.2993), tensor(2.2746), tensor(2.2862), tensor(2.2904), tensor(2.2856), tensor(2.2953), tensor(2.2851)]"
55,"[tensor(2.2807), tensor(2.2982), tensor(2.2766), tensor(2.2977), tensor(2.2775), tensor(2.2863), tensor(2.2894), tensor(2.2712), tensor(2.2879), tensor(2.2786)]"
56,"[tensor(2.2718), tensor(2.2725), tensor(2.2999), tensor(2.2775), tensor(2.2694), tensor(2.2714), tensor(2.2692), tensor(2.3060), tensor(2.2834), tensor(2.2699)]"
57,"[tensor(2.2765), tensor(2.2986), tensor(2.2669), tensor(2.2868), tensor(2.2823), tensor(2.2783), tensor(2.2828), tensor(2.2649), tensor(2.2734), tensor(2.2675)]"
58,"[tensor(2.2688), tensor(2.2645), tensor(2.2990), tensor(2.2689), tensor(2.2707), tensor(2.2654), tensor(2.2643), tensor(2.2971), tensor(2.2819), tensor(2.2651)]"
59,"[tensor(2.2770), tensor(2.3003), tensor(2.2650), tensor(2.2948), tensor(2.2827), tensor(2.2815), tensor(2.2855), tensor(2.2625), tensor(2.2679), tensor(2.2678)]"
60,"[tensor(2.2694), tensor(2.2635), tensor(2.2947), tensor(2.2676), tensor(2.2731), tensor(2.2656), tensor(2.2649), tensor(2.2921), tensor(2.3020), tensor(2.2706)]"
61,"[tensor(2.2720), tensor(2.3001), tensor(2.2655), tensor(2.2989), tensor(2.2769), tensor(2.2789), tensor(2.2788), tensor(2.2633), tensor(2.2668), tensor(2.2645)]"
62,"[tensor(2.2682), tensor(2.2620), tensor(2.2890), tensor(2.2671), tensor(2.2744), tensor(2.2636), tensor(2.2623), tensor(2.2854), tensor(2.2953), tensor(2.2667)]"
63,"[tensor(2.2687), tensor(2.2993), tensor(2.2658), tensor(2.2902), tensor(2.2764), tensor(2.2773), tensor(2.2783), tensor(2.2629), tensor(2.2617), tensor(2.2565)]"
64,"[tensor(2.2694), tensor(2.2612), tensor(2.2659), tensor(2.2601), tensor(2.2794), tensor(2.2631), tensor(2.2602), tensor(2.2650), tensor(2.3005), tensor(2.2709)]"
65,"[tensor(2.2595), tensor(2.2948), tensor(2.2680), tensor(2.2958), tensor(2.2683), tensor(2.2732), tensor(2.2630), tensor(2.2627), tensor(2.2601), tensor(2.2583)]"
66,"[tensor(2.2722), tensor(2.2635), tensor(2.2559), tensor(2.2582), tensor(2.2880), tensor(2.2641), tensor(2.2597), tensor(2.2565), tensor(2.2951), tensor(2.2669)]"
67,"[tensor(2.2539), tensor(2.2843), tensor(2.2674), tensor(2.2839), tensor(2.2581), tensor(2.2642), tensor(2.2525), tensor(2.2631), tensor(2.2755), tensor(2.2820)]"
68,"[tensor(2.2772), tensor(2.2717), tensor(2.2516), tensor(2.2666), tensor(2.2934), tensor(2.2756), tensor(2.2605), tensor(2.2520), tensor(2.2805), tensor(2.2621)]"
69,"[tensor(2.2545), tensor(2.2722), tensor(2.2668), tensor(2.2750), tensor(2.2577), tensor(2.2621), tensor(2.2537), tensor(2.2583), tensor(2.2961), tensor(2.2968)]"
70,"[tensor(2.2791), tensor(2.2812), tensor(2.2528), tensor(2.2782), tensor(2.2961), tensor(2.2889), tensor(2.2662), tensor(2.2512), tensor(2.2758), tensor(2.2600)]"
71,"[tensor(2.2548), tensor(2.2698), tensor(2.2632), tensor(2.2722), tensor(2.2593), tensor(2.2647), tensor(2.2871), tensor(2.2646), tensor(2.3140), tensor(2.2950)]"
72,"[tensor(2.2692), tensor(2.2710), tensor(2.2745), tensor(2.2629), tensor(2.2739), tensor(2.2846), tensor(2.2803), tensor(2.2562), tensor(2.2825), tensor(2.2622)]"
73,"[tensor(2.2639), tensor(2.2797), tensor(2.2556), tensor(2.2699), tensor(2.2695), tensor(2.2746), tensor(2.2584), tensor(2.2872), tensor(2.3013), tensor(2.2883)]"
74,"[tensor(2.2725), tensor(2.2553), tensor(2.2828), tensor(2.2531), tensor(2.2624), tensor(2.2605), tensor(2.2924), tensor(2.2747), tensor(2.2921), tensor(2.2720)]"
75,"[tensor(2.2645), tensor(2.2916), tensor(2.2523), tensor(2.2759), tensor(2.2757), tensor(2.2851), tensor(2.2545), tensor(2.2981), tensor(2.2696), tensor(2.2756)]"
76,"[tensor(2.2791), tensor(2.2490), tensor(2.2871), tensor(2.2558), tensor(2.2580), tensor(2.2517), tensor(2.3014), tensor(2.2621), tensor(2.3031), tensor(2.2786)]"
77,"[tensor(2.2643), tensor(2.3010), tensor(2.2518), tensor(2.2742), tensor(2.2710), tensor(2.2944), tensor(2.2544), tensor(2.3062), tensor(2.2567), tensor(2.2647)]"
78,"[tensor(2.2718), tensor(2.2501), tensor(2.2744), tensor(2.2591), tensor(2.2640), tensor(2.2584), tensor(2.2926), tensor(2.2562), tensor(2.3080), tensor(2.2806)]"
79,"[tensor(2.2759), tensor(2.2914), tensor(2.2511), tensor(2.2570), tensor(2.2689), tensor(2.2840), tensor(2.2654), tensor(2.2935), tensor(2.2603), tensor(2.2662)]"
80,"[tensor(2.2713), tensor(2.2527), tensor(2.2647), tensor(2.2513), tensor(2.2740), tensor(2.2738), tensor(2.2854), tensor(2.2621), tensor(2.2917), tensor(2.2709)]"
81,"[tensor(2.2946), tensor(2.2786), tensor(2.2495), tensor(2.2743), tensor(2.2676), tensor(2.2742), tensor(2.2826), tensor(2.2846), tensor(2.2766), tensor(2.2773)]"
82,"[tensor(2.2712), tensor(2.2542), tensor(2.2687), tensor(2.2600), tensor(2.2787), tensor(2.2837), tensor(2.2846), tensor(2.2693), tensor(2.2895), tensor(2.2661)]"
83,"[tensor(2.2707), tensor(2.2797), tensor(2.2498), tensor(2.2808), tensor(2.2714), tensor(2.2770), tensor(2.2588), tensor(2.2877), tensor(2.2908), tensor(2.2835)]"
84,"[tensor(2.2672), tensor(2.2549), tensor(2.2839), tensor(2.2495), tensor(2.2716), tensor(2.2757), tensor(2.2878), tensor(2.2616), tensor(2.2984), tensor(2.2724)]"
85,"[tensor(2.2598), tensor(2.2887), tensor(2.2497), tensor(2.2901), tensor(2.2742), tensor(2.2827), tensor(2.2513), tensor(2.2981), tensor(2.2798), tensor(2.2754)]"
86,"[tensor(2.2640), tensor(2.2514), tensor(2.2877), tensor(2.2501), tensor(2.2646), tensor(2.2640), tensor(2.3021), tensor(2.2634), tensor(2.3082), tensor(2.2790)]"
87,"[tensor(2.2587), tensor(2.2991), tensor(2.2504), tensor(2.2949), tensor(2.2761), tensor(2.2903), tensor(2.2505), tensor(2.3044), tensor(2.2682), tensor(2.2695)]"
88,"[tensor(2.2807), tensor(2.2466), tensor(2.2869), tensor(2.2630), tensor(2.2532), tensor(2.2442), tensor(2.3157), tensor(2.2578), tensor(2.3157), tensor(2.2840)]"
89,"[tensor(2.2591), tensor(2.3153), tensor(2.2506), tensor(2.2769), tensor(2.2850), tensor(2.3058), tensor(2.2507), tensor(2.3203), tensor(2.2495), tensor(2.2597)]"
90,"[tensor(2.2671), tensor(2.2493), tensor(2.2719), tensor(2.2695), tensor(2.2525), tensor(2.2432), tensor(2.3233), tensor(2.2489), tensor(2.3274), tensor(2.2947)]"
91,"[tensor(2.2575), tensor(2.3007), tensor(2.2502), tensor(2.2485), tensor(2.2548), tensor(2.3004), tensor(2.2443), tensor(2.2506), tensor(2.2478), tensor(2.2535)]"
92,"[tensor(2.2707), tensor(2.2473), tensor(2.2534), tensor(2.2592), tensor(2.2478), tensor(2.2629), tensor(2.2753), tensor(2.2599), tensor(2.2729), tensor(2.2460)]"
93,"[tensor(2.3021), tensor(2.2736), tensor(2.2432), tensor(2.2527), tensor(2.2514), tensor(2.2691), tensor(2.2839), tensor(2.2511), tensor(2.2715), tensor(2.2888)]"
94,"[tensor(2.2587), tensor(2.2822), tensor(2.2742), tensor(2.2599), tensor(2.3132), tensor(2.3349), tensor(2.2656), tensor(2.2885), tensor(2.2710), tensor(2.2559)]"
95,"[tensor(2.3520), tensor(2.2634), tensor(2.2483), tensor(2.2715), tensor(2.2516), tensor(2.2605), tensor(2.3445), tensor(2.2620), tensor(2.3146), tensor(2.3283)]"
96,"[tensor(2.2602), tensor(2.2817), tensor(2.2433), tensor(2.2540), tensor(2.2946), tensor(2.3482), tensor(2.2684), tensor(2.3071), tensor(2.2661), tensor(2.2538)]"
97,"[tensor(2.2987), tensor(2.2673), tensor(2.2460), tensor(2.2743), tensor(2.2544), tensor(2.2671), tensor(2.2823), tensor(2.2745), tensor(2.3159), tensor(2.3266)]"
98,"[tensor(2.2680), tensor(2.2460), tensor(2.2436), tensor(2.2608), tensor(2.2501), tensor(2.2723), tensor(2.2810), tensor(2.3049), tensor(2.2754), tensor(2.2607)]"
99,"[tensor(2.2504), tensor(2.2853), tensor(2.2434), tensor(2.2582), tensor(2.2633), tensor(2.2825), tensor(2.2365), tensor(2.2913), tensor(2.2666), tensor(2.2974)]"
