in_deg_centrality,[17 10  4  6]
10,"[tensor(0.0043, device='cuda:4'), tensor(0.0044, device='cuda:4'), tensor(0.0043, device='cuda:4'), tensor(0.0043, device='cuda:4'), tensor(0.0043, device='cuda:4'), tensor(0.0043, device='cuda:4'), tensor(0.0043, device='cuda:4'), tensor(0.0043, device='cuda:4'), tensor(0.0044, device='cuda:4'), tensor(0.0043, device='cuda:4'), tensor(0.0044, device='cuda:4'), tensor(0.0044, device='cuda:4'), tensor(0.0044, device='cuda:4'), tensor(0.0044, device='cuda:4'), tensor(0.0044, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0043, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0043, device='cuda:4')]"
11,"[tensor(0.0042, device='cuda:4'), tensor(0.0044, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0043, device='cuda:4'), tensor(0.0043, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0043, device='cuda:4'), tensor(0.0043, device='cuda:4'), tensor(0.0044, device='cuda:4'), tensor(0.0043, device='cuda:4'), tensor(0.0044, device='cuda:4'), tensor(0.0044, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0043, device='cuda:4'), tensor(0.0043, device='cuda:4'), tensor(0.0043, device='cuda:4')]"
12,"[tensor(0.0042, device='cuda:4'), tensor(0.0044, device='cuda:4'), tensor(0.0043, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0043, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0043, device='cuda:4'), tensor(0.0043, device='cuda:4'), tensor(0.0043, device='cuda:4'), tensor(0.0043, device='cuda:4'), tensor(0.0043, device='cuda:4'), tensor(0.0043, device='cuda:4'), tensor(0.0044, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0042, device='cuda:4')]"
13,"[tensor(0.0042, device='cuda:4'), tensor(0.0043, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0043, device='cuda:4'), tensor(0.0043, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0043, device='cuda:4'), tensor(0.0044, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0043, device='cuda:4'), tensor(0.0043, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0043, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0042, device='cuda:4')]"
14,"[tensor(0.0042, device='cuda:4'), tensor(0.0044, device='cuda:4'), tensor(0.0043, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0043, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0043, device='cuda:4'), tensor(0.0043, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0043, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0041, device='cuda:4')]"
15,"[tensor(0.0041, device='cuda:4'), tensor(0.0043, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0043, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0043, device='cuda:4'), tensor(0.0043, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0043, device='cuda:4'), tensor(0.0043, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0043, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0041, device='cuda:4')]"
16,"[tensor(0.0042, device='cuda:4'), tensor(0.0043, device='cuda:4'), tensor(0.0043, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0043, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0043, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0041, device='cuda:4')]"
17,"[tensor(0.0040, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0043, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0043, device='cuda:4'), tensor(0.0043, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0041, device='cuda:4')]"
18,"[tensor(0.0042, device='cuda:4'), tensor(0.0043, device='cuda:4'), tensor(0.0043, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0043, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0040, device='cuda:4')]"
19,"[tensor(0.0040, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0043, device='cuda:4'), tensor(0.0043, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0040, device='cuda:4')]"
20,"[tensor(0.0042, device='cuda:4'), tensor(0.0043, device='cuda:4'), tensor(0.0043, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0040, device='cuda:4')]"
21,"[tensor(0.0040, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0040, device='cuda:4')]"
22,"[tensor(0.0041, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0039, device='cuda:4')]"
23,"[tensor(0.0040, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0039, device='cuda:4')]"
