eigenvector_centrality,[14  8]
0,"[0.07481296758104738, 0.135, 0.08, 0.1175, 0.0975, 0.0875, 0.125, 0.0775, 0.0775, 0.1075, 0.095, 0.1, 0.1275, 0.08, 0.0925, 0.1075, 0.1175, 0.11, 0.125, 0.1275, 0.0825, 0.08, 0.105, 0.1275, 0.09523809523809523]"
1,"[0.07481296758104738, 0.135, 0.1, 0.115, 0.0975, 0.0875, 0.0675, 0.0925, 0.0775, 0.1075, 0.115, 0.1, 0.1275, 0.11, 0.0925, 0.1075, 0.1175, 0.11, 0.0925, 0.0875, 0.12, 0.11, 0.105, 0.0925, 0.09523809523809523]"
2,"[0.07481296758104738, 0.135, 0.1, 0.115, 0.0975, 0.0875, 0.0675, 0.0925, 0.0775, 0.1075, 0.0775, 0.1, 0.1275, 0.11, 0.0925, 0.1075, 0.1175, 0.11, 0.0925, 0.0875, 0.12, 0.11, 0.105, 0.0925, 0.09523809523809523]"
3,"[0.07481296758104738, 0.135, 0.1, 0.115, 0.0975, 0.0875, 0.0675, 0.0925, 0.0775, 0.1075, 0.0775, 0.1, 0.1275, 0.11, 0.0925, 0.1075, 0.1175, 0.11, 0.0925, 0.0875, 0.12, 0.11, 0.105, 0.0925, 0.09523809523809523]"
4,"[0.07481296758104738, 0.135, 0.1, 0.115, 0.0975, 0.0875, 0.0675, 0.0925, 0.0775, 0.1075, 0.0775, 0.1, 0.1275, 0.11, 0.0925, 0.1075, 0.1175, 0.11, 0.0925, 0.0875, 0.12, 0.11, 0.105, 0.0925, 0.09523809523809523]"
5,"[0.09975062344139651, 0.145, 0.1, 0.115, 0.0975, 0.1625, 0.0675, 0.0975, 0.0775, 0.115, 0.0775, 0.1225, 0.1275, 0.11, 0.0925, 0.1075, 0.1625, 0.11, 0.0925, 0.0875, 0.12, 0.1925, 0.1525, 0.0925, 0.17293233082706766]"
6,"[0.15211970074812967, 0.225, 0.15, 0.235, 0.15, 0.205, 0.18, 0.1825, 0.2325, 0.245, 0.1775, 0.2025, 0.215, 0.18, 0.165, 0.1825, 0.2275, 0.2075, 0.17, 0.2125, 0.235, 0.22, 0.2475, 0.1925, 0.18295739348370926]"
7,"[0.13466334164588528, 0.14, 0.2325, 0.1775, 0.2, 0.17, 0.19, 0.1775, 0.195, 0.185, 0.1625, 0.1575, 0.215, 0.2125, 0.0825, 0.2075, 0.1675, 0.165, 0.155, 0.135, 0.2275, 0.1825, 0.1725, 0.1225, 0.15538847117794485]"
8,"[0.1745635910224439, 0.11, 0.205, 0.18, 0.21, 0.17, 0.1325, 0.2325, 0.145, 0.1875, 0.1625, 0.17, 0.1575, 0.295, 0.1775, 0.265, 0.205, 0.23, 0.1825, 0.1425, 0.145, 0.155, 0.1775, 0.16, 0.2731829573934837]"
9,"[0.2169576059850374, 0.305, 0.3625, 0.2475, 0.205, 0.255, 0.39, 0.23, 0.3825, 0.225, 0.405, 0.2625, 0.355, 0.1425, 0.1075, 0.2675, 0.275, 0.225, 0.2275, 0.195, 0.475, 0.27, 0.225, 0.2225, 0.17543859649122806]"
10,"[0.42643391521197005, 0.195, 0.325, 0.3975, 0.43, 0.245, 0.205, 0.505, 0.175, 0.495, 0.1425, 0.305, 0.1175, 0.3525, 0.425, 0.4625, 0.355, 0.475, 0.415, 0.4125, 0.1625, 0.3625, 0.445, 0.4475, 0.38847117794486213]"
