closeness_centrality,[ 9 15  1 16]
12,"[tensor(0.0042, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0042, device='cuda:5'), tensor(0.0043, device='cuda:5'), tensor(0.0043, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0042, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0042, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0042, device='cuda:5'), tensor(0.0043, device='cuda:5'), tensor(0.0042, device='cuda:5'), tensor(0.0043, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0043, device='cuda:5'), tensor(0.0044, device='cuda:5')]"
13,"[tensor(0.0041, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0044, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0042, device='cuda:5'), tensor(0.0043, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0042, device='cuda:5'), tensor(0.0044, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0043, device='cuda:5')]"
14,"[tensor(0.0042, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0042, device='cuda:5'), tensor(0.0042, device='cuda:5'), tensor(0.0042, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0042, device='cuda:5'), tensor(0.0042, device='cuda:5'), tensor(0.0042, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0044, device='cuda:5')]"
15,"[tensor(0.0041, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0043, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0042, device='cuda:5'), tensor(0.0042, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0044, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0042, device='cuda:5')]"
16,"[tensor(0.0042, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0042, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0042, device='cuda:5'), tensor(0.0042, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0043, device='cuda:5')]"
17,"[tensor(0.0040, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0043, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0042, device='cuda:5'), tensor(0.0041, device='cuda:5')]"
18,"[tensor(0.0041, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0038, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0042, device='cuda:5')]"
19,"[tensor(0.0039, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0038, device='cuda:5'), tensor(0.0038, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0042, device='cuda:5'), tensor(0.0038, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0040, device='cuda:5')]"
20,"[tensor(0.0040, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0042, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0038, device='cuda:5'), tensor(0.0038, device='cuda:5'), tensor(0.0038, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0038, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0038, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0041, device='cuda:5')]"
21,"[tensor(0.0039, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0038, device='cuda:5'), tensor(0.0038, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0038, device='cuda:5'), tensor(0.0038, device='cuda:5'), tensor(0.0038, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0038, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0038, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0041, device='cuda:5')]"
22,"[tensor(0.0039, device='cuda:5'), tensor(0.0038, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0038, device='cuda:5'), tensor(0.0037, device='cuda:5'), tensor(0.0038, device='cuda:5'), tensor(0.0038, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0037, device='cuda:5'), tensor(0.0038, device='cuda:5'), tensor(0.0038, device='cuda:5'), tensor(0.0037, device='cuda:5'), tensor(0.0038, device='cuda:5'), tensor(0.0038, device='cuda:5'), tensor(0.0041, device='cuda:5')]"
23,"[tensor(0.0038, device='cuda:5'), tensor(0.0038, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0038, device='cuda:5'), tensor(0.0038, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0038, device='cuda:5'), tensor(0.0038, device='cuda:5'), tensor(0.0038, device='cuda:5'), tensor(0.0037, device='cuda:5'), tensor(0.0038, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0038, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0038, device='cuda:5'), tensor(0.0038, device='cuda:5'), tensor(0.0038, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0041, device='cuda:5')]"
