out_deg_centrality,[9. 3.]
26,"[tensor(2.2420), tensor(2.2704), tensor(2.2635), tensor(2.2593), tensor(2.2310), tensor(2.2586), tensor(2.2447), tensor(2.2580), tensor(2.2370), tensor(2.2379)]"
27,"[tensor(2.2603), tensor(2.2559), tensor(2.2417), tensor(2.2357), tensor(2.2568), tensor(2.2390), tensor(2.2649), tensor(2.2544), tensor(2.2607), tensor(2.2425)]"
28,"[tensor(2.2334), tensor(2.2675), tensor(2.2563), tensor(2.2441), tensor(2.2323), tensor(2.2475), tensor(2.2333), tensor(2.2491), tensor(2.2512), tensor(2.2466)]"
29,"[tensor(2.2529), tensor(2.2489), tensor(2.2395), tensor(2.2524), tensor(2.2493), tensor(2.2375), tensor(2.2594), tensor(2.2407), tensor(2.2457), tensor(2.2407)]"
30,"[tensor(2.2402), tensor(2.2586), tensor(2.2482), tensor(2.2341), tensor(2.2392), tensor(2.2565), tensor(2.2395), tensor(2.2608), tensor(2.2539), tensor(2.2493)]"
31,"[tensor(2.2581), tensor(2.2602), tensor(2.2591), tensor(2.2577), tensor(2.2601), tensor(2.2490), tensor(2.2633), tensor(2.2551), tensor(2.2400), tensor(2.2339)]"
32,"[tensor(2.2588), tensor(2.2546), tensor(2.2495), tensor(2.2331), tensor(2.2525), tensor(2.2570), tensor(2.2543), tensor(2.2675), tensor(2.2659), tensor(2.2604)]"
33,"[tensor(2.2673), tensor(2.2725), tensor(2.2703), tensor(2.2663), tensor(2.2686), tensor(2.2664), tensor(2.2717), tensor(2.2695), tensor(2.2440), tensor(2.2379)]"
34,"[tensor(2.2731), tensor(2.2600), tensor(2.2562), tensor(2.2375), tensor(2.2616), tensor(2.2480), tensor(2.2670), tensor(2.2744), tensor(2.2767), tensor(2.2706)]"
35,"[tensor(2.2716), tensor(2.2815), tensor(2.2789), tensor(2.2760), tensor(2.2732), tensor(2.2714), tensor(2.2771), tensor(2.2689), tensor(2.2540), tensor(2.2451)]"
36,"[tensor(2.2804), tensor(2.2669), tensor(2.2595), tensor(2.2414), tensor(2.2699), tensor(2.2549), tensor(2.2782), tensor(2.2796), tensor(2.2845), tensor(2.2784)]"
37,"[tensor(2.2664), tensor(2.2870), tensor(2.2840), tensor(2.2818), tensor(2.2747), tensor(2.2760), tensor(2.2706), tensor(2.2651), tensor(2.2612), tensor(2.2525)]"
38,"[tensor(2.2810), tensor(2.2724), tensor(2.2619), tensor(2.2474), tensor(2.2730), tensor(2.2723), tensor(2.2830), tensor(2.2804), tensor(2.2858), tensor(2.2803)]"
39,"[tensor(2.2649), tensor(2.2873), tensor(2.2849), tensor(2.2817), tensor(2.2660), tensor(2.2664), tensor(2.2671), tensor(2.2675), tensor(2.2643), tensor(2.2592)]"
40,"[tensor(2.2790), tensor(2.2768), tensor(2.2676), tensor(2.2552), tensor(2.2562), tensor(2.2579), tensor(2.2801), tensor(2.2730), tensor(2.2844), tensor(2.2803)]"
41,"[tensor(2.2626), tensor(2.2841), tensor(2.2835), tensor(2.2784), tensor(2.2590), tensor(2.2632), tensor(2.2671), tensor(2.2644), tensor(2.2653), tensor(2.2597)]"
42,"[tensor(2.2740), tensor(2.2813), tensor(2.2725), tensor(2.2552), tensor(2.2566), tensor(2.2591), tensor(2.2787), tensor(2.2720), tensor(2.2803), tensor(2.2777)]"
43,"[tensor(2.2641), tensor(2.2824), tensor(2.2837), tensor(2.2771), tensor(2.2602), tensor(2.2629), tensor(2.2690), tensor(2.2675), tensor(2.2635), tensor(2.2619)]"
44,"[tensor(2.2718), tensor(2.2924), tensor(2.2858), tensor(2.2561), tensor(2.2605), tensor(2.2599), tensor(2.2854), tensor(2.2739), tensor(2.2825), tensor(2.2750)]"
45,"[tensor(2.2733), tensor(2.2813), tensor(2.2836), tensor(2.2788), tensor(2.2649), tensor(2.2652), tensor(2.2762), tensor(2.2714), tensor(2.2715), tensor(2.2738)]"
46,"[tensor(2.2705), tensor(2.3104), tensor(2.3040), tensor(2.2610), tensor(2.2720), tensor(2.2727), tensor(2.2828), tensor(2.2768), tensor(2.2824), tensor(2.2733)]"
47,"[tensor(2.2924), tensor(2.2795), tensor(2.2830), tensor(2.2789), tensor(2.2647), tensor(2.2647), tensor(2.2860), tensor(2.2762), tensor(2.2802), tensor(2.2845)]"
48,"[tensor(2.2685), tensor(2.3237), tensor(2.3203), tensor(2.2744), tensor(2.2744), tensor(2.2814), tensor(2.2759), tensor(2.2665), tensor(2.2786), tensor(2.2719)]"
49,"[tensor(2.3012), tensor(2.2760), tensor(2.2779), tensor(2.2739), tensor(2.2599), tensor(2.2643), tensor(2.2942), tensor(2.2793), tensor(2.2903), tensor(2.2851)]"
50,"[tensor(2.2649), tensor(2.3260), tensor(2.3256), tensor(2.2837), tensor(2.2753), tensor(2.2848), tensor(2.2711), tensor(2.2628), tensor(2.2725), tensor(2.2660)]"
51,"[tensor(2.2987), tensor(2.2718), tensor(2.2732), tensor(2.2680), tensor(2.2568), tensor(2.2615), tensor(2.2902), tensor(2.2773), tensor(2.3023), tensor(2.2845)]"
52,"[tensor(2.2615), tensor(2.3235), tensor(2.3244), tensor(2.2864), tensor(2.2707), tensor(2.2843), tensor(2.2664), tensor(2.2585), tensor(2.2690), tensor(2.2599)]"
53,"[tensor(2.2958), tensor(2.2677), tensor(2.2686), tensor(2.2641), tensor(2.2543), tensor(2.2579), tensor(2.2844), tensor(2.2688), tensor(2.3050), tensor(2.2806)]"
54,"[tensor(2.2574), tensor(2.3167), tensor(2.3195), tensor(2.2824), tensor(2.2647), tensor(2.2823), tensor(2.2617), tensor(2.2538), tensor(2.2650), tensor(2.2566)]"
55,"[tensor(2.2894), tensor(2.2634), tensor(2.2639), tensor(2.2612), tensor(2.2502), tensor(2.2553), tensor(2.2756), tensor(2.2619), tensor(2.3034), tensor(2.2833)]"
56,"[tensor(2.2534), tensor(2.3104), tensor(2.3133), tensor(2.2817), tensor(2.2588), tensor(2.2793), tensor(2.2573), tensor(2.2490), tensor(2.2603), tensor(2.2506)]"
57,"[tensor(2.2847), tensor(2.2583), tensor(2.2596), tensor(2.2569), tensor(2.2457), tensor(2.2514), tensor(2.2720), tensor(2.2572), tensor(2.3016), tensor(2.2736)]"
58,"[tensor(2.2492), tensor(2.3006), tensor(2.3105), tensor(2.2828), tensor(2.2564), tensor(2.2729), tensor(2.2531), tensor(2.2447), tensor(2.2558), tensor(2.2490)]"
59,"[tensor(2.2750), tensor(2.2554), tensor(2.2570), tensor(2.2542), tensor(2.2441), tensor(2.2501), tensor(2.2514), tensor(2.2471), tensor(2.3001), tensor(2.2782)]"
60,"[tensor(2.2483), tensor(2.2861), tensor(2.2910), tensor(2.2750), tensor(2.2450), tensor(2.2596), tensor(2.2520), tensor(2.2423), tensor(2.2567), tensor(2.2463)]"
61,"[tensor(2.2570), tensor(2.2559), tensor(2.2572), tensor(2.2492), tensor(2.2451), tensor(2.2521), tensor(2.2370), tensor(2.2414), tensor(2.2854), tensor(2.2581)]"
62,"[tensor(2.2502), tensor(2.2612), tensor(2.2661), tensor(2.2565), tensor(2.2302), tensor(2.2371), tensor(2.2541), tensor(2.2409), tensor(2.2574), tensor(2.2421)]"
63,"[tensor(2.2372), tensor(2.2580), tensor(2.2585), tensor(2.2439), tensor(2.2465), tensor(2.2554), tensor(2.2233), tensor(2.2339), tensor(2.2597), tensor(2.2407)]"
64,"[tensor(2.2536), tensor(2.2441), tensor(2.2519), tensor(2.2519), tensor(2.2224), tensor(2.2252), tensor(2.2561), tensor(2.2404), tensor(2.2597), tensor(2.2392)]"
65,"[tensor(2.2398), tensor(2.2552), tensor(2.2557), tensor(2.2379), tensor(2.2481), tensor(2.2560), tensor(2.2291), tensor(2.2344), tensor(2.2498), tensor(2.2349)]"
66,"[tensor(2.2522), tensor(2.2491), tensor(2.2629), tensor(2.2516), tensor(2.2322), tensor(2.2309), tensor(2.2535), tensor(2.2286), tensor(2.2574), tensor(2.2340)]"
67,"[tensor(2.2525), tensor(2.2469), tensor(2.2474), tensor(2.2441), tensor(2.2354), tensor(2.2432), tensor(2.2444), tensor(2.2444), tensor(2.2706), tensor(2.2354)]"
68,"[tensor(2.2424), tensor(2.2865), tensor(2.3067), tensor(2.2739), tensor(2.2491), tensor(2.2438), tensor(2.2476), tensor(2.2317), tensor(2.2487), tensor(2.2296)]"
69,"[tensor(2.2815), tensor(2.2429), tensor(2.2467), tensor(2.2475), tensor(2.2303), tensor(2.2371), tensor(2.2697), tensor(2.2466), tensor(2.3158), tensor(2.2208)]"
70,"[tensor(2.2454), tensor(2.2570), tensor(2.2672), tensor(2.2838), tensor(2.2166), tensor(2.2181), tensor(2.2497), tensor(2.2379), tensor(2.2490), tensor(2.2244)]"
71,"[tensor(2.2470), tensor(2.2528), tensor(2.2518), tensor(2.2481), tensor(2.2307), tensor(2.2308), tensor(2.2449), tensor(2.2344), tensor(2.2652), tensor(2.2119)]"
72,"[tensor(2.2455), tensor(2.2492), tensor(2.2489), tensor(2.2487), tensor(2.2086), tensor(2.2119), tensor(2.2528), tensor(2.2339), tensor(2.2576), tensor(2.2273)]"
73,"[tensor(2.2331), tensor(2.2576), tensor(2.2515), tensor(2.2491), tensor(2.2324), tensor(2.2313), tensor(2.2282), tensor(2.2254), tensor(2.2478), tensor(2.2024)]"
74,"[tensor(2.2485), tensor(2.2398), tensor(2.2379), tensor(2.2351), tensor(2.2109), tensor(2.2097), tensor(2.2543), tensor(2.2332), tensor(2.2591), tensor(2.2249)]"
75,"[tensor(2.2258), tensor(2.2550), tensor(2.2461), tensor(2.2544), tensor(2.2240), tensor(2.2273), tensor(2.2204), tensor(2.2159), tensor(2.2381), tensor(2.2000)]"
76,"[tensor(2.2442), tensor(2.2335), tensor(2.2435), tensor(2.2211), tensor(2.2125), tensor(2.2121), tensor(2.2513), tensor(2.2315), tensor(2.2582), tensor(2.2207)]"
77,"[tensor(2.2199), tensor(2.2473), tensor(2.2442), tensor(2.2530), tensor(2.2233), tensor(2.2185), tensor(2.2140), tensor(2.2084), tensor(2.2381), tensor(2.2013)]"
78,"[tensor(2.2399), tensor(2.2311), tensor(2.2439), tensor(2.2172), tensor(2.2101), tensor(2.2080), tensor(2.2484), tensor(2.2311), tensor(2.2499), tensor(2.2206)]"
79,"[tensor(2.2219), tensor(2.2431), tensor(2.2445), tensor(2.2528), tensor(2.2252), tensor(2.2188), tensor(2.2168), tensor(2.2045), tensor(2.2444), tensor(2.1956)]"
80,"[tensor(2.2360), tensor(2.2358), tensor(2.2551), tensor(2.2286), tensor(2.2021), tensor(2.2015), tensor(2.2442), tensor(2.2283), tensor(2.2468), tensor(2.2214)]"
81,"[tensor(2.2291), tensor(2.2369), tensor(2.2428), tensor(2.2476), tensor(2.2238), tensor(2.2220), tensor(2.2228), tensor(2.2026), tensor(2.2576), tensor(2.1923)]"
82,"[tensor(2.2342), tensor(2.2172), tensor(2.2452), tensor(2.2433), tensor(2.1814), tensor(2.1881), tensor(2.2380), tensor(2.2257), tensor(2.2440), tensor(2.2207)]"
83,"[tensor(2.2123), tensor(2.2341), tensor(2.2409), tensor(2.2459), tensor(2.2188), tensor(2.2255), tensor(2.2041), tensor(2.1882), tensor(2.2321), tensor(2.1822)]"
84,"[tensor(2.2313), tensor(2.2026), tensor(2.2129), tensor(2.2187), tensor(2.1720), tensor(2.1818), tensor(2.2325), tensor(2.2210), tensor(2.2412), tensor(2.2184)]"
85,"[tensor(2.1935), tensor(2.2332), tensor(2.2378), tensor(2.2426), tensor(2.2164), tensor(2.2167), tensor(2.1865), tensor(2.1835), tensor(2.2037), tensor(2.1731)]"
86,"[tensor(2.2250), tensor(2.1934), tensor(2.2064), tensor(2.2030), tensor(2.1688), tensor(2.1712), tensor(2.2301), tensor(2.2151), tensor(2.2410), tensor(2.2141)]"
87,"[tensor(2.1802), tensor(2.2285), tensor(2.2340), tensor(2.2412), tensor(2.2078), tensor(2.2129), tensor(2.1748), tensor(2.1740), tensor(2.1965), tensor(2.1675)]"
88,"[tensor(2.2195), tensor(2.1826), tensor(2.2017), tensor(2.1874), tensor(2.1644), tensor(2.1656), tensor(2.2265), tensor(2.2109), tensor(2.2384), tensor(2.2122)]"
89,"[tensor(2.1720), tensor(2.2270), tensor(2.2300), tensor(2.2369), tensor(2.2025), tensor(2.2079), tensor(2.1658), tensor(2.1659), tensor(2.1899), tensor(2.1611)]"
90,"[tensor(2.2140), tensor(2.1799), tensor(2.2000), tensor(2.1767), tensor(2.1590), tensor(2.1580), tensor(2.2216), tensor(2.2033), tensor(2.2332), tensor(2.2056)]"
91,"[tensor(2.1690), tensor(2.2137), tensor(2.2254), tensor(2.2295), tensor(2.1935), tensor(2.2025), tensor(2.1623), tensor(2.1566), tensor(2.1872), tensor(2.1543)]"
92,"[tensor(2.2048), tensor(2.1660), tensor(2.1944), tensor(2.1712), tensor(2.1400), tensor(2.1479), tensor(2.2135), tensor(2.1946), tensor(2.2193), tensor(2.1978)]"
93,"[tensor(2.1628), tensor(2.2028), tensor(2.2211), tensor(2.2251), tensor(2.1908), tensor(2.1943), tensor(2.1501), tensor(2.1430), tensor(2.1836), tensor(2.1417)]"
94,"[tensor(2.1975), tensor(2.1609), tensor(2.1901), tensor(2.1630), tensor(2.1268), tensor(2.1329), tensor(2.2053), tensor(2.1884), tensor(2.2136), tensor(2.1850)]"
95,"[tensor(2.1510), tensor(2.1963), tensor(2.2166), tensor(2.2188), tensor(2.1841), tensor(2.1883), tensor(2.1378), tensor(2.1312), tensor(2.1777), tensor(2.1285)]"
96,"[tensor(2.1912), tensor(2.1474), tensor(2.1757), tensor(2.1597), tensor(2.1185), tensor(2.1254), tensor(2.1982), tensor(2.1826), tensor(2.2098), tensor(2.1802)]"
97,"[tensor(2.1356), tensor(2.1990), tensor(2.2112), tensor(2.2143), tensor(2.1804), tensor(2.1777), tensor(2.1208), tensor(2.1218), tensor(2.1624), tensor(2.1217)]"
98,"[tensor(2.1869), tensor(2.1368), tensor(2.1580), tensor(2.1415), tensor(2.1147), tensor(2.1210), tensor(2.1973), tensor(2.1768), tensor(2.2115), tensor(2.1798)]"
99,"[tensor(2.1185), tensor(2.2005), tensor(2.2052), tensor(2.2099), tensor(2.1761), tensor(2.1721), tensor(2.1070), tensor(2.1103), tensor(2.1435), tensor(2.1113)]"
