out_deg_centrality,[9. 3.]
16,"[tensor(2.0013), tensor(1.9595), tensor(1.9732), tensor(1.9883), tensor(1.9697), tensor(1.9645), tensor(2.0204), tensor(1.9871), tensor(2.0397), tensor(2.0329)]"
17,"[tensor(1.9437), tensor(2.0247), tensor(2.0371), tensor(2.0556), tensor(1.9854), tensor(2.0100), tensor(1.9399), tensor(1.9676), tensor(1.9559), tensor(1.9438)]"
18,"[tensor(1.9948), tensor(1.9433), tensor(1.9644), tensor(1.9796), tensor(1.9539), tensor(1.9407), tensor(2.0038), tensor(1.9894), tensor(2.0317), tensor(2.0244)]"
19,"[tensor(1.9306), tensor(2.0118), tensor(2.0303), tensor(2.0495), tensor(1.9789), tensor(1.9973), tensor(1.9232), tensor(1.9460), tensor(1.9426), tensor(1.9298)]"
20,"[tensor(1.9876), tensor(1.9260), tensor(1.9558), tensor(1.9697), tensor(1.9392), tensor(1.9183), tensor(1.9887), tensor(1.9791), tensor(2.0232), tensor(2.0170)]"
21,"[tensor(1.9137), tensor(1.9982), tensor(2.0182), tensor(2.0400), tensor(1.9681), tensor(1.9847), tensor(1.9098), tensor(1.9200), tensor(1.9304), tensor(1.9195)]"
22,"[tensor(1.9741), tensor(1.9141), tensor(1.9420), tensor(1.9553), tensor(1.9176), tensor(1.9015), tensor(1.9737), tensor(1.9655), tensor(2.0107), tensor(2.0038)]"
23,"[tensor(1.8984), tensor(1.9857), tensor(2.0030), tensor(2.0275), tensor(1.9501), tensor(1.9741), tensor(1.8970), tensor(1.9007), tensor(1.9121), tensor(1.9040)]"
24,"[tensor(1.9585), tensor(1.8994), tensor(1.9271), tensor(1.9371), tensor(1.8973), tensor(1.8839), tensor(1.9586), tensor(1.9516), tensor(1.9944), tensor(1.9873)]"
25,"[tensor(1.8814), tensor(1.9671), tensor(1.9868), tensor(2.0129), tensor(1.9319), tensor(1.9588), tensor(1.8826), tensor(1.8907), tensor(1.8923), tensor(1.8841)]"
26,"[tensor(1.9401), tensor(1.8815), tensor(1.9100), tensor(1.9069), tensor(1.8818), tensor(1.8645), tensor(1.9382), tensor(1.9337), tensor(1.9773), tensor(1.9677)]"
27,"[tensor(1.8936), tensor(1.9574), tensor(1.9703), tensor(1.9980), tensor(1.9361), tensor(1.9518), tensor(1.8843), tensor(1.9314), tensor(1.8737), tensor(1.8723)]"
28,"[tensor(1.9679), tensor(1.8823), tensor(1.9182), tensor(1.9112), tensor(1.9293), tensor(1.8740), tensor(1.9659), tensor(1.9744), tensor(1.9794), tensor(1.9548)]"
29,"[tensor(1.9487), tensor(1.9817), tensor(1.9907), tensor(1.9849), tensor(1.9783), tensor(1.9750), tensor(1.9297), tensor(1.9688), tensor(1.9084), tensor(1.9048)]"
30,"[tensor(2.0043), tensor(1.9354), tensor(1.9537), tensor(1.9293), tensor(1.9716), tensor(1.8989), tensor(1.9988), tensor(1.9984), tensor(2.0060), tensor(1.9532)]"
31,"[tensor(1.9593), tensor(2.0138), tensor(2.0096), tensor(1.9937), tensor(1.9939), tensor(1.9972), tensor(1.9380), tensor(1.9431), tensor(1.9451), tensor(1.9311)]"
32,"[tensor(2.0019), tensor(1.9333), tensor(1.9472), tensor(1.9413), tensor(1.9491), tensor(1.9054), tensor(1.9832), tensor(1.9682), tensor(2.0222), tensor(2.0066)]"
33,"[tensor(1.9520), tensor(2.0228), tensor(2.0177), tensor(2.0432), tensor(1.9753), tensor(2.0025), tensor(1.9459), tensor(1.9526), tensor(1.9317), tensor(1.9203)]"
34,"[tensor(2.0089), tensor(1.9163), tensor(1.9368), tensor(1.9239), tensor(1.9839), tensor(1.9594), tensor(2.0065), tensor(1.9979), tensor(2.0427), tensor(2.0311)]"
35,"[tensor(1.9951), tensor(2.0470), tensor(2.0417), tensor(2.0587), tensor(2.0105), tensor(2.0273), tensor(1.9869), tensor(2.0041), tensor(1.9154), tensor(1.9094)]"
36,"[tensor(2.0389), tensor(1.9462), tensor(1.9474), tensor(1.9230), tensor(2.0061), tensor(1.9803), tensor(2.0452), tensor(2.0290), tensor(2.0693), tensor(2.0501)]"
37,"[tensor(2.0187), tensor(2.0747), tensor(2.0673), tensor(2.0785), tensor(2.0384), tensor(2.0482), tensor(2.0089), tensor(2.0205), tensor(1.9396), tensor(1.9195)]"
38,"[tensor(2.0540), tensor(1.9856), tensor(1.9625), tensor(1.9344), tensor(2.0093), tensor(1.9701), tensor(2.0478), tensor(2.0155), tensor(2.0909), tensor(2.0695)]"
39,"[tensor(1.9945), tensor(2.0781), tensor(2.0645), tensor(2.0701), tensor(2.0091), tensor(2.0214), tensor(1.9741), tensor(1.9740), tensor(1.9573), tensor(1.9378)]"
40,"[tensor(1.9851), tensor(1.9456), tensor(1.9440), tensor(1.9598), tensor(1.9419), tensor(1.9253), tensor(1.9731), tensor(1.9499), tensor(2.0583), tensor(2.0510)]"
41,"[tensor(1.9429), tensor(1.9879), tensor(1.9970), tensor(2.0450), tensor(1.9696), tensor(1.9955), tensor(1.9436), tensor(1.9656), tensor(1.9245), tensor(1.9434)]"
42,"[tensor(1.9589), tensor(1.9402), tensor(1.9591), tensor(1.9582), tensor(1.9304), tensor(1.9103), tensor(1.9536), tensor(1.9549), tensor(1.9848), tensor(2.0056)]"
43,"[tensor(1.9363), tensor(1.9756), tensor(1.9932), tensor(2.0286), tensor(1.9518), tensor(1.9743), tensor(1.9475), tensor(1.9684), tensor(1.9381), tensor(1.9431)]"
44,"[tensor(1.9848), tensor(1.9546), tensor(1.9812), tensor(1.9729), tensor(1.9740), tensor(1.9706), tensor(1.9868), tensor(1.9974), tensor(2.0004), tensor(2.0408)]"
45,"[tensor(2.0191), tensor(2.0536), tensor(2.0708), tensor(2.0821), tensor(2.0339), tensor(2.0457), tensor(2.0321), tensor(2.0467), tensor(1.9673), tensor(1.9194)]"
46,"[tensor(2.0789), tensor(2.0014), tensor(2.0066), tensor(1.9608), tensor(2.0548), tensor(2.0382), tensor(2.0815), tensor(2.0797), tensor(2.1073), tensor(2.0999)]"
47,"[tensor(2.0840), tensor(2.1345), tensor(2.1383), tensor(2.1352), tensor(2.1127), tensor(2.1163), tensor(2.0896), tensor(2.1035), tensor(2.0014), tensor(1.9294)]"
48,"[tensor(2.1431), tensor(2.0318), tensor(2.0121), tensor(1.9751), tensor(2.1114), tensor(2.0710), tensor(2.1442), tensor(2.1285), tensor(2.1700), tensor(2.1573)]"
49,"[tensor(2.1179), tensor(2.1769), tensor(2.1704), tensor(2.1790), tensor(2.1533), tensor(2.1571), tensor(2.1025), tensor(2.1145), tensor(2.0017), tensor(1.9746)]"
50,"[tensor(2.1642), tensor(2.0464), tensor(2.0372), tensor(2.0023), tensor(2.0745), tensor(2.0441), tensor(2.1561), tensor(2.1060), tensor(2.1922), tensor(2.1841)]"
51,"[tensor(2.0334), tensor(2.1689), tensor(2.1680), tensor(2.1900), tensor(2.0979), tensor(2.1252), tensor(2.0314), tensor(2.0355), tensor(2.0074), tensor(1.9999)]"
52,"[tensor(2.0717), tensor(1.9974), tensor(1.9919), tensor(1.9819), tensor(1.9892), tensor(1.9883), tensor(2.0814), tensor(2.0307), tensor(2.1507), tensor(2.1798)]"
53,"[tensor(1.9652), tensor(2.1194), tensor(2.1369), tensor(2.1700), tensor(2.0444), tensor(2.1114), tensor(1.9686), tensor(2.0003), tensor(1.9444), tensor(1.9538)]"
54,"[tensor(2.0773), tensor(1.9272), tensor(1.9400), tensor(1.9380), tensor(1.9594), tensor(1.9562), tensor(2.0896), tensor(2.0781), tensor(2.1272), tensor(2.1422)]"
55,"[tensor(1.9390), tensor(2.0968), tensor(2.1374), tensor(2.1574), tensor(2.0589), tensor(2.0873), tensor(1.9469), tensor(1.9962), tensor(1.8861), tensor(1.8926)]"
56,"[tensor(2.0761), tensor(1.8905), tensor(1.9175), tensor(1.8995), tensor(1.9543), tensor(1.9364), tensor(2.0936), tensor(2.0881), tensor(2.1277), tensor(2.1337)]"
57,"[tensor(1.9631), tensor(2.1128), tensor(2.1326), tensor(2.1521), tensor(2.0952), tensor(2.1076), tensor(1.9750), tensor(2.0603), tensor(1.8693), tensor(1.8684)]"
58,"[tensor(2.1042), tensor(1.9219), tensor(1.9488), tensor(1.9103), tensor(2.0513), tensor(2.0252), tensor(2.1090), tensor(2.0967), tensor(2.1314), tensor(2.1343)]"
59,"[tensor(2.0719), tensor(2.1297), tensor(2.1370), tensor(2.1546), tensor(2.1102), tensor(2.1183), tensor(2.0731), tensor(2.0975), tensor(1.9328), tensor(1.9046)]"
60,"[tensor(2.1247), tensor(2.0210), tensor(2.0145), tensor(1.9558), tensor(2.0890), tensor(2.0649), tensor(2.1406), tensor(2.1307), tensor(2.1595), tensor(2.1513)]"
61,"[tensor(2.1021), tensor(2.1799), tensor(2.1789), tensor(2.1791), tensor(2.1401), tensor(2.1623), tensor(2.1030), tensor(2.1223), tensor(2.0211), tensor(1.9786)]"
62,"[tensor(2.1762), tensor(2.0705), tensor(2.0468), tensor(2.0161), tensor(2.1182), tensor(2.1098), tensor(2.1824), tensor(2.1562), tensor(2.2096), tensor(2.1915)]"
63,"[tensor(2.1190), tensor(2.2059), tensor(2.1964), tensor(2.2007), tensor(2.1548), tensor(2.1726), tensor(2.1032), tensor(2.1200), tensor(2.0568), tensor(2.0253)]"
64,"[tensor(2.1300), tensor(2.0639), tensor(2.0526), tensor(2.0520), tensor(2.0862), tensor(2.0725), tensor(2.1451), tensor(2.1021), tensor(2.1950), tensor(2.1685)]"
65,"[tensor(2.0392), tensor(2.1479), tensor(2.1516), tensor(2.1658), tensor(2.0902), tensor(2.1334), tensor(2.0410), tensor(2.0595), tensor(2.0354), tensor(2.0228)]"
66,"[tensor(2.1165), tensor(2.0168), tensor(2.0285), tensor(2.0423), tensor(1.9919), tensor(1.9876), tensor(2.1260), tensor(2.0923), tensor(2.1611), tensor(2.1445)]"
67,"[tensor(1.9587), tensor(2.1409), tensor(2.1478), tensor(2.1313), tensor(2.1233), tensor(2.1509), tensor(1.9811), tensor(1.9998), tensor(1.9908), tensor(1.9677)]"
68,"[tensor(2.1168), tensor(1.9624), tensor(1.9840), tensor(2.0007), tensor(1.9333), tensor(1.9158), tensor(2.1261), tensor(2.1061), tensor(2.1359), tensor(2.1275)]"
69,"[tensor(1.9453), tensor(2.1290), tensor(2.1410), tensor(2.1202), tensor(2.1274), tensor(2.1496), tensor(1.9494), tensor(2.0280), tensor(1.9508), tensor(1.9462)]"
70,"[tensor(2.1289), tensor(1.9474), tensor(1.9637), tensor(1.9734), tensor(2.0576), tensor(1.9637), tensor(2.1432), tensor(2.1343), tensor(2.1305), tensor(2.1117)]"
71,"[tensor(2.1199), tensor(2.1261), tensor(2.1426), tensor(2.1044), tensor(2.1508), tensor(2.1670), tensor(2.1115), tensor(2.1460), tensor(1.9638), tensor(1.9398)]"
72,"[tensor(2.1302), tensor(2.0602), tensor(2.0514), tensor(1.9985), tensor(2.0982), tensor(2.0251), tensor(2.1344), tensor(2.1275), tensor(2.1320), tensor(2.1026)]"
73,"[tensor(2.0712), tensor(2.0890), tensor(2.1043), tensor(2.0893), tensor(2.1112), tensor(2.1458), tensor(2.0922), tensor(2.0698), tensor(2.0438), tensor(2.0256)]"
74,"[tensor(2.0300), tensor(2.0322), tensor(2.0040), tensor(2.0508), tensor(1.9938), tensor(1.9771), tensor(2.0275), tensor(2.0112), tensor(2.0389), tensor(2.0502)]"
75,"[tensor(1.9481), tensor(2.0000), tensor(2.0217), tensor(2.0040), tensor(1.9426), tensor(2.0556), tensor(1.9625), tensor(1.9315), tensor(1.9936), tensor(2.0528)]"
76,"[tensor(1.9674), tensor(1.9461), tensor(1.9708), tensor(2.0127), tensor(1.8526), tensor(1.8556), tensor(1.9893), tensor(2.0201), tensor(1.9741), tensor(1.9291)]"
77,"[tensor(1.8832), tensor(1.9793), tensor(2.0466), tensor(1.9672), tensor(2.0135), tensor(2.0448), tensor(1.9375), tensor(1.9263), tensor(1.9500), tensor(1.9508)]"
78,"[tensor(1.9970), tensor(1.9666), tensor(2.0864), tensor(2.0357), tensor(1.8578), tensor(1.8873), tensor(2.0116), tensor(2.0336), tensor(1.9735), tensor(1.9138)]"
79,"[tensor(1.9095), tensor(2.0021), tensor(2.0270), tensor(1.9630), tensor(2.0453), tensor(2.0567), tensor(1.9286), tensor(1.9313), tensor(2.0056), tensor(1.9616)]"
80,"[tensor(2.0421), tensor(1.9557), tensor(2.0888), tensor(2.0404), tensor(1.9942), tensor(1.8983), tensor(2.0538), tensor(2.0623), tensor(2.0102), tensor(1.9982)]"
81,"[tensor(1.9475), tensor(2.0272), tensor(2.0420), tensor(2.0124), tensor(2.0528), tensor(2.0595), tensor(1.9695), tensor(1.9762), tensor(1.9795), tensor(1.9364)]"
82,"[tensor(2.0606), tensor(1.9602), tensor(2.0332), tensor(2.0090), tensor(2.0624), tensor(1.9057), tensor(2.0651), tensor(2.0611), tensor(2.0392), tensor(2.0301)]"
83,"[tensor(2.0249), tensor(2.0518), tensor(2.0576), tensor(2.0397), tensor(2.0466), tensor(2.0611), tensor(2.0216), tensor(2.0153), tensor(1.9567), tensor(1.9391)]"
84,"[tensor(2.0375), tensor(1.9789), tensor(1.9855), tensor(1.9671), tensor(2.0322), tensor(1.9081), tensor(2.0440), tensor(2.0371), tensor(2.0555), tensor(2.0418)]"
85,"[tensor(1.9728), tensor(2.0242), tensor(2.0266), tensor(2.0415), tensor(1.9939), tensor(2.0214), tensor(1.9986), tensor(1.9699), tensor(1.9632), tensor(2.0100)]"
86,"[tensor(1.9776), tensor(1.9935), tensor(1.9919), tensor(1.9871), tensor(1.9720), tensor(1.9436), tensor(1.9898), tensor(1.9946), tensor(2.0001), tensor(1.9989)]"
87,"[tensor(1.9741), tensor(1.9548), tensor(1.9786), tensor(1.9702), tensor(1.9565), tensor(2.0078), tensor(1.9902), tensor(1.9750), tensor(1.9997), tensor(2.0231)]"
88,"[tensor(1.9302), tensor(1.9487), tensor(2.0070), tensor(2.0359), tensor(1.8906), tensor(1.9409), tensor(1.9296), tensor(1.9636), tensor(1.9399), tensor(1.9326)]"
89,"[tensor(1.8865), tensor(1.9001), tensor(1.9380), tensor(1.9197), tensor(1.9611), tensor(1.9711), tensor(1.9101), tensor(1.9223), tensor(1.9666), tensor(1.9291)]"
90,"[tensor(1.9846), tensor(1.9339), tensor(2.0246), tensor(1.9716), tensor(1.9028), tensor(1.9050), tensor(1.9955), tensor(2.0108), tensor(1.9216), tensor(1.8695)]"
91,"[tensor(1.9094), tensor(1.9673), tensor(1.9548), tensor(1.8983), tensor(2.0008), tensor(1.9999), tensor(1.9379), tensor(1.9391), tensor(1.9749), tensor(1.9127)]"
92,"[tensor(2.0075), tensor(1.9309), tensor(2.0107), tensor(1.9678), tensor(1.9218), tensor(1.9007), tensor(2.0151), tensor(2.0253), tensor(1.9756), tensor(1.9223)]"
93,"[tensor(1.9534), tensor(1.9814), tensor(1.9849), tensor(1.9591), tensor(2.0056), tensor(2.0020), tensor(1.9914), tensor(1.9981), tensor(1.9493), tensor(1.9310)]"
94,"[tensor(1.9804), tensor(1.9238), tensor(2.0096), tensor(1.9937), tensor(1.9279), tensor(1.8757), tensor(1.9728), tensor(1.9725), tensor(1.9793), tensor(1.9780)]"
95,"[tensor(1.9398), tensor(1.9536), tensor(1.9589), tensor(1.9573), tensor(1.9396), tensor(1.9612), tensor(1.9767), tensor(1.9608), tensor(1.9457), tensor(1.9505)]"
96,"[tensor(1.9276), tensor(1.9540), tensor(2.0170), tensor(1.9947), tensor(1.9218), tensor(1.8889), tensor(1.9577), tensor(1.9657), tensor(1.9375), tensor(1.9294)]"
97,"[tensor(1.9083), tensor(1.9121), tensor(1.9479), tensor(1.9279), tensor(1.9475), tensor(1.9675), tensor(1.9488), tensor(1.9265), tensor(1.9807), tensor(1.9787)]"
98,"[tensor(1.9369), tensor(1.9383), tensor(2.0055), tensor(1.9901), tensor(1.9180), tensor(1.9090), tensor(1.9498), tensor(1.9542), tensor(1.9211), tensor(1.9053)]"
99,"[tensor(1.9027), tensor(1.9246), tensor(1.9385), tensor(1.9170), tensor(1.9189), tensor(1.9362), tensor(1.9367), tensor(1.9299), tensor(1.9778), tensor(1.9595)]"
