closeness_centrality,[4. 0.]
26,"[tensor(2.2458), tensor(2.2705), tensor(2.2632), tensor(2.2541), tensor(2.2437), tensor(2.2587), tensor(2.2448), tensor(2.2581), tensor(2.2370), tensor(2.2247)]"
27,"[tensor(2.2458), tensor(2.2580), tensor(2.2349), tensor(2.2234), tensor(2.2325), tensor(2.2274), tensor(2.2633), tensor(2.2346), tensor(2.2473), tensor(2.2592)]"
28,"[tensor(2.2331), tensor(2.2555), tensor(2.2596), tensor(2.2430), tensor(2.2489), tensor(2.2516), tensor(2.2349), tensor(2.2524), tensor(2.2182), tensor(2.2178)]"
29,"[tensor(2.2467), tensor(2.2530), tensor(2.2315), tensor(2.2123), tensor(2.2227), tensor(2.2151), tensor(2.2577), tensor(2.2320), tensor(2.2493), tensor(2.2508)]"
30,"[tensor(2.2219), tensor(2.2552), tensor(2.2554), tensor(2.2352), tensor(2.2419), tensor(2.2444), tensor(2.2258), tensor(2.2401), tensor(2.2153), tensor(2.2126)]"
31,"[tensor(2.2439), tensor(2.2399), tensor(2.2218), tensor(2.2067), tensor(2.2125), tensor(2.2045), tensor(2.2508), tensor(2.2191), tensor(2.2524), tensor(2.2456)]"
32,"[tensor(2.2130), tensor(2.2516), tensor(2.2460), tensor(2.2322), tensor(2.2347), tensor(2.2414), tensor(2.2149), tensor(2.2326), tensor(2.2153), tensor(2.2087)]"
33,"[tensor(2.2371), tensor(2.2255), tensor(2.2116), tensor(2.2076), tensor(2.2054), tensor(2.2000), tensor(2.2447), tensor(2.2098), tensor(2.2430), tensor(2.2367)]"
34,"[tensor(2.2047), tensor(2.2453), tensor(2.2351), tensor(2.2265), tensor(2.2278), tensor(2.2367), tensor(2.2057), tensor(2.2303), tensor(2.2109), tensor(2.2026)]"
35,"[tensor(2.2302), tensor(2.2132), tensor(2.2078), tensor(2.2046), tensor(2.1988), tensor(2.1935), tensor(2.2367), tensor(2.2032), tensor(2.2298), tensor(2.2228)]"
36,"[tensor(2.1934), tensor(2.2391), tensor(2.2210), tensor(2.2159), tensor(2.2180), tensor(2.2285), tensor(2.1950), tensor(2.2287), tensor(2.2048), tensor(2.1921)]"
37,"[tensor(2.2144), tensor(2.2042), tensor(2.2036), tensor(2.1990), tensor(2.1930), tensor(2.1867), tensor(2.2290), tensor(2.1943), tensor(2.2122), tensor(2.2105)]"
38,"[tensor(2.1899), tensor(2.2282), tensor(2.2132), tensor(2.2058), tensor(2.1757), tensor(2.2191), tensor(2.1864), tensor(2.2246), tensor(2.1882), tensor(2.1832)]"
39,"[tensor(2.1698), tensor(2.1954), tensor(2.2008), tensor(2.1878), tensor(2.2144), tensor(2.1786), tensor(2.2138), tensor(2.1899), tensor(2.1971), tensor(2.1889)]"
40,"[tensor(2.2134), tensor(2.1890), tensor(2.2017), tensor(2.1862), tensor(2.1630), tensor(2.2054), tensor(2.1867), tensor(2.2080), tensor(2.1656), tensor(2.1966)]"
41,"[tensor(2.1660), tensor(2.2103), tensor(2.1993), tensor(2.1733), tensor(2.2049), tensor(2.1619), tensor(2.1780), tensor(2.1870), tensor(2.2030), tensor(2.1620)]"
42,"[tensor(2.1940), tensor(2.1857), tensor(2.1801), tensor(2.1686), tensor(2.1519), tensor(2.1881), tensor(2.1764), tensor(2.1665), tensor(2.1669), tensor(2.1931)]"
43,"[tensor(2.1488), tensor(2.1987), tensor(2.1824), tensor(2.1649), tensor(2.1904), tensor(2.1496), tensor(2.1613), tensor(2.1743), tensor(2.1888), tensor(2.1571)]"
44,"[tensor(2.1842), tensor(2.1467), tensor(2.1581), tensor(2.1557), tensor(2.1421), tensor(2.1780), tensor(2.1608), tensor(2.1402), tensor(2.1461), tensor(2.1782)]"
45,"[tensor(2.1380), tensor(2.1842), tensor(2.1613), tensor(2.1466), tensor(2.1760), tensor(2.1337), tensor(2.1381), tensor(2.1714), tensor(2.1789), tensor(2.1399)]"
46,"[tensor(2.1651), tensor(2.1286), tensor(2.1334), tensor(2.1441), tensor(2.1277), tensor(2.1592), tensor(2.1447), tensor(2.1124), tensor(2.1350), tensor(2.1658)]"
47,"[tensor(2.1366), tensor(2.1717), tensor(2.1410), tensor(2.1337), tensor(2.1649), tensor(2.1189), tensor(2.1237), tensor(2.1630), tensor(2.1646), tensor(2.1282)]"
48,"[tensor(2.1446), tensor(2.1475), tensor(2.1166), tensor(2.1421), tensor(2.1109), tensor(2.1446), tensor(2.1442), tensor(2.0911), tensor(2.1399), tensor(2.1587)]"
49,"[tensor(2.1259), tensor(2.1577), tensor(2.1521), tensor(2.1288), tensor(2.1605), tensor(2.1213), tensor(2.1125), tensor(2.1634), tensor(2.1494), tensor(2.1168)]"
50,"[tensor(2.1401), tensor(2.1487), tensor(2.1090), tensor(2.1369), tensor(2.0992), tensor(2.1325), tensor(2.1449), tensor(2.0913), tensor(2.1448), tensor(2.1545)]"
51,"[tensor(2.1249), tensor(2.1536), tensor(2.1569), tensor(2.1372), tensor(2.1569), tensor(2.1403), tensor(2.1045), tensor(2.1623), tensor(2.1470), tensor(2.1098)]"
52,"[tensor(2.1379), tensor(2.1502), tensor(2.1062), tensor(2.1409), tensor(2.0973), tensor(2.1366), tensor(2.1475), tensor(2.0946), tensor(2.1574), tensor(2.1554)]"
53,"[tensor(2.1258), tensor(2.1528), tensor(2.1589), tensor(2.1532), tensor(2.1604), tensor(2.1546), tensor(2.1070), tensor(2.1696), tensor(2.1476), tensor(2.1102)]"
54,"[tensor(2.1426), tensor(2.1521), tensor(2.1116), tensor(2.1468), tensor(2.1027), tensor(2.1436), tensor(2.1561), tensor(2.1077), tensor(2.1630), tensor(2.1590)]"
55,"[tensor(2.1158), tensor(2.1427), tensor(2.1657), tensor(2.1626), tensor(2.1629), tensor(2.1623), tensor(2.1121), tensor(2.1773), tensor(2.1386), tensor(2.1170)]"
56,"[tensor(2.1503), tensor(2.1174), tensor(2.1160), tensor(2.1427), tensor(2.1089), tensor(2.1313), tensor(2.1560), tensor(2.1174), tensor(2.1313), tensor(2.1583)]"
57,"[tensor(2.1106), tensor(2.1472), tensor(2.1658), tensor(2.1465), tensor(2.1555), tensor(2.1459), tensor(2.1057), tensor(2.1717), tensor(2.1367), tensor(2.1051)]"
58,"[tensor(2.1459), tensor(2.1043), tensor(2.1049), tensor(2.1313), tensor(2.1006), tensor(2.1004), tensor(2.1471), tensor(2.0991), tensor(2.1228), tensor(2.1516)]"
59,"[tensor(2.1012), tensor(2.1541), tensor(2.1518), tensor(2.1350), tensor(2.1442), tensor(2.1334), tensor(2.0968), tensor(2.1551), tensor(2.1369), tensor(2.0961)]"
60,"[tensor(2.1283), tensor(2.0983), tensor(2.0943), tensor(2.1243), tensor(2.0962), tensor(2.0909), tensor(2.1388), tensor(2.0835), tensor(2.1188), tensor(2.1450)]"
61,"[tensor(2.1368), tensor(2.1470), tensor(2.1387), tensor(2.1333), tensor(2.1365), tensor(2.1325), tensor(2.0946), tensor(2.1446), tensor(2.1336), tensor(2.0913)]"
62,"[tensor(2.0961), tensor(2.1173), tensor(2.0960), tensor(2.1205), tensor(2.0943), tensor(2.0923), tensor(2.1292), tensor(2.0789), tensor(2.1245), tensor(2.1349)]"
63,"[tensor(2.1310), tensor(2.1273), tensor(2.1284), tensor(2.1322), tensor(2.1295), tensor(2.1275), tensor(2.0968), tensor(2.1362), tensor(2.1280), tensor(2.0900)]"
64,"[tensor(2.0872), tensor(2.1220), tensor(2.1085), tensor(2.1156), tensor(2.0899), tensor(2.0889), tensor(2.1206), tensor(2.0746), tensor(2.1144), tensor(2.1210)]"
65,"[tensor(2.1244), tensor(2.1258), tensor(2.1136), tensor(2.1181), tensor(2.1202), tensor(2.1154), tensor(2.0979), tensor(2.1280), tensor(2.1328), tensor(2.0940)]"
66,"[tensor(2.0830), tensor(2.1249), tensor(2.1146), tensor(2.1156), tensor(2.0839), tensor(2.0941), tensor(2.1173), tensor(2.0777), tensor(2.1073), tensor(2.1100)]"
67,"[tensor(2.1192), tensor(2.1276), tensor(2.1069), tensor(2.1127), tensor(2.1081), tensor(2.1087), tensor(2.1016), tensor(2.1295), tensor(2.1400), tensor(2.1019)]"
68,"[tensor(2.0838), tensor(2.1188), tensor(2.1273), tensor(2.1243), tensor(2.0781), tensor(2.1029), tensor(2.1185), tensor(2.0909), tensor(2.1123), tensor(2.1052)]"
69,"[tensor(2.1062), tensor(2.1310), tensor(2.1167), tensor(2.1243), tensor(2.1029), tensor(2.1118), tensor(2.0956), tensor(2.1365), tensor(2.1469), tensor(2.1063)]"
70,"[tensor(2.0859), tensor(2.1034), tensor(2.1343), tensor(2.1299), tensor(2.0793), tensor(2.1052), tensor(2.1143), tensor(2.1015), tensor(2.1126), tensor(2.1046)]"
71,"[tensor(2.0906), tensor(2.1292), tensor(2.1186), tensor(2.1321), tensor(2.1081), tensor(2.1110), tensor(2.0843), tensor(2.1314), tensor(2.1423), tensor(2.0857)]"
72,"[tensor(2.0830), tensor(2.0885), tensor(2.1040), tensor(2.1108), tensor(2.0754), tensor(2.0781), tensor(2.1065), tensor(2.0990), tensor(2.1040), tensor(2.1010)]"
73,"[tensor(2.0782), tensor(2.1213), tensor(2.1135), tensor(2.1322), tensor(2.0984), tensor(2.1051), tensor(2.0699), tensor(2.1145), tensor(2.1263), tensor(2.0661)]"
74,"[tensor(2.0786), tensor(2.0700), tensor(2.0860), tensor(2.0937), tensor(2.0684), tensor(2.0588), tensor(2.0972), tensor(2.0872), tensor(2.0908), tensor(2.0899)]"
75,"[tensor(2.0795), tensor(2.1185), tensor(2.0975), tensor(2.1228), tensor(2.0840), tensor(2.0904), tensor(2.0607), tensor(2.1015), tensor(2.1159), tensor(2.0579)]"
76,"[tensor(2.0733), tensor(2.0644), tensor(2.0834), tensor(2.0901), tensor(2.0589), tensor(2.0546), tensor(2.0914), tensor(2.0746), tensor(2.0799), tensor(2.0750)]"
77,"[tensor(2.0840), tensor(2.1203), tensor(2.0842), tensor(2.1064), tensor(2.0714), tensor(2.0711), tensor(2.0652), tensor(2.0981), tensor(2.1150), tensor(2.0613)]"
78,"[tensor(2.0642), tensor(2.0920), tensor(2.0958), tensor(2.0953), tensor(2.0615), tensor(2.0612), tensor(2.0963), tensor(2.0603), tensor(2.0753), tensor(2.0789)]"
79,"[tensor(2.0854), tensor(2.1370), tensor(2.0793), tensor(2.0924), tensor(2.0620), tensor(2.0662), tensor(2.0935), tensor(2.1159), tensor(2.1385), tensor(2.0865)]"
80,"[tensor(2.0696), tensor(2.1023), tensor(2.1347), tensor(2.1277), tensor(2.0622), tensor(2.0944), tensor(2.1065), tensor(2.0755), tensor(2.0829), tensor(2.0832)]"
81,"[tensor(2.0819), tensor(2.1458), tensor(2.1003), tensor(2.1000), tensor(2.0696), tensor(2.0760), tensor(2.1095), tensor(2.1504), tensor(2.1673), tensor(2.1078)]"
82,"[tensor(2.0761), tensor(2.1004), tensor(2.1584), tensor(2.1573), tensor(2.0589), tensor(2.1139), tensor(2.1120), tensor(2.0962), tensor(2.0911), tensor(2.0909)]"
83,"[tensor(2.0777), tensor(2.1285), tensor(2.1084), tensor(2.1113), tensor(2.0829), tensor(2.0837), tensor(2.0922), tensor(2.1592), tensor(2.1607), tensor(2.0954)]"
84,"[tensor(2.0743), tensor(2.0916), tensor(2.1345), tensor(2.1436), tensor(2.0642), tensor(2.0924), tensor(2.0892), tensor(2.1025), tensor(2.0943), tensor(2.0910)]"
85,"[tensor(2.0786), tensor(2.1183), tensor(2.1061), tensor(2.1226), tensor(2.0863), tensor(2.0822), tensor(2.0871), tensor(2.1202), tensor(2.1376), tensor(2.0842)]"
86,"[tensor(2.0609), tensor(2.0934), tensor(2.0998), tensor(2.1064), tensor(2.0737), tensor(2.0669), tensor(2.0735), tensor(2.1078), tensor(2.0983), tensor(2.0891)]"
87,"[tensor(2.0751), tensor(2.1032), tensor(2.1130), tensor(2.1388), tensor(2.0896), tensor(2.0912), tensor(2.0859), tensor(2.0869), tensor(2.1143), tensor(2.0851)]"
88,"[tensor(2.0723), tensor(2.0844), tensor(2.0959), tensor(2.0930), tensor(2.0663), tensor(2.0653), tensor(2.0746), tensor(2.1104), tensor(2.0956), tensor(2.0901)]"
89,"[tensor(2.0733), tensor(2.1040), tensor(2.1114), tensor(2.1484), tensor(2.0577), tensor(2.0910), tensor(2.0868), tensor(2.0854), tensor(2.1094), tensor(2.0838)]"
90,"[tensor(2.0626), tensor(2.0613), tensor(2.0992), tensor(2.0993), tensor(2.0613), tensor(2.0701), tensor(2.0892), tensor(2.0931), tensor(2.0770), tensor(2.0660)]"
91,"[tensor(2.0909), tensor(2.1079), tensor(2.0906), tensor(2.1234), tensor(2.0703), tensor(2.0691), tensor(2.0776), tensor(2.0963), tensor(2.1145), tensor(2.0763)]"
92,"[tensor(2.0535), tensor(2.0914), tensor(2.1104), tensor(2.1072), tensor(2.0751), tensor(2.0675), tensor(2.1099), tensor(2.0769), tensor(2.0748), tensor(2.0699)]"
93,"[tensor(2.0960), tensor(2.1313), tensor(2.0876), tensor(2.1043), tensor(2.0583), tensor(2.0664), tensor(2.0982), tensor(2.1186), tensor(2.1389), tensor(2.1009)]"
94,"[tensor(2.0574), tensor(2.1069), tensor(2.1383), tensor(2.1345), tensor(2.0749), tensor(2.0926), tensor(2.1342), tensor(2.0867), tensor(2.0832), tensor(2.0715)]"
95,"[tensor(2.0920), tensor(2.1439), tensor(2.0995), tensor(2.1062), tensor(2.0641), tensor(2.0739), tensor(2.1019), tensor(2.1525), tensor(2.1610), tensor(2.1152)]"
96,"[tensor(2.0744), tensor(2.1023), tensor(2.1583), tensor(2.1612), tensor(2.0578), tensor(2.1079), tensor(2.1391), tensor(2.0967), tensor(2.0893), tensor(2.0855)]"
97,"[tensor(2.0818), tensor(2.1308), tensor(2.1071), tensor(2.1127), tensor(2.0857), tensor(2.0799), tensor(2.0905), tensor(2.1647), tensor(2.1541), tensor(2.1018)]"
98,"[tensor(2.0774), tensor(2.0928), tensor(2.1422), tensor(2.1496), tensor(2.0645), tensor(2.0897), tensor(2.1285), tensor(2.0993), tensor(2.0952), tensor(2.0945)]"
99,"[tensor(2.0820), tensor(2.1210), tensor(2.1053), tensor(2.1214), tensor(2.0961), tensor(2.0810), tensor(2.0904), tensor(2.1389), tensor(2.1353), tensor(2.0845)]"
