closeness_centrality,[4. 0.]
16,"[tensor(2.0013), tensor(1.9595), tensor(1.9732), tensor(1.9883), tensor(1.9697), tensor(1.9645), tensor(2.0204), tensor(1.9871), tensor(2.0397), tensor(2.0329)]"
17,"[tensor(1.9437), tensor(2.0247), tensor(2.0371), tensor(2.0556), tensor(1.9854), tensor(2.0100), tensor(1.9399), tensor(1.9676), tensor(1.9559), tensor(1.9438)]"
18,"[tensor(1.9948), tensor(1.9433), tensor(1.9644), tensor(1.9796), tensor(1.9539), tensor(1.9407), tensor(2.0038), tensor(1.9894), tensor(2.0317), tensor(2.0244)]"
19,"[tensor(1.9306), tensor(2.0118), tensor(2.0303), tensor(2.0495), tensor(1.9789), tensor(1.9973), tensor(1.9232), tensor(1.9460), tensor(1.9426), tensor(1.9298)]"
20,"[tensor(1.9876), tensor(1.9260), tensor(1.9558), tensor(1.9697), tensor(1.9392), tensor(1.9183), tensor(1.9887), tensor(1.9791), tensor(2.0232), tensor(2.0170)]"
21,"[tensor(1.9137), tensor(1.9982), tensor(2.0182), tensor(2.0400), tensor(1.9681), tensor(1.9847), tensor(1.9098), tensor(1.9200), tensor(1.9304), tensor(1.9195)]"
22,"[tensor(1.9741), tensor(1.9141), tensor(1.9420), tensor(1.9553), tensor(1.9176), tensor(1.9015), tensor(1.9737), tensor(1.9655), tensor(2.0107), tensor(2.0038)]"
23,"[tensor(1.8984), tensor(1.9857), tensor(2.0030), tensor(2.0275), tensor(1.9501), tensor(1.9741), tensor(1.8970), tensor(1.9007), tensor(1.9121), tensor(1.9040)]"
24,"[tensor(1.9585), tensor(1.8994), tensor(1.9271), tensor(1.9371), tensor(1.8973), tensor(1.8839), tensor(1.9586), tensor(1.9516), tensor(1.9944), tensor(1.9873)]"
25,"[tensor(1.8814), tensor(1.9671), tensor(1.9868), tensor(2.0129), tensor(1.9319), tensor(1.9588), tensor(1.8826), tensor(1.8907), tensor(1.8923), tensor(1.8841)]"
26,"[tensor(1.9630), tensor(1.8816), tensor(1.9100), tensor(1.9183), tensor(1.8589), tensor(1.8654), tensor(1.9401), tensor(1.9310), tensor(1.9781), tensor(1.9701)]"
27,"[tensor(1.8521), tensor(1.9642), tensor(1.9684), tensor(1.9965), tensor(1.9376), tensor(1.9417), tensor(1.8415), tensor(1.8704), tensor(1.9177), tensor(1.8572)]"
28,"[tensor(1.9487), tensor(1.8662), tensor(1.8912), tensor(1.9232), tensor(1.8507), tensor(1.8504), tensor(1.9430), tensor(1.8217), tensor(1.9846), tensor(1.9812)]"
29,"[tensor(1.8555), tensor(1.9777), tensor(1.9454), tensor(2.0008), tensor(1.9335), tensor(1.9812), tensor(1.8546), tensor(1.9387), tensor(1.9217), tensor(1.8750)]"
30,"[tensor(1.9688), tensor(1.8560), tensor(1.8957), tensor(1.9871), tensor(1.8818), tensor(1.9498), tensor(1.9712), tensor(1.9427), tensor(1.9418), tensor(1.9855)]"
31,"[tensor(1.8902), tensor(2.0018), tensor(2.0012), tensor(2.0361), tensor(1.9748), tensor(2.0269), tensor(1.9020), tensor(2.0165), tensor(1.9646), tensor(1.8896)]"
32,"[tensor(2.0073), tensor(1.8872), tensor(1.9698), tensor(2.0365), tensor(1.9186), tensor(2.0020), tensor(2.0142), tensor(2.0047), tensor(1.9485), tensor(2.0232)]"
33,"[tensor(1.9348), tensor(2.0259), tensor(2.0596), tensor(2.0431), tensor(1.9989), tensor(2.0596), tensor(1.9293), tensor(2.0747), tensor(1.9922), tensor(1.9214)]"
34,"[tensor(2.0029), tensor(1.9064), tensor(1.9999), tensor(2.0454), tensor(1.9593), tensor(2.0030), tensor(2.0287), tensor(2.0070), tensor(1.9788), tensor(2.0372)]"
35,"[tensor(1.9601), tensor(1.9887), tensor(2.0417), tensor(2.0113), tensor(2.0235), tensor(2.0292), tensor(1.9450), tensor(2.0670), tensor(1.9537), tensor(1.9432)]"
36,"[tensor(2.0233), tensor(1.9366), tensor(1.9945), tensor(1.9796), tensor(1.9538), tensor(1.9451), tensor(2.0180), tensor(1.9839), tensor(1.9638), tensor(2.0049)]"
37,"[tensor(1.9477), tensor(1.9947), tensor(1.9870), tensor(1.9582), tensor(2.0124), tensor(1.9599), tensor(1.9388), tensor(1.9888), tensor(1.9647), tensor(1.9423)]"
38,"[tensor(2.0091), tensor(1.9595), tensor(1.9607), tensor(1.9303), tensor(1.9144), tensor(1.9171), tensor(2.0028), tensor(1.9449), tensor(1.9720), tensor(1.9985)]"
39,"[tensor(1.9121), tensor(2.0021), tensor(1.9507), tensor(1.9675), tensor(1.9927), tensor(1.9473), tensor(1.9414), tensor(1.9296), tensor(1.9844), tensor(1.9512)]"
40,"[tensor(2.0187), tensor(1.9624), tensor(1.9401), tensor(1.9674), tensor(1.9070), tensor(1.9496), tensor(2.0089), tensor(1.9404), tensor(1.9824), tensor(2.0127)]"
41,"[tensor(1.9231), tensor(2.0438), tensor(2.0102), tensor(2.0131), tensor(2.0263), tensor(2.0083), tensor(1.9519), tensor(2.0034), tensor(2.0155), tensor(1.9602)]"
42,"[tensor(2.0557), tensor(2.0088), tensor(1.9839), tensor(2.0545), tensor(1.9468), tensor(2.0166), tensor(2.0587), tensor(1.9721), tensor(2.0473), tensor(2.0704)]"
43,"[tensor(1.9625), tensor(2.0881), tensor(2.0741), tensor(2.0938), tensor(2.0818), tensor(2.0889), tensor(2.0230), tensor(2.0817), tensor(2.0646), tensor(2.0321)]"
44,"[tensor(2.1014), tensor(2.0349), tensor(2.0960), tensor(2.1154), tensor(2.0150), tensor(2.0850), tensor(2.1148), tensor(2.0956), tensor(2.0818), tensor(2.1217)]"
45,"[tensor(2.0515), tensor(2.1211), tensor(2.1475), tensor(2.1471), tensor(2.1299), tensor(2.1404), tensor(2.0657), tensor(2.1477), tensor(2.1057), tensor(2.0563)]"
46,"[tensor(2.1286), tensor(2.0791), tensor(2.1336), tensor(2.1444), tensor(2.0717), tensor(2.1096), tensor(2.1472), tensor(2.1292), tensor(2.1386), tensor(2.1552)]"
47,"[tensor(2.0879), tensor(2.1387), tensor(2.1667), tensor(2.1619), tensor(2.1472), tensor(2.1598), tensor(2.0792), tensor(2.1647), tensor(2.1267), tensor(2.0786)]"
48,"[tensor(2.1828), tensor(2.0644), tensor(2.1227), tensor(2.1361), tensor(2.0843), tensor(2.0991), tensor(2.1424), tensor(2.1260), tensor(2.1221), tensor(2.1504)]"
49,"[tensor(2.0535), tensor(2.1827), tensor(2.1453), tensor(2.1229), tensor(2.1841), tensor(2.1298), tensor(2.0560), tensor(2.1458), tensor(2.1631), tensor(2.0436)]"
50,"[tensor(2.1941), tensor(2.0361), tensor(2.0596), tensor(2.1229), tensor(2.0391), tensor(2.0496), tensor(2.1873), tensor(2.0585), tensor(2.1089), tensor(2.2020)]"
51,"[tensor(2.0231), tensor(2.2037), tensor(2.1855), tensor(2.1241), tensor(2.2017), tensor(2.1822), tensor(2.0114), tensor(2.1915), tensor(2.1572), tensor(1.9872)]"
52,"[tensor(2.2104), tensor(2.0011), tensor(2.0003), tensor(2.1493), tensor(1.9994), tensor(2.0377), tensor(2.2179), tensor(2.0070), tensor(2.1195), tensor(2.2322)]"
53,"[tensor(2.0020), tensor(2.2267), tensor(2.2059), tensor(2.1400), tensor(2.2127), tensor(2.2204), tensor(1.9929), tensor(2.2245), tensor(2.1709), tensor(1.9545)]"
54,"[tensor(2.2225), tensor(2.0215), tensor(2.0061), tensor(2.1857), tensor(2.0070), tensor(2.1234), tensor(2.2249), tensor(2.0159), tensor(2.1988), tensor(2.2362)]"
55,"[tensor(2.0390), tensor(2.2377), tensor(2.2107), tensor(2.1901), tensor(2.2259), tensor(2.2279), tensor(2.0288), tensor(2.2275), tensor(2.2086), tensor(2.0047)]"
56,"[tensor(2.2340), tensor(2.0470), tensor(2.0957), tensor(2.2236), tensor(2.0670), tensor(2.1741), tensor(2.2396), tensor(2.1377), tensor(2.1958), tensor(2.2493)]"
57,"[tensor(2.0979), tensor(2.2470), tensor(2.2446), tensor(2.2322), tensor(2.2361), tensor(2.2471), tensor(2.0825), tensor(2.2435), tensor(2.2061), tensor(2.0414)]"
58,"[tensor(2.2058), tensor(2.0543), tensor(2.1437), tensor(2.1943), tensor(2.1237), tensor(2.1556), tensor(2.2331), tensor(2.1752), tensor(2.1626), tensor(2.2492)]"
59,"[tensor(2.1105), tensor(2.1623), tensor(2.2107), tensor(2.1695), tensor(2.2102), tensor(2.1710), tensor(2.1070), tensor(2.1964), tensor(2.0402), tensor(2.0497)]"
60,"[tensor(2.1507), tensor(2.0355), tensor(2.1095), tensor(2.0600), tensor(2.0588), tensor(1.9949), tensor(2.1471), tensor(2.0860), tensor(2.1018), tensor(2.1564)]"
61,"[tensor(2.0162), tensor(2.0976), tensor(2.1116), tensor(2.0891), tensor(2.1211), tensor(2.1008), tensor(2.0074), tensor(2.0712), tensor(1.9588), tensor(1.9810)]"
62,"[tensor(2.1716), tensor(2.0219), tensor(2.0046), tensor(1.9643), tensor(2.0166), tensor(1.9345), tensor(2.0959), tensor(1.9607), tensor(1.9931), tensor(2.0931)]"
63,"[tensor(1.9746), tensor(2.1801), tensor(2.0762), tensor(2.0617), tensor(1.9992), tensor(2.0563), tensor(2.0285), tensor(2.0237), tensor(2.1138), tensor(2.0224)]"
64,"[tensor(2.1493), tensor(2.0901), tensor(2.0132), tensor(1.9315), tensor(2.0019), tensor(1.9000), tensor(2.1330), tensor(1.9351), tensor(1.9378), tensor(2.1605)]"
65,"[tensor(1.9160), tensor(2.1878), tensor(2.0948), tensor(2.0596), tensor(1.8948), tensor(2.0909), tensor(1.9765), tensor(2.0856), tensor(2.1250), tensor(1.9553)]"
66,"[tensor(2.1707), tensor(2.0078), tensor(1.9417), tensor(2.1696), tensor(2.0194), tensor(2.1446), tensor(2.1557), tensor(1.9419), tensor(1.9816), tensor(2.1706)]"
67,"[tensor(1.9437), tensor(2.2105), tensor(2.1566), tensor(2.1645), tensor(2.0044), tensor(2.1810), tensor(2.0594), tensor(2.1760), tensor(2.2061), tensor(2.0110)]"
68,"[tensor(2.2205), tensor(1.9511), tensor(2.1650), tensor(2.2406), tensor(2.1893), tensor(2.2288), tensor(2.1802), tensor(2.2085), tensor(2.0494), tensor(2.2217)]"
69,"[tensor(2.1189), tensor(2.2392), tensor(2.2410), tensor(2.2296), tensor(2.1393), tensor(2.2324), tensor(2.2019), tensor(2.2447), tensor(2.2079), tensor(2.1225)]"
70,"[tensor(2.1547), tensor(2.0888), tensor(2.2550), tensor(2.2529), tensor(2.2554), tensor(2.2424), tensor(2.1942), tensor(2.2548), tensor(2.1650), tensor(2.2399)]"
71,"[tensor(2.1532), tensor(2.1526), tensor(2.2454), tensor(2.2174), tensor(2.1659), tensor(2.1967), tensor(2.2363), tensor(2.2496), tensor(2.1547), tensor(2.1905)]"
72,"[tensor(2.1573), tensor(2.1697), tensor(2.2439), tensor(2.1623), tensor(2.1331), tensor(2.1344), tensor(2.0892), tensor(2.1914), tensor(2.1207), tensor(2.1080)]"
73,"[tensor(2.2242), tensor(2.1226), tensor(2.1524), tensor(2.1526), tensor(2.1192), tensor(2.1092), tensor(2.1263), tensor(2.1254), tensor(2.0569), tensor(2.1619)]"
74,"[tensor(2.1635), tensor(2.7899), tensor(2.3277), tensor(2.2738), tensor(2.1166), tensor(2.2384), tensor(2.1014), tensor(2.1422), tensor(2.0288), tensor(2.1324)]"
75,"[tensor(2.2932), tensor(2.1669), tensor(2.1327), tensor(2.1337), tensor(2.2159), tensor(2.1171), tensor(2.0407), tensor(2.1016), tensor(2.0459), tensor(2.1329)]"
76,"[tensor(2.1611), tensor(2.8645), tensor(2.1886), tensor(2.0032), tensor(2.1591), tensor(1.9730), tensor(2.1202), tensor(2.0663), tensor(1.8861), tensor(2.1367)]"
77,"[tensor(2.0197), tensor(2.1701), tensor(2.1113), tensor(2.1075), tensor(2.0046), tensor(2.1094), tensor(2.1253), tensor(2.1056), tensor(2.1610), tensor(2.1103)]"
78,"[tensor(2.1568), tensor(2.1587), tensor(2.0616), tensor(2.1277), tensor(2.1557), tensor(2.1123), tensor(2.0536), tensor(2.0428), tensor(1.8565), tensor(2.1273)]"
79,"[tensor(1.9659), tensor(2.1658), tensor(2.0228), tensor(2.0123), tensor(1.9214), tensor(2.0298), tensor(2.1594), tensor(2.0446), tensor(2.1827), tensor(2.1396)]"
80,"[tensor(2.1383), tensor(1.9808), tensor(2.1300), tensor(2.1538), tensor(2.1358), tensor(2.1477), tensor(2.0592), tensor(2.1025), tensor(1.9388), tensor(2.1335)]"
81,"[tensor(2.0216), tensor(2.1523), tensor(2.0860), tensor(2.0767), tensor(2.0435), tensor(2.1037), tensor(2.1312), tensor(2.1159), tensor(2.1702), tensor(2.1298)]"
82,"[tensor(2.1475), tensor(2.0115), tensor(2.1215), tensor(2.1877), tensor(2.1134), tensor(2.1636), tensor(2.1183), tensor(2.0860), tensor(2.0610), tensor(2.1314)]"
83,"[tensor(1.9590), tensor(2.1621), tensor(2.1496), tensor(2.0711), tensor(1.9979), tensor(2.0143), tensor(2.1182), tensor(2.1408), tensor(2.1666), tensor(2.1041)]"
84,"[tensor(2.0088), tensor(2.4036), tensor(2.2934), tensor(2.3856), tensor(1.8869), tensor(2.1867), tensor(2.1121), tensor(1.9711), tensor(2.0236), tensor(2.1194)]"
85,"[tensor(1.8737), tensor(2.1077), tensor(2.1500), tensor(2.1268), tensor(1.9036), tensor(2.1367), tensor(2.5638), tensor(2.1942), tensor(3.1924), tensor(2.6451)]"
86,"[tensor(1.9956), tensor(2.9792), tensor(3.1531), tensor(3.3578), tensor(2.0849), tensor(2.9332), tensor(2.1104), tensor(1.8848), tensor(2.1050), tensor(2.1128)]"
87,"[tensor(1.9147), tensor(2.0829), tensor(2.1160), tensor(2.1017), tensor(1.9310), tensor(2.0828), tensor(2.3794), tensor(2.1506), tensor(3.1239), tensor(2.6759)]"
88,"[tensor(2.0236), tensor(2.3392), tensor(3.0318), tensor(3.2885), tensor(2.0620), tensor(2.7368), tensor(2.0762), tensor(1.9026), tensor(2.0906), tensor(2.0860)]"
89,"[tensor(1.8612), tensor(2.0912), tensor(2.0638), tensor(2.0775), tensor(1.9201), tensor(2.0583), tensor(2.0054), tensor(1.9926), tensor(2.4359), tensor(2.2735)]"
90,"[tensor(2.0508), tensor(2.0710), tensor(2.6446), tensor(2.7941), tensor(2.0343), tensor(2.1822), tensor(2.0819), tensor(2.0263), tensor(2.0606), tensor(2.0974)]"
91,"[tensor(1.8333), tensor(2.1010), tensor(2.0592), tensor(2.0681), tensor(1.9953), tensor(2.0565), tensor(1.8409), tensor(1.9187), tensor(2.0682), tensor(2.0118)]"
92,"[tensor(2.0796), tensor(1.9039), tensor(2.3154), tensor(2.4222), tensor(1.9941), tensor(1.9156), tensor(2.0859), tensor(2.0259), tensor(2.0652), tensor(2.0998)]"
93,"[tensor(1.8800), tensor(2.0869), tensor(2.0601), tensor(2.0647), tensor(2.0759), tensor(2.0717), tensor(1.8247), tensor(1.8910), tensor(1.9417), tensor(1.8697)]"
94,"[tensor(2.0585), tensor(1.8837), tensor(2.0942), tensor(2.2376), tensor(1.9829), tensor(1.8338), tensor(2.0621), tensor(2.0042), tensor(2.0937), tensor(2.0715)]"
95,"[tensor(1.9047), tensor(2.0502), tensor(2.0368), tensor(2.1035), tensor(2.1059), tensor(2.1201), tensor(1.8653), tensor(1.9302), tensor(1.9562), tensor(1.8896)]"
96,"[tensor(2.0644), tensor(1.9063), tensor(2.0756), tensor(2.2024), tensor(1.9512), tensor(1.8990), tensor(2.1156), tensor(2.0805), tensor(2.1040), tensor(2.1281)]"
97,"[tensor(1.9502), tensor(2.0622), tensor(2.1333), tensor(2.1341), tensor(2.1330), tensor(2.1371), tensor(1.9281), tensor(2.0139), tensor(1.9147), tensor(1.9072)]"
98,"[tensor(2.0912), tensor(1.9312), tensor(2.0803), tensor(2.1494), tensor(1.9993), tensor(1.9319), tensor(2.1372), tensor(2.1031), tensor(2.1145), tensor(2.1457)]"
99,"[tensor(1.9859), tensor(2.0628), tensor(2.1509), tensor(2.1395), tensor(2.1310), tensor(2.1401), tensor(1.9246), tensor(2.0671), tensor(1.8715), tensor(1.8946)]"
