in_deg_centrality,[5. 2.]
18,"[tensor(2.0601), tensor(2.0991), tensor(1.9626), tensor(1.9871), tensor(2.0668), tensor(1.9718), tensor(2.0373), tensor(1.9804), tensor(2.0215), tensor(1.9401)]"
19,"[tensor(1.9632), tensor(1.9355), tensor(2.0087), tensor(2.0115), tensor(1.9462), tensor(1.9798), tensor(1.9724), tensor(2.0702), tensor(1.9942), tensor(2.0623)]"
20,"[tensor(1.9843), tensor(2.0592), tensor(1.9475), tensor(1.9730), tensor(2.0262), tensor(1.9722), tensor(1.9635), tensor(1.9553), tensor(1.9638), tensor(1.9119)]"
21,"[tensor(1.9731), tensor(1.9074), tensor(1.9553), tensor(1.9743), tensor(1.9104), tensor(1.9331), tensor(1.9878), tensor(2.0044), tensor(2.0022), tensor(2.0053)]"
22,"[tensor(1.9091), tensor(2.0072), tensor(1.9526), tensor(1.9656), tensor(1.9781), tensor(1.9636), tensor(1.9071), tensor(1.9658), tensor(1.9250), tensor(1.8896)]"
23,"[tensor(1.9790), tensor(1.8985), tensor(1.9164), tensor(1.9337), tensor(1.8919), tensor(1.9043), tensor(1.9946), tensor(1.9570), tensor(1.9987), tensor(1.9392)]"
24,"[tensor(1.8606), tensor(1.9353), tensor(1.9296), tensor(1.9420), tensor(1.9333), tensor(1.9509), tensor(1.8637), tensor(1.9655), tensor(1.8954), tensor(1.8984)]"
25,"[tensor(1.9742), tensor(1.9016), tensor(1.8797), tensor(1.8948), tensor(1.8757), tensor(1.8722), tensor(1.9822), tensor(1.9181), tensor(1.9754), tensor(1.8714)]"
26,"[tensor(1.8261), tensor(1.8662), tensor(1.8610), tensor(1.9127), tensor(1.8970), tensor(1.8890), tensor(1.8292), tensor(1.9676), tensor(1.8694), tensor(1.9024)]"
27,"[tensor(1.8811), tensor(1.8707), tensor(1.9336), tensor(1.8807), tensor(1.8483), tensor(1.8887), tensor(1.8808), tensor(1.8595), tensor(1.9183), tensor(1.8193)]"
28,"[tensor(1.8331), tensor(1.8779), tensor(1.8406), tensor(1.8742), tensor(1.8785), tensor(1.8557), tensor(1.8267), tensor(1.9134), tensor(1.8544), tensor(1.8547)]"
29,"[tensor(1.8508), tensor(1.8489), tensor(1.8868), tensor(1.8414), tensor(1.8361), tensor(1.8834), tensor(1.8530), tensor(1.8733), tensor(1.8811), tensor(1.8432)]"
30,"[tensor(1.8604), tensor(1.8729), tensor(1.8092), tensor(1.8855), tensor(1.8593), tensor(1.8444), tensor(1.8504), tensor(1.8616), tensor(1.8650), tensor(1.8441)]"
31,"[tensor(1.8239), tensor(1.8259), tensor(1.8976), tensor(1.8391), tensor(1.8049), tensor(1.8672), tensor(1.8196), tensor(1.8640), tensor(1.8783), tensor(1.8902)]"
32,"[tensor(1.8868), tensor(1.8938), tensor(1.7868), tensor(1.8763), tensor(1.8610), tensor(1.8461), tensor(1.8692), tensor(1.8457), tensor(1.8429), tensor(1.8390)]"
33,"[tensor(1.8133), tensor(1.8077), tensor(1.9060), tensor(1.8395), tensor(1.7867), tensor(1.8379), tensor(1.8022), tensor(1.8344), tensor(1.8851), tensor(1.9061)]"
34,"[tensor(1.8808), tensor(1.8979), tensor(1.7734), tensor(1.8446), tensor(1.8627), tensor(1.8340), tensor(1.8536), tensor(1.8579), tensor(1.7914), tensor(1.8192)]"
35,"[tensor(1.7700), tensor(1.7656), tensor(1.8938), tensor(1.8211), tensor(1.7644), tensor(1.8442), tensor(1.7599), tensor(1.7774), tensor(1.8769), tensor(1.8877)]"
36,"[tensor(1.8712), tensor(1.8929), tensor(1.7555), tensor(1.8300), tensor(1.8396), tensor(1.7734), tensor(1.8349), tensor(1.8445), tensor(1.7465), tensor(1.7479)]"
37,"[tensor(1.7309), tensor(1.7297), tensor(1.8794), tensor(1.7821), tensor(1.7383), tensor(1.8369), tensor(1.7292), tensor(1.7652), tensor(1.8370), tensor(1.8528)]"
38,"[tensor(1.8585), tensor(1.8739), tensor(1.7190), tensor(1.8151), tensor(1.8322), tensor(1.7672), tensor(1.8283), tensor(1.8321), tensor(1.7427), tensor(1.7060)]"
39,"[tensor(1.7129), tensor(1.7215), tensor(1.8717), tensor(1.8020), tensor(1.7245), tensor(1.8157), tensor(1.7181), tensor(1.7737), tensor(1.8334), tensor(1.8492)]"
40,"[tensor(1.8550), tensor(1.8650), tensor(1.7030), tensor(1.8085), tensor(1.8292), tensor(1.7850), tensor(1.8262), tensor(1.8376), tensor(1.7457), tensor(1.7030)]"
41,"[tensor(1.7103), tensor(1.7197), tensor(1.8639), tensor(1.8301), tensor(1.7229), tensor(1.8210), tensor(1.7246), tensor(1.7933), tensor(1.8459), tensor(1.8576)]"
42,"[tensor(1.8587), tensor(1.8622), tensor(1.7161), tensor(1.8168), tensor(1.8288), tensor(1.7885), tensor(1.8275), tensor(1.8468), tensor(1.7593), tensor(1.7099)]"
43,"[tensor(1.7147), tensor(1.7245), tensor(1.8692), tensor(1.8348), tensor(1.7234), tensor(1.8196), tensor(1.7384), tensor(1.7941), tensor(1.8457), tensor(1.8693)]"
44,"[tensor(1.8592), tensor(1.8645), tensor(1.7121), tensor(1.8061), tensor(1.8322), tensor(1.8097), tensor(1.8195), tensor(1.8419), tensor(1.7548), tensor(1.7223)]"
45,"[tensor(1.7217), tensor(1.7316), tensor(1.8716), tensor(1.8425), tensor(1.7178), tensor(1.7919), tensor(1.7504), tensor(1.7860), tensor(1.8540), tensor(1.8569)]"
46,"[tensor(1.8472), tensor(1.8556), tensor(1.7076), tensor(1.7853), tensor(1.8337), tensor(1.8399), tensor(1.8057), tensor(1.8458), tensor(1.7324), tensor(1.7267)]"
47,"[tensor(1.7354), tensor(1.7398), tensor(1.8750), tensor(1.8630), tensor(1.7062), tensor(1.7617), tensor(1.7761), tensor(1.7582), tensor(1.8736), tensor(1.8509)]"
48,"[tensor(1.8420), tensor(1.8569), tensor(1.7047), tensor(1.7591), tensor(1.8384), tensor(1.8582), tensor(1.7976), tensor(1.8645), tensor(1.7160), tensor(1.7459)]"
49,"[tensor(1.7734), tensor(1.7578), tensor(1.8868), tensor(1.8896), tensor(1.7099), tensor(1.7506), tensor(1.8060), tensor(1.7389), tensor(1.8931), tensor(1.8585)]"
50,"[tensor(1.8310), tensor(1.8570), tensor(1.7133), tensor(1.7586), tensor(1.8549), tensor(1.8829), tensor(1.7945), tensor(1.8945), tensor(1.7209), tensor(1.7897)]"
51,"[tensor(1.7820), tensor(1.7682), tensor(1.9041), tensor(1.9127), tensor(1.7172), tensor(1.7582), tensor(1.8089), tensor(1.7436), tensor(1.9092), tensor(1.8589)]"
52,"[tensor(1.8323), tensor(1.8533), tensor(1.7222), tensor(1.7737), tensor(1.8613), tensor(1.8925), tensor(1.8068), tensor(1.9118), tensor(1.7331), tensor(1.7929)]"
53,"[tensor(1.7564), tensor(1.7441), tensor(1.9116), tensor(1.9066), tensor(1.7307), tensor(1.7703), tensor(1.7789), tensor(1.7617), tensor(1.8964), tensor(1.8498)]"
54,"[tensor(1.8290), tensor(1.8419), tensor(1.7233), tensor(1.7863), tensor(1.8513), tensor(1.8882), tensor(1.8090), tensor(1.8924), tensor(1.7424), tensor(1.7550)]"
55,"[tensor(1.7400), tensor(1.7306), tensor(1.8992), tensor(1.8942), tensor(1.7267), tensor(1.7723), tensor(1.7512), tensor(1.7751), tensor(1.8851), tensor(1.8335)]"
56,"[tensor(1.8274), tensor(1.8344), tensor(1.7208), tensor(1.7886), tensor(1.8341), tensor(1.8775), tensor(1.7983), tensor(1.8777), tensor(1.7408), tensor(1.7286)]"
57,"[tensor(1.7360), tensor(1.7299), tensor(1.8827), tensor(1.8796), tensor(1.7194), tensor(1.7823), tensor(1.7527), tensor(1.7773), tensor(1.8775), tensor(1.8209)]"
58,"[tensor(1.8243), tensor(1.8289), tensor(1.7093), tensor(1.7825), tensor(1.8219), tensor(1.8632), tensor(1.7944), tensor(1.8722), tensor(1.7406), tensor(1.7244)]"
59,"[tensor(1.7249), tensor(1.7295), tensor(1.8748), tensor(1.8575), tensor(1.7084), tensor(1.7956), tensor(1.7508), tensor(1.7782), tensor(1.8662), tensor(1.8233)]"
60,"[tensor(1.8329), tensor(1.8346), tensor(1.7035), tensor(1.7899), tensor(1.8158), tensor(1.8392), tensor(1.8037), tensor(1.8612), tensor(1.7511), tensor(1.7268)]"
61,"[tensor(1.7216), tensor(1.7327), tensor(1.8792), tensor(1.8484), tensor(1.7145), tensor(1.8186), tensor(1.7499), tensor(1.7964), tensor(1.8631), tensor(1.8285)]"
62,"[tensor(1.8503), tensor(1.8610), tensor(1.7160), tensor(1.8181), tensor(1.8253), tensor(1.8314), tensor(1.8236), tensor(1.8680), tensor(1.7859), tensor(1.7320)]"
63,"[tensor(1.7332), tensor(1.7419), tensor(1.8934), tensor(1.8693), tensor(1.7278), tensor(1.8469), tensor(1.7622), tensor(1.8191), tensor(1.8893), tensor(1.8603)]"
64,"[tensor(1.8638), tensor(1.8866), tensor(1.7188), tensor(1.8413), tensor(1.8392), tensor(1.8319), tensor(1.8369), tensor(1.8951), tensor(1.8066), tensor(1.7370)]"
65,"[tensor(1.7406), tensor(1.7283), tensor(1.9150), tensor(1.8742), tensor(1.7190), tensor(1.8550), tensor(1.7595), tensor(1.8209), tensor(1.8954), tensor(1.8896)]"
66,"[tensor(1.8725), tensor(1.9008), tensor(1.7196), tensor(1.8482), tensor(1.8537), tensor(1.8367), tensor(1.8417), tensor(1.8985), tensor(1.7979), tensor(1.7263)]"
67,"[tensor(1.7478), tensor(1.7262), tensor(1.9258), tensor(1.8659), tensor(1.7207), tensor(1.8580), tensor(1.7571), tensor(1.8253), tensor(1.8863), tensor(1.8926)]"
68,"[tensor(1.8778), tensor(1.8988), tensor(1.7210), tensor(1.8593), tensor(1.8620), tensor(1.8489), tensor(1.8402), tensor(1.8947), tensor(1.8118), tensor(1.7312)]"
69,"[tensor(1.7548), tensor(1.7311), tensor(1.9359), tensor(1.8788), tensor(1.7190), tensor(1.8555), tensor(1.7635), tensor(1.8229), tensor(1.8977), tensor(1.9079)]"
70,"[tensor(1.8777), tensor(1.8955), tensor(1.7146), tensor(1.8584), tensor(1.8717), tensor(1.8726), tensor(1.8355), tensor(1.9085), tensor(1.8087), tensor(1.7368)]"
71,"[tensor(1.7633), tensor(1.7387), tensor(1.9511), tensor(1.8960), tensor(1.7109), tensor(1.8637), tensor(1.7764), tensor(1.8135), tensor(1.9171), tensor(1.9086)]"
72,"[tensor(1.8893), tensor(1.8990), tensor(1.7175), tensor(1.8688), tensor(1.8879), tensor(1.8903), tensor(1.8425), tensor(1.9328), tensor(1.8262), tensor(1.7444)]"
73,"[tensor(1.7763), tensor(1.7631), tensor(1.9684), tensor(1.9187), tensor(1.7272), tensor(1.8687), tensor(1.8041), tensor(1.8592), tensor(1.9429), tensor(1.9179)]"
74,"[tensor(1.9122), tensor(1.9236), tensor(1.7405), tensor(1.8948), tensor(1.9212), tensor(1.9215), tensor(1.8711), tensor(1.9655), tensor(1.8587), tensor(1.7800)]"
75,"[tensor(1.8099), tensor(1.7966), tensor(1.9992), tensor(1.9517), tensor(1.7526), tensor(1.8635), tensor(1.8405), tensor(1.9034), tensor(1.9825), tensor(1.9560)]"
76,"[tensor(1.9324), tensor(1.9584), tensor(1.7671), tensor(1.9160), tensor(1.9547), tensor(1.9828), tensor(1.8977), tensor(1.9945), tensor(1.8770), tensor(1.8096)]"
77,"[tensor(1.8452), tensor(1.8289), tensor(2.0298), tensor(2.0075), tensor(1.7622), tensor(1.8317), tensor(1.8873), tensor(1.8975), tensor(2.0280), tensor(1.9897)]"
78,"[tensor(1.9534), tensor(1.9847), tensor(1.7879), tensor(1.8957), tensor(1.9739), tensor(2.0433), tensor(1.9200), tensor(2.0285), tensor(1.8382), tensor(1.8617)]"
79,"[tensor(1.9095), tensor(1.8903), tensor(2.0514), tensor(2.0480), tensor(1.7860), tensor(1.8167), tensor(1.9385), tensor(1.8678), tensor(2.0593), tensor(2.0019)]"
80,"[tensor(1.9746), tensor(2.0002), tensor(1.8051), tensor(1.8842), tensor(1.9986), tensor(2.0787), tensor(1.9436), tensor(2.0635), tensor(1.8443), tensor(1.9208)]"
81,"[tensor(1.9655), tensor(1.9433), tensor(2.0687), tensor(2.0742), tensor(1.8270), tensor(1.8244), tensor(1.9797), tensor(1.8803), tensor(2.0772), tensor(2.0088)]"
82,"[tensor(2.0027), tensor(2.0050), tensor(1.8312), tensor(1.8898), tensor(2.0257), tensor(2.1028), tensor(1.9693), tensor(2.0866), tensor(1.8763), tensor(1.9727)]"
83,"[tensor(2.0026), tensor(1.9813), tensor(2.0809), tensor(2.0950), tensor(1.8764), tensor(1.8546), tensor(2.0083), tensor(1.9010), tensor(2.0921), tensor(2.0282)]"
84,"[tensor(2.0341), tensor(2.0256), tensor(1.8648), tensor(1.9236), tensor(2.0403), tensor(2.1164), tensor(2.0032), tensor(2.1023), tensor(1.9154), tensor(2.0098)]"
85,"[tensor(2.0359), tensor(2.0215), tensor(2.0950), tensor(2.1077), tensor(1.9250), tensor(1.8920), tensor(2.0338), tensor(1.9476), tensor(2.0990), tensor(2.0510)]"
86,"[tensor(2.0792), tensor(2.0596), tensor(1.9092), tensor(1.9659), tensor(2.0619), tensor(2.1266), tensor(2.0560), tensor(2.1129), tensor(1.9631), tensor(2.0506)]"
87,"[tensor(2.0667), tensor(2.0652), tensor(2.1108), tensor(2.1223), tensor(1.9944), tensor(1.9371), tensor(2.0706), tensor(2.0570), tensor(2.1150), tensor(2.0888)]"
88,"[tensor(2.1260), tensor(2.1070), tensor(1.9634), tensor(2.0354), tensor(2.0986), tensor(2.1423), tensor(2.1139), tensor(2.1279), tensor(2.0587), tensor(2.1105)]"
89,"[tensor(2.1055), tensor(2.1106), tensor(2.1406), tensor(2.1516), tensor(2.0405), tensor(1.9933), tensor(2.1103), tensor(2.1322), tensor(2.1435), tensor(2.1388)]"
90,"[tensor(2.1673), tensor(2.1582), tensor(2.0214), tensor(2.0931), tensor(2.1311), tensor(2.1657), tensor(2.1582), tensor(2.1524), tensor(2.1101), tensor(2.1432)]"
91,"[tensor(2.1309), tensor(2.1305), tensor(2.1707), tensor(2.1741), tensor(2.0746), tensor(2.0513), tensor(2.1409), tensor(2.1697), tensor(2.1683), tensor(2.1805)]"
92,"[tensor(2.1993), tensor(2.1972), tensor(2.0735), tensor(2.1368), tensor(2.1516), tensor(2.1859), tensor(2.1931), tensor(2.1718), tensor(2.1309), tensor(2.1427)]"
93,"[tensor(2.1446), tensor(2.1369), tensor(2.1898), tensor(2.1867), tensor(2.1079), tensor(2.0978), tensor(2.1511), tensor(2.1931), tensor(2.1846), tensor(2.2068)]"
94,"[tensor(2.2237), tensor(2.2204), tensor(2.1057), tensor(2.1704), tensor(2.1666), tensor(2.1954), tensor(2.2151), tensor(2.1826), tensor(2.1561), tensor(2.1366)]"
95,"[tensor(2.1498), tensor(2.1386), tensor(2.1982), tensor(2.1910), tensor(2.1376), tensor(2.1331), tensor(2.1524), tensor(2.2068), tensor(2.1920), tensor(2.2265)]"
96,"[tensor(2.2357), tensor(2.2365), tensor(2.1244), tensor(2.1975), tensor(2.1768), tensor(2.1947), tensor(2.2304), tensor(2.1838), tensor(2.1702), tensor(2.1385)]"
97,"[tensor(2.1644), tensor(2.1503), tensor(2.1989), tensor(2.1881), tensor(2.1572), tensor(2.1502), tensor(2.1638), tensor(2.2304), tensor(2.1917), tensor(2.2378)]"
98,"[tensor(2.2480), tensor(2.2411), tensor(2.1402), tensor(2.2147), tensor(2.1816), tensor(2.2006), tensor(2.2389), tensor(2.1785), tensor(2.1877), tensor(2.1585)]"
99,"[tensor(2.1813), tensor(2.1691), tensor(2.2093), tensor(2.1943), tensor(2.1879), tensor(2.1588), tensor(2.1797), tensor(2.2578), tensor(2.1988), tensor(2.2475)]"
