in_deg_centrality,[5. 2.]
19,"[tensor(2.2966), tensor(2.2949), tensor(2.2889), tensor(2.2897), tensor(2.2978), tensor(2.2902), tensor(2.2942), tensor(2.2852), tensor(2.2928), tensor(2.2860)]"
20,"[tensor(2.2941), tensor(2.2884), tensor(2.2877), tensor(2.2798), tensor(2.2930), tensor(2.2909), tensor(2.2897), tensor(2.2953), tensor(2.2855), tensor(2.2951)]"
21,"[tensor(2.2944), tensor(2.2937), tensor(2.2865), tensor(2.2885), tensor(2.2969), tensor(2.2870), tensor(2.2921), tensor(2.2823), tensor(2.2904), tensor(2.2835)]"
22,"[tensor(2.2921), tensor(2.2847), tensor(2.2840), tensor(2.2750), tensor(2.2901), tensor(2.2884), tensor(2.2872), tensor(2.2935), tensor(2.2826), tensor(2.2940)]"
23,"[tensor(2.2922), tensor(2.2910), tensor(2.2839), tensor(2.2901), tensor(2.2957), tensor(2.2835), tensor(2.2894), tensor(2.2784), tensor(2.2873), tensor(2.2798)]"
24,"[tensor(2.2901), tensor(2.2817), tensor(2.2803), tensor(2.2727), tensor(2.2863), tensor(2.2873), tensor(2.2837), tensor(2.2920), tensor(2.2787), tensor(2.2924)]"
25,"[tensor(2.2895), tensor(2.2891), tensor(2.2836), tensor(2.2903), tensor(2.2939), tensor(2.2802), tensor(2.2854), tensor(2.2740), tensor(2.2862), tensor(2.2756)]"
26,"[tensor(2.2883), tensor(2.2790), tensor(2.2786), tensor(2.2687), tensor(2.2822), tensor(2.2864), tensor(2.2818), tensor(2.2905), tensor(2.2761), tensor(2.2904)]"
27,"[tensor(2.2866), tensor(2.2883), tensor(2.2832), tensor(2.2894), tensor(2.2926), tensor(2.2780), tensor(2.2835), tensor(2.2731), tensor(2.2855), tensor(2.2717)]"
28,"[tensor(2.2865), tensor(2.2746), tensor(2.2770), tensor(2.2661), tensor(2.2784), tensor(2.2859), tensor(2.2819), tensor(2.2885), tensor(2.2757), tensor(2.2889)]"
29,"[tensor(2.2837), tensor(2.2794), tensor(2.2819), tensor(2.2880), tensor(2.2894), tensor(2.2753), tensor(2.2792), tensor(2.2709), tensor(2.2775), tensor(2.2691)]"
30,"[tensor(2.2838), tensor(2.2765), tensor(2.2729), tensor(2.2642), tensor(2.2779), tensor(2.2816), tensor(2.2805), tensor(2.2835), tensor(2.2716), tensor(2.2844)]"
31,"[tensor(2.2788), tensor(2.2739), tensor(2.2765), tensor(2.2836), tensor(2.2854), tensor(2.2713), tensor(2.2739), tensor(2.2662), tensor(2.2729), tensor(2.2671)]"
32,"[tensor(2.2775), tensor(2.2704), tensor(2.2681), tensor(2.2584), tensor(2.2732), tensor(2.2736), tensor(2.2742), tensor(2.2785), tensor(2.2667), tensor(2.2800)]"
33,"[tensor(2.2721), tensor(2.2669), tensor(2.2678), tensor(2.2782), tensor(2.2795), tensor(2.2639), tensor(2.2668), tensor(2.2584), tensor(2.2652), tensor(2.2616)]"
34,"[tensor(2.2676), tensor(2.2621), tensor(2.2595), tensor(2.2509), tensor(2.2642), tensor(2.2646), tensor(2.2633), tensor(2.2703), tensor(2.2587), tensor(2.2659)]"
35,"[tensor(2.2645), tensor(2.2577), tensor(2.2584), tensor(2.2666), tensor(2.2714), tensor(2.2547), tensor(2.2562), tensor(2.2484), tensor(2.2534), tensor(2.2474)]"
36,"[tensor(2.2584), tensor(2.2489), tensor(2.2484), tensor(2.2364), tensor(2.2539), tensor(2.2501), tensor(2.2526), tensor(2.2624), tensor(2.2517), tensor(2.2538)]"
37,"[tensor(2.2565), tensor(2.2468), tensor(2.2474), tensor(2.2553), tensor(2.2637), tensor(2.2550), tensor(2.2439), tensor(2.2377), tensor(2.2392), tensor(2.2366)]"
38,"[tensor(2.2512), tensor(2.2435), tensor(2.2406), tensor(2.2260), tensor(2.2441), tensor(2.2352), tensor(2.2477), tensor(2.2520), tensor(2.2474), tensor(2.2451)]"
39,"[tensor(2.2495), tensor(2.2374), tensor(2.2378), tensor(2.2500), tensor(2.2577), tensor(2.2512), tensor(2.2338), tensor(2.2309), tensor(2.2274), tensor(2.2315)]"
40,"[tensor(2.2457), tensor(2.2403), tensor(2.2398), tensor(2.2201), tensor(2.2362), tensor(2.2242), tensor(2.2443), tensor(2.2416), tensor(2.2435), tensor(2.2356)]"
41,"[tensor(2.2426), tensor(2.2285), tensor(2.2282), tensor(2.2412), tensor(2.2527), tensor(2.2468), tensor(2.2234), tensor(2.2249), tensor(2.2170), tensor(2.2370)]"
42,"[tensor(2.2406), tensor(2.2406), tensor(2.2387), tensor(2.2157), tensor(2.2265), tensor(2.2148), tensor(2.2427), tensor(2.2294), tensor(2.2407), tensor(2.2249)]"
43,"[tensor(2.2362), tensor(2.2191), tensor(2.2203), tensor(2.2327), tensor(2.2481), tensor(2.2433), tensor(2.2172), tensor(2.2209), tensor(2.2085), tensor(2.2397)]"
44,"[tensor(2.2387), tensor(2.2390), tensor(2.2383), tensor(2.2188), tensor(2.2182), tensor(2.2063), tensor(2.2403), tensor(2.2144), tensor(2.2395), tensor(2.2189)]"
45,"[tensor(2.2310), tensor(2.2144), tensor(2.2180), tensor(2.2223), tensor(2.2435), tensor(2.2409), tensor(2.2101), tensor(2.2329), tensor(2.2032), tensor(2.2393)]"
46,"[tensor(2.2404), tensor(2.2393), tensor(2.2383), tensor(2.2276), tensor(2.2160), tensor(2.2042), tensor(2.2408), tensor(2.2022), tensor(2.2401), tensor(2.2145)]"
47,"[tensor(2.2289), tensor(2.2130), tensor(2.2196), tensor(2.2171), tensor(2.2420), tensor(2.2393), tensor(2.2080), tensor(2.2409), tensor(2.2059), tensor(2.2393)]"
48,"[tensor(2.2438), tensor(2.2406), tensor(2.2392), tensor(2.2337), tensor(2.2208), tensor(2.2035), tensor(2.2421), tensor(2.2032), tensor(2.2417), tensor(2.2143)]"
49,"[tensor(2.2240), tensor(2.2130), tensor(2.2214), tensor(2.2172), tensor(2.2442), tensor(2.2404), tensor(2.2084), tensor(2.2480), tensor(2.2113), tensor(2.2427)]"
50,"[tensor(2.2454), tensor(2.2439), tensor(2.2414), tensor(2.2379), tensor(2.2254), tensor(2.2069), tensor(2.2456), tensor(2.2040), tensor(2.2438), tensor(2.2169)]"
51,"[tensor(2.2261), tensor(2.2193), tensor(2.2246), tensor(2.2213), tensor(2.2457), tensor(2.2404), tensor(2.2162), tensor(2.2524), tensor(2.2181), tensor(2.2459)]"
52,"[tensor(2.2472), tensor(2.2479), tensor(2.2442), tensor(2.2409), tensor(2.2287), tensor(2.2092), tensor(2.2492), tensor(2.2110), tensor(2.2458), tensor(2.2238)]"
53,"[tensor(2.2280), tensor(2.2295), tensor(2.2280), tensor(2.2242), tensor(2.2474), tensor(2.2429), tensor(2.2245), tensor(2.2570), tensor(2.2231), tensor(2.2502)]"
54,"[tensor(2.2490), tensor(2.2485), tensor(2.2429), tensor(2.2429), tensor(2.2299), tensor(2.2164), tensor(2.2534), tensor(2.2170), tensor(2.2483), tensor(2.2349)]"
55,"[tensor(2.2272), tensor(2.2311), tensor(2.2326), tensor(2.2296), tensor(2.2452), tensor(2.2435), tensor(2.2247), tensor(2.2550), tensor(2.2271), tensor(2.2494)]"
56,"[tensor(2.2472), tensor(2.2466), tensor(2.2408), tensor(2.2406), tensor(2.2272), tensor(2.2180), tensor(2.2495), tensor(2.2186), tensor(2.2462), tensor(2.2349)]"
57,"[tensor(2.2274), tensor(2.2314), tensor(2.2293), tensor(2.2268), tensor(2.2415), tensor(2.2399), tensor(2.2233), tensor(2.2504), tensor(2.2250), tensor(2.2426)]"
58,"[tensor(2.2417), tensor(2.2349), tensor(2.2382), tensor(2.2311), tensor(2.2229), tensor(2.2176), tensor(2.2431), tensor(2.2160), tensor(2.2393), tensor(2.2318)]"
59,"[tensor(2.2235), tensor(2.2235), tensor(2.2230), tensor(2.2202), tensor(2.2389), tensor(2.2338), tensor(2.2158), tensor(2.2438), tensor(2.2203), tensor(2.2370)]"
60,"[tensor(2.2336), tensor(2.2318), tensor(2.2344), tensor(2.2233), tensor(2.2181), tensor(2.2167), tensor(2.2326), tensor(2.2087), tensor(2.2300), tensor(2.2262)]"
61,"[tensor(2.2190), tensor(2.2200), tensor(2.2136), tensor(2.2190), tensor(2.2335), tensor(2.2237), tensor(2.2080), tensor(2.2368), tensor(2.2185), tensor(2.2283)]"
62,"[tensor(2.2250), tensor(2.2264), tensor(2.2258), tensor(2.2122), tensor(2.2161), tensor(2.2159), tensor(2.2195), tensor(2.2014), tensor(2.2216), tensor(2.2239)]"
63,"[tensor(2.2151), tensor(2.2174), tensor(2.2075), tensor(2.2194), tensor(2.2271), tensor(2.2154), tensor(2.2051), tensor(2.2268), tensor(2.2165), tensor(2.2216)]"
64,"[tensor(2.2177), tensor(2.2211), tensor(2.2121), tensor(2.2079), tensor(2.2151), tensor(2.2137), tensor(2.2080), tensor(2.1965), tensor(2.2154), tensor(2.2227)]"
65,"[tensor(2.2141), tensor(2.2161), tensor(2.2170), tensor(2.2178), tensor(2.2243), tensor(2.2115), tensor(2.2108), tensor(2.2176), tensor(2.2190), tensor(2.2149)]"
66,"[tensor(2.2153), tensor(2.2191), tensor(2.2043), tensor(2.2065), tensor(2.2130), tensor(2.2130), tensor(2.2157), tensor(2.2079), tensor(2.2129), tensor(2.2213)]"
67,"[tensor(2.2107), tensor(2.2143), tensor(2.2178), tensor(2.2185), tensor(2.2227), tensor(2.2142), tensor(2.2150), tensor(2.2075), tensor(2.2195), tensor(2.2143)]"
68,"[tensor(2.2098), tensor(2.2157), tensor(2.2067), tensor(2.2096), tensor(2.2095), tensor(2.2125), tensor(2.2131), tensor(2.2230), tensor(2.2166), tensor(2.2249)]"
69,"[tensor(2.2059), tensor(2.2024), tensor(2.2178), tensor(2.2223), tensor(2.2142), tensor(2.2142), tensor(2.2159), tensor(2.2133), tensor(2.2213), tensor(2.2141)]"
70,"[tensor(2.2015), tensor(2.2156), tensor(2.2056), tensor(2.2059), tensor(2.2072), tensor(2.2149), tensor(2.2001), tensor(2.2283), tensor(2.2049), tensor(2.2146)]"
71,"[tensor(2.2083), tensor(2.1994), tensor(2.2154), tensor(2.2234), tensor(2.2101), tensor(2.2068), tensor(2.2183), tensor(2.2066), tensor(2.2220), tensor(2.2139)]"
72,"[tensor(2.2036), tensor(2.2154), tensor(2.1990), tensor(2.1968), tensor(2.2060), tensor(2.2166), tensor(2.1978), tensor(2.2327), tensor(2.1997), tensor(2.2071)]"
73,"[tensor(2.2064), tensor(2.1994), tensor(2.2049), tensor(2.2224), tensor(2.2085), tensor(2.2006), tensor(2.2191), tensor(2.2043), tensor(2.2212), tensor(2.2146)]"
74,"[tensor(2.2228), tensor(2.2058), tensor(2.1879), tensor(2.1930), tensor(2.1989), tensor(2.2091), tensor(2.2105), tensor(2.2292), tensor(2.1947), tensor(2.2136)]"
75,"[tensor(2.2014), tensor(2.1955), tensor(2.2100), tensor(2.2144), tensor(2.2117), tensor(2.1969), tensor(2.2105), tensor(2.2084), tensor(2.2110), tensor(2.2056)]"
76,"[tensor(2.2376), tensor(2.1959), tensor(2.1904), tensor(2.1929), tensor(2.1952), tensor(2.1991), tensor(2.2247), tensor(2.2160), tensor(2.1998), tensor(2.2233)]"
77,"[tensor(2.1991), tensor(2.1882), tensor(2.2202), tensor(2.2028), tensor(2.1991), tensor(2.1790), tensor(2.2075), tensor(2.2100), tensor(2.1983), tensor(2.1973)]"
78,"[tensor(2.2309), tensor(2.1916), tensor(2.2120), tensor(2.1782), tensor(2.1945), tensor(2.1886), tensor(2.2135), tensor(2.2106), tensor(2.1849), tensor(2.2209)]"
79,"[tensor(2.1959), tensor(2.1686), tensor(2.2234), tensor(2.1919), tensor(2.1765), tensor(2.1655), tensor(2.2038), tensor(2.1750), tensor(2.1867), tensor(2.1952)]"
80,"[tensor(2.2004), tensor(2.1830), tensor(2.2149), tensor(2.1779), tensor(2.2000), tensor(2.1695), tensor(2.1734), tensor(2.1986), tensor(2.1632), tensor(2.1762)]"
81,"[tensor(2.1920), tensor(2.1575), tensor(2.1992), tensor(2.1849), tensor(2.1904), tensor(2.1697), tensor(2.1978), tensor(2.1640), tensor(2.1624), tensor(2.1799)]"
82,"[tensor(2.2013), tensor(2.1674), tensor(2.2103), tensor(2.2146), tensor(2.1905), tensor(2.1647), tensor(2.1641), tensor(2.1746), tensor(2.1987), tensor(2.1637)]"
83,"[tensor(2.1849), tensor(2.1447), tensor(2.1851), tensor(2.1759), tensor(2.1767), tensor(2.1553), tensor(2.1886), tensor(2.1557), tensor(2.1727), tensor(2.1762)]"
84,"[tensor(2.1893), tensor(2.1641), tensor(2.2012), tensor(2.2098), tensor(2.1809), tensor(2.1562), tensor(2.1555), tensor(2.1581), tensor(2.1970), tensor(2.1565)]"
85,"[tensor(2.1683), tensor(2.1898), tensor(2.1793), tensor(2.1707), tensor(2.1654), tensor(2.1408), tensor(2.1696), tensor(2.1402), tensor(2.1788), tensor(2.1601)]"
86,"[tensor(2.1876), tensor(2.1850), tensor(2.1777), tensor(2.1887), tensor(2.1843), tensor(2.1440), tensor(2.1532), tensor(2.1599), tensor(2.1935), tensor(2.1489)]"
87,"[tensor(2.1532), tensor(2.1825), tensor(2.1735), tensor(2.1637), tensor(2.1588), tensor(2.1222), tensor(2.1508), tensor(2.1409), tensor(2.1800), tensor(2.1491)]"
88,"[tensor(2.1994), tensor(2.1978), tensor(2.1366), tensor(2.1683), tensor(2.1950), tensor(2.1327), tensor(2.1677), tensor(2.1616), tensor(2.1745), tensor(2.1522)]"
89,"[tensor(2.1389), tensor(2.1547), tensor(2.1649), tensor(2.1680), tensor(2.1440), tensor(2.1407), tensor(2.1389), tensor(2.2027), tensor(2.1927), tensor(2.1450)]"
90,"[tensor(2.2467), tensor(2.2494), tensor(2.1386), tensor(2.1484), tensor(2.2455), tensor(2.1366), tensor(2.2069), tensor(2.1501), tensor(2.1468), tensor(2.1998)]"
91,"[tensor(2.1368), tensor(2.1417), tensor(2.1568), tensor(2.2073), tensor(2.1386), tensor(2.1182), tensor(2.1356), tensor(2.2520), tensor(2.2535), tensor(2.1439)]"
92,"[tensor(2.1933), tensor(2.2098), tensor(2.1482), tensor(2.1433), tensor(2.2522), tensor(2.1557), tensor(2.1481), tensor(2.1492), tensor(2.1418), tensor(2.2429)]"
93,"[tensor(2.1335), tensor(2.1430), tensor(2.1634), tensor(2.2054), tensor(2.1365), tensor(2.1262), tensor(2.1283), tensor(2.1336), tensor(2.2198), tensor(2.1391)]"
94,"[tensor(2.1574), tensor(2.1777), tensor(2.1544), tensor(2.1533), tensor(2.2034), tensor(2.1404), tensor(2.1135), tensor(2.1445), tensor(2.1524), tensor(2.1474)]"
95,"[tensor(2.1320), tensor(2.1492), tensor(2.1623), tensor(2.1648), tensor(2.1357), tensor(2.1314), tensor(2.1254), tensor(2.1184), tensor(2.1928), tensor(2.1359)]"
96,"[tensor(2.1396), tensor(2.1644), tensor(2.1620), tensor(2.1660), tensor(2.1719), tensor(2.1289), tensor(2.1058), tensor(2.1360), tensor(2.1664), tensor(2.1247)]"
97,"[tensor(2.1292), tensor(2.1535), tensor(2.1433), tensor(2.1429), tensor(2.1355), tensor(2.1273), tensor(2.1152), tensor(2.1159), tensor(2.1618), tensor(2.1364)]"
98,"[tensor(2.1323), tensor(2.1470), tensor(2.1496), tensor(2.1725), tensor(2.1508), tensor(2.1142), tensor(2.0933), tensor(2.1178), tensor(2.1746), tensor(2.1164)]"
99,"[tensor(2.1211), tensor(2.1510), tensor(2.1338), tensor(2.1319), tensor(2.1239), tensor(2.0914), tensor(2.0904), tensor(2.1120), tensor(2.1534), tensor(2.1263)]"
