betweeness_centrality,[9.]
26,"[tensor(2.2420), tensor(2.2704), tensor(2.2635), tensor(2.2541), tensor(2.2313), tensor(2.2586), tensor(2.2448), tensor(2.2580), tensor(2.2370), tensor(2.2382)]"
27,"[tensor(2.2577), tensor(2.2562), tensor(2.2418), tensor(2.2353), tensor(2.2523), tensor(2.2326), tensor(2.2613), tensor(2.2439), tensor(2.2438), tensor(2.2408)]"
28,"[tensor(2.2289), tensor(2.2601), tensor(2.2429), tensor(2.2236), tensor(2.2206), tensor(2.2373), tensor(2.2279), tensor(2.2321), tensor(2.2396), tensor(2.2384)]"
29,"[tensor(2.2364), tensor(2.2423), tensor(2.2272), tensor(2.2303), tensor(2.2246), tensor(2.2219), tensor(2.2407), tensor(2.2261), tensor(2.2248), tensor(2.2283)]"
30,"[tensor(2.2112), tensor(2.2374), tensor(2.2272), tensor(2.2073), tensor(2.2029), tensor(2.2211), tensor(2.2090), tensor(2.2159), tensor(2.2148), tensor(2.2193)]"
31,"[tensor(2.2152), tensor(2.2227), tensor(2.2100), tensor(2.2124), tensor(2.1990), tensor(2.2022), tensor(2.2211), tensor(2.2100), tensor(2.2057), tensor(2.2084)]"
32,"[tensor(2.1874), tensor(2.2178), tensor(2.2100), tensor(2.1871), tensor(2.1800), tensor(2.2035), tensor(2.1855), tensor(2.1946), tensor(2.1930), tensor(2.2094)]"
33,"[tensor(2.2056), tensor(2.2045), tensor(2.2012), tensor(2.2040), tensor(2.1911), tensor(2.1854), tensor(2.2139), tensor(2.2074), tensor(2.1836), tensor(2.1797)]"
34,"[tensor(2.1735), tensor(2.2032), tensor(2.1952), tensor(2.1683), tensor(2.1643), tensor(2.1779), tensor(2.1727), tensor(2.1786), tensor(2.1833), tensor(2.1985)]"
35,"[tensor(2.1956), tensor(2.2018), tensor(2.2031), tensor(2.1990), tensor(2.1896), tensor(2.1869), tensor(2.2046), tensor(2.2045), tensor(2.1666), tensor(2.1602)]"
36,"[tensor(2.1703), tensor(2.1908), tensor(2.1807), tensor(2.1568), tensor(2.1568), tensor(2.1524), tensor(2.1686), tensor(2.1696), tensor(2.2037), tensor(2.1974)]"
37,"[tensor(2.1893), tensor(2.2073), tensor(2.2015), tensor(2.2007), tensor(2.1895), tensor(2.1934), tensor(2.1999), tensor(2.1981), tensor(2.1604), tensor(2.1532)]"
38,"[tensor(2.1724), tensor(2.1792), tensor(2.1715), tensor(2.1520), tensor(2.1518), tensor(2.1475), tensor(2.1685), tensor(2.1657), tensor(2.2118), tensor(2.1988)]"
39,"[tensor(2.1860), tensor(2.2072), tensor(2.2007), tensor(2.2029), tensor(2.1895), tensor(2.1946), tensor(2.1944), tensor(2.1960), tensor(2.1590), tensor(2.1462)]"
40,"[tensor(2.1719), tensor(2.1816), tensor(2.1652), tensor(2.1517), tensor(2.1482), tensor(2.1458), tensor(2.1685), tensor(2.1630), tensor(2.2115), tensor(2.1992)]"
41,"[tensor(2.1871), tensor(2.2060), tensor(2.1993), tensor(2.2048), tensor(2.1885), tensor(2.1934), tensor(2.1916), tensor(2.1944), tensor(2.1575), tensor(2.1400)]"
42,"[tensor(2.1731), tensor(2.1785), tensor(2.1645), tensor(2.1527), tensor(2.1487), tensor(2.1472), tensor(2.1668), tensor(2.1619), tensor(2.2109), tensor(2.1991)]"
43,"[tensor(2.1847), tensor(2.2006), tensor(2.1965), tensor(2.2050), tensor(2.1861), tensor(2.1909), tensor(2.1878), tensor(2.1891), tensor(2.1573), tensor(2.1352)]"
44,"[tensor(2.1672), tensor(2.1620), tensor(2.1616), tensor(2.1578), tensor(2.1458), tensor(2.1482), tensor(2.1602), tensor(2.1575), tensor(2.2078), tensor(2.1958)]"
45,"[tensor(2.1775), tensor(2.1877), tensor(2.1909), tensor(2.2009), tensor(2.1821), tensor(2.1870), tensor(2.1832), tensor(2.1866), tensor(2.1497), tensor(2.1319)]"
46,"[tensor(2.1678), tensor(2.1497), tensor(2.1574), tensor(2.1551), tensor(2.1400), tensor(2.1411), tensor(2.1510), tensor(2.1520), tensor(2.2027), tensor(2.1908)]"
47,"[tensor(2.1644), tensor(2.1830), tensor(2.1845), tensor(2.1965), tensor(2.1751), tensor(2.1804), tensor(2.1774), tensor(2.1801), tensor(2.1400), tensor(2.1325)]"
48,"[tensor(2.1690), tensor(2.1431), tensor(2.1510), tensor(2.1477), tensor(2.1333), tensor(2.1321), tensor(2.1451), tensor(2.1485), tensor(2.1978), tensor(2.1875)]"
49,"[tensor(2.1589), tensor(2.1808), tensor(2.1815), tensor(2.1920), tensor(2.1693), tensor(2.1757), tensor(2.1739), tensor(2.1718), tensor(2.1297), tensor(2.1294)]"
50,"[tensor(2.1718), tensor(2.1388), tensor(2.1436), tensor(2.1374), tensor(2.1289), tensor(2.1235), tensor(2.1451), tensor(2.1483), tensor(2.1952), tensor(2.1856)]"
51,"[tensor(2.1563), tensor(2.1823), tensor(2.1842), tensor(2.1919), tensor(2.1657), tensor(2.1768), tensor(2.1745), tensor(2.1675), tensor(2.1220), tensor(2.1259)]"
52,"[tensor(2.1690), tensor(2.1355), tensor(2.1402), tensor(2.1334), tensor(2.1210), tensor(2.1215), tensor(2.1330), tensor(2.1406), tensor(2.1972), tensor(2.1922)]"
53,"[tensor(2.1479), tensor(2.1752), tensor(2.1830), tensor(2.1906), tensor(2.1571), tensor(2.1759), tensor(2.1684), tensor(2.1568), tensor(2.1373), tensor(2.1171)]"
54,"[tensor(2.1559), tensor(2.1349), tensor(2.1303), tensor(2.1333), tensor(2.1216), tensor(2.1190), tensor(2.1190), tensor(2.1275), tensor(2.1934), tensor(2.1918)]"
55,"[tensor(2.1442), tensor(2.1675), tensor(2.1767), tensor(2.1860), tensor(2.1511), tensor(2.1715), tensor(2.1637), tensor(2.1517), tensor(2.1337), tensor(2.1127)]"
56,"[tensor(2.1509), tensor(2.1358), tensor(2.1248), tensor(2.1342), tensor(2.1207), tensor(2.1149), tensor(2.1094), tensor(2.1257), tensor(2.1891), tensor(2.1860)]"
57,"[tensor(2.1415), tensor(2.1632), tensor(2.1706), tensor(2.1822), tensor(2.1431), tensor(2.1662), tensor(2.1572), tensor(2.1423), tensor(2.1342), tensor(2.1116)]"
58,"[tensor(2.1455), tensor(2.1368), tensor(2.1196), tensor(2.1317), tensor(2.1194), tensor(2.1096), tensor(2.1023), tensor(2.1220), tensor(2.1842), tensor(2.1817)]"
59,"[tensor(2.1346), tensor(2.1583), tensor(2.1652), tensor(2.1778), tensor(2.1370), tensor(2.1619), tensor(2.1531), tensor(2.1334), tensor(2.1317), tensor(2.1066)]"
60,"[tensor(2.1403), tensor(2.1334), tensor(2.1151), tensor(2.1280), tensor(2.1151), tensor(2.1049), tensor(2.0960), tensor(2.1200), tensor(2.1748), tensor(2.1768)]"
61,"[tensor(2.1265), tensor(2.1532), tensor(2.1603), tensor(2.1721), tensor(2.1305), tensor(2.1568), tensor(2.1484), tensor(2.1264), tensor(2.1265), tensor(2.1008)]"
62,"[tensor(2.1349), tensor(2.1289), tensor(2.1091), tensor(2.1225), tensor(2.1112), tensor(2.1013), tensor(2.0901), tensor(2.1211), tensor(2.1660), tensor(2.1728)]"
63,"[tensor(2.1208), tensor(2.1460), tensor(2.1563), tensor(2.1657), tensor(2.1215), tensor(2.1498), tensor(2.1433), tensor(2.1088), tensor(2.1213), tensor(2.0939)]"
64,"[tensor(2.1289), tensor(2.1259), tensor(2.1003), tensor(2.1164), tensor(2.1043), tensor(2.0974), tensor(2.0833), tensor(2.1192), tensor(2.1558), tensor(2.1682)]"
65,"[tensor(2.1186), tensor(2.1416), tensor(2.1534), tensor(2.1582), tensor(2.1160), tensor(2.1446), tensor(2.1373), tensor(2.1010), tensor(2.1170), tensor(2.0917)]"
66,"[tensor(2.1223), tensor(2.1247), tensor(2.0958), tensor(2.1099), tensor(2.0974), tensor(2.0956), tensor(2.0842), tensor(2.1213), tensor(2.1525), tensor(2.1626)]"
67,"[tensor(2.1162), tensor(2.1373), tensor(2.1517), tensor(2.1564), tensor(2.1127), tensor(2.1417), tensor(2.1292), tensor(2.0919), tensor(2.1157), tensor(2.0880)]"
68,"[tensor(2.1186), tensor(2.1257), tensor(2.0923), tensor(2.1086), tensor(2.0913), tensor(2.0948), tensor(2.0893), tensor(2.1208), tensor(2.1494), tensor(2.1592)]"
69,"[tensor(2.1148), tensor(2.1382), tensor(2.1504), tensor(2.1552), tensor(2.1153), tensor(2.1408), tensor(2.1239), tensor(2.0940), tensor(2.1150), tensor(2.0878)]"
70,"[tensor(2.1192), tensor(2.1255), tensor(2.0886), tensor(2.1057), tensor(2.0915), tensor(2.0934), tensor(2.0923), tensor(2.1192), tensor(2.1545), tensor(2.1597)]"
71,"[tensor(2.1100), tensor(2.1404), tensor(2.1509), tensor(2.1561), tensor(2.1176), tensor(2.1422), tensor(2.1232), tensor(2.0928), tensor(2.1160), tensor(2.0861)]"
72,"[tensor(2.1188), tensor(2.1206), tensor(2.0839), tensor(2.1026), tensor(2.0870), tensor(2.0907), tensor(2.0879), tensor(2.1183), tensor(2.1583), tensor(2.1598)]"
73,"[tensor(2.1081), tensor(2.1385), tensor(2.1491), tensor(2.1568), tensor(2.1177), tensor(2.1427), tensor(2.1211), tensor(2.0955), tensor(2.1104), tensor(2.0818)]"
74,"[tensor(2.1203), tensor(2.1189), tensor(2.0798), tensor(2.0983), tensor(2.0864), tensor(2.0850), tensor(2.0856), tensor(2.1173), tensor(2.1601), tensor(2.1600)]"
75,"[tensor(2.1116), tensor(2.1397), tensor(2.1501), tensor(2.1578), tensor(2.1178), tensor(2.1429), tensor(2.1231), tensor(2.0946), tensor(2.1118), tensor(2.0780)]"
76,"[tensor(2.1182), tensor(2.1186), tensor(2.0768), tensor(2.0956), tensor(2.0889), tensor(2.0830), tensor(2.0814), tensor(2.1157), tensor(2.1612), tensor(2.1629)]"
77,"[tensor(2.1151), tensor(2.1399), tensor(2.1517), tensor(2.1608), tensor(2.1184), tensor(2.1442), tensor(2.1247), tensor(2.0940), tensor(2.1103), tensor(2.0769)]"
78,"[tensor(2.1168), tensor(2.1213), tensor(2.0758), tensor(2.0940), tensor(2.0866), tensor(2.0821), tensor(2.0824), tensor(2.1172), tensor(2.1616), tensor(2.1642)]"
79,"[tensor(2.1160), tensor(2.1358), tensor(2.1526), tensor(2.1622), tensor(2.1193), tensor(2.1447), tensor(2.1243), tensor(2.0946), tensor(2.1111), tensor(2.0741)]"
80,"[tensor(2.1129), tensor(2.1192), tensor(2.0753), tensor(2.0926), tensor(2.0851), tensor(2.0828), tensor(2.0833), tensor(2.1185), tensor(2.1589), tensor(2.1646)]"
81,"[tensor(2.1162), tensor(2.1343), tensor(2.1540), tensor(2.1620), tensor(2.1195), tensor(2.1459), tensor(2.1247), tensor(2.0943), tensor(2.1073), tensor(2.0723)]"
82,"[tensor(2.1151), tensor(2.1198), tensor(2.0744), tensor(2.0919), tensor(2.0867), tensor(2.0810), tensor(2.0857), tensor(2.1182), tensor(2.1575), tensor(2.1639)]"
83,"[tensor(2.1161), tensor(2.1346), tensor(2.1544), tensor(2.1618), tensor(2.1181), tensor(2.1462), tensor(2.1255), tensor(2.0897), tensor(2.1088), tensor(2.0705)]"
84,"[tensor(2.1128), tensor(2.1180), tensor(2.0720), tensor(2.0925), tensor(2.0866), tensor(2.0823), tensor(2.0822), tensor(2.1169), tensor(2.1571), tensor(2.1662)]"
85,"[tensor(2.1142), tensor(2.1344), tensor(2.1545), tensor(2.1640), tensor(2.1235), tensor(2.1472), tensor(2.1260), tensor(2.0945), tensor(2.1083), tensor(2.0708)]"
86,"[tensor(2.1152), tensor(2.1193), tensor(2.0704), tensor(2.0925), tensor(2.0895), tensor(2.0819), tensor(2.0853), tensor(2.1186), tensor(2.1629), tensor(2.1668)]"
87,"[tensor(2.1152), tensor(2.1411), tensor(2.1565), tensor(2.1670), tensor(2.1262), tensor(2.1500), tensor(2.1312), tensor(2.0981), tensor(2.1095), tensor(2.0690)]"
88,"[tensor(2.1238), tensor(2.1199), tensor(2.0707), tensor(2.0928), tensor(2.0963), tensor(2.0833), tensor(2.0900), tensor(2.1204), tensor(2.1690), tensor(2.1709)]"
89,"[tensor(2.1206), tensor(2.1480), tensor(2.1603), tensor(2.1708), tensor(2.1297), tensor(2.1536), tensor(2.1366), tensor(2.1007), tensor(2.1134), tensor(2.0691)]"
90,"[tensor(2.1256), tensor(2.1218), tensor(2.0734), tensor(2.0944), tensor(2.0986), tensor(2.0879), tensor(2.0935), tensor(2.1207), tensor(2.1743), tensor(2.1760)]"
91,"[tensor(2.1232), tensor(2.1505), tensor(2.1636), tensor(2.1738), tensor(2.1295), tensor(2.1574), tensor(2.1382), tensor(2.1028), tensor(2.1155), tensor(2.0711)]"
92,"[tensor(2.1221), tensor(2.1232), tensor(2.0752), tensor(2.0989), tensor(2.0995), tensor(2.0927), tensor(2.0962), tensor(2.1220), tensor(2.1726), tensor(2.1790)]"
93,"[tensor(2.1245), tensor(2.1453), tensor(2.1660), tensor(2.1749), tensor(2.1324), tensor(2.1595), tensor(2.1378), tensor(2.1064), tensor(2.1148), tensor(2.0720)]"
94,"[tensor(2.1209), tensor(2.1235), tensor(2.0776), tensor(2.0985), tensor(2.0984), tensor(2.0949), tensor(2.0986), tensor(2.1234), tensor(2.1709), tensor(2.1783)]"
95,"[tensor(2.1221), tensor(2.1464), tensor(2.1650), tensor(2.1709), tensor(2.1251), tensor(2.1576), tensor(2.1328), tensor(2.1041), tensor(2.1151), tensor(2.0714)]"
96,"[tensor(2.1132), tensor(2.1195), tensor(2.0792), tensor(2.1009), tensor(2.0941), tensor(2.0963), tensor(2.0963), tensor(2.1231), tensor(2.1610), tensor(2.1767)]"
97,"[tensor(2.1178), tensor(2.1339), tensor(2.1630), tensor(2.1669), tensor(2.1244), tensor(2.1534), tensor(2.1292), tensor(2.1015), tensor(2.1108), tensor(2.0725)]"
98,"[tensor(2.1107), tensor(2.1143), tensor(2.0797), tensor(2.1030), tensor(2.0932), tensor(2.0937), tensor(2.0919), tensor(2.1172), tensor(2.1553), tensor(2.1697)]"
99,"[tensor(2.1134), tensor(2.1385), tensor(2.1587), tensor(2.1610), tensor(2.1204), tensor(2.1471), tensor(2.1287), tensor(2.1005), tensor(2.1083), tensor(2.0771)]"
