closeness_centrality,[5. 2.]
44,"[0.181, 0.292, 0.201, 0.13, 0.222, 0.323, 0.308, 0.327, 0.26, 0.096]"
45,"[0.244, 0.112, 0.373, 0.381, 0.231, 0.187, 0.198, 0.155, 0.353, 0.309]"
46,"[0.315, 0.298, 0.228, 0.223, 0.31, 0.379, 0.336, 0.363, 0.261, 0.184]"
47,"[0.297, 0.181, 0.369, 0.374, 0.235, 0.206, 0.21, 0.259, 0.361, 0.323]"
48,"[0.313, 0.313, 0.229, 0.264, 0.337, 0.394, 0.307, 0.417, 0.241, 0.188]"
49,"[0.267, 0.223, 0.362, 0.36, 0.23, 0.21, 0.247, 0.244, 0.362, 0.272]"
50,"[0.269, 0.259, 0.235, 0.27, 0.242, 0.372, 0.261, 0.399, 0.225, 0.194]"
51,"[0.268, 0.236, 0.292, 0.36, 0.229, 0.184, 0.286, 0.217, 0.311, 0.198]"
52,"[0.223, 0.157, 0.235, 0.238, 0.188, 0.388, 0.215, 0.417, 0.198, 0.201]"
53,"[0.282, 0.237, 0.311, 0.381, 0.232, 0.17, 0.308, 0.213, 0.285, 0.173]"
54,"[0.179, 0.16, 0.233, 0.211, 0.167, 0.399, 0.184, 0.484, 0.169, 0.214]"
55,"[0.313, 0.243, 0.306, 0.367, 0.216, 0.161, 0.362, 0.238, 0.235, 0.176]"
56,"[0.193, 0.174, 0.239, 0.203, 0.238, 0.401, 0.22, 0.481, 0.172, 0.219]"
57,"[0.279, 0.222, 0.33, 0.35, 0.214, 0.19, 0.335, 0.244, 0.281, 0.193]"
58,"[0.233, 0.221, 0.223, 0.226, 0.366, 0.334, 0.266, 0.414, 0.212, 0.231]"
59,"[0.234, 0.214, 0.346, 0.355, 0.21, 0.199, 0.27, 0.226, 0.303, 0.214]"
60,"[0.292, 0.2, 0.243, 0.238, 0.371, 0.302, 0.278, 0.322, 0.22, 0.222]"
61,"[0.221, 0.2, 0.354, 0.366, 0.21, 0.212, 0.267, 0.215, 0.305, 0.274]"
62,"[0.289, 0.228, 0.254, 0.242, 0.342, 0.282, 0.296, 0.289, 0.218, 0.219]"
63,"[0.228, 0.194, 0.356, 0.336, 0.216, 0.219, 0.313, 0.208, 0.286, 0.265]"
64,"[0.261, 0.211, 0.266, 0.245, 0.281, 0.273, 0.254, 0.302, 0.226, 0.215]"
65,"[0.232, 0.199, 0.28, 0.302, 0.213, 0.217, 0.307, 0.237, 0.243, 0.22]"
66,"[0.247, 0.184, 0.261, 0.248, 0.243, 0.259, 0.228, 0.354, 0.225, 0.221]"
67,"[0.307, 0.215, 0.262, 0.264, 0.221, 0.215, 0.211, 0.247, 0.196, 0.203]"
68,"[0.235, 0.181, 0.253, 0.244, 0.239, 0.234, 0.231, 0.257, 0.211, 0.226]"
69,"[0.273, 0.257, 0.24, 0.211, 0.249, 0.218, 0.207, 0.23, 0.191, 0.218]"
70,"[0.314, 0.176, 0.253, 0.255, 0.219, 0.231, 0.262, 0.2, 0.242, 0.248]"
71,"[0.214, 0.272, 0.212, 0.203, 0.264, 0.234, 0.182, 0.236, 0.195, 0.207]"
72,"[0.305, 0.18, 0.304, 0.258, 0.223, 0.208, 0.263, 0.184, 0.263, 0.259]"
73,"[0.193, 0.276, 0.256, 0.19, 0.261, 0.249, 0.172, 0.242, 0.194, 0.219]"
74,"[0.239, 0.174, 0.338, 0.274, 0.197, 0.17, 0.242, 0.174, 0.27, 0.249]"
75,"[0.181, 0.275, 0.254, 0.149, 0.247, 0.247, 0.157, 0.235, 0.168, 0.209]"
76,"[0.22, 0.176, 0.329, 0.267, 0.162, 0.152, 0.229, 0.132, 0.25, 0.246]"
77,"[0.203, 0.277, 0.251, 0.2, 0.298, 0.277, 0.157, 0.228, 0.15, 0.179]"
78,"[0.226, 0.169, 0.184, 0.327, 0.184, 0.228, 0.239, 0.123, 0.288, 0.24]"
79,"[0.21, 0.44, 0.235, 0.247, 0.371, 0.385, 0.169, 0.37, 0.167, 0.177]"
80,"[0.264, 0.201, 0.194, 0.374, 0.294, 0.345, 0.335, 0.16, 0.41, 0.371]"
81,"[0.216, 0.448, 0.254, 0.262, 0.231, 0.32, 0.217, 0.405, 0.335, 0.222]"
82,"[0.24, 0.279, 0.217, 0.222, 0.323, 0.33, 0.37, 0.269, 0.265, 0.394]"
83,"[0.251, 0.451, 0.284, 0.277, 0.255, 0.383, 0.256, 0.415, 0.294, 0.269]"
84,"[0.272, 0.31, 0.244, 0.234, 0.367, 0.384, 0.388, 0.368, 0.264, 0.405]"
85,"[0.276, 0.263, 0.3, 0.277, 0.281, 0.415, 0.279, 0.431, 0.262, 0.304]"
86,"[0.272, 0.246, 0.261, 0.244, 0.319, 0.421, 0.358, 0.338, 0.265, 0.413]"
87,"[0.27, 0.255, 0.33, 0.286, 0.299, 0.421, 0.322, 0.423, 0.245, 0.345]"
88,"[0.241, 0.218, 0.414, 0.275, 0.265, 0.42, 0.281, 0.271, 0.267, 0.418]"
89,"[0.32, 0.267, 0.357, 0.268, 0.294, 0.415, 0.359, 0.214, 0.222, 0.318]"
90,"[0.185, 0.145, 0.393, 0.305, 0.173, 0.413, 0.216, 0.289, 0.263, 0.265]"
91,"[0.328, 0.245, 0.413, 0.224, 0.315, 0.385, 0.371, 0.153, 0.146, 0.351]"
92,"[0.244, 0.188, 0.261, 0.287, 0.163, 0.385, 0.338, 0.28, 0.244, 0.232]"
93,"[0.242, 0.237, 0.363, 0.222, 0.269, 0.324, 0.314, 0.422, 0.176, 0.326]"
94,"[0.394, 0.235, 0.263, 0.24, 0.237, 0.417, 0.454, 0.286, 0.26, 0.415]"
95,"[0.255, 0.263, 0.378, 0.274, 0.274, 0.313, 0.286, 0.437, 0.223, 0.32]"
96,"[0.418, 0.257, 0.308, 0.263, 0.374, 0.436, 0.439, 0.329, 0.297, 0.409]"
97,"[0.268, 0.283, 0.425, 0.366, 0.301, 0.351, 0.34, 0.404, 0.281, 0.365]"
98,"[0.422, 0.34, 0.333, 0.285, 0.424, 0.443, 0.442, 0.4, 0.277, 0.405]"
99,"[0.287, 0.307, 0.427, 0.393, 0.308, 0.394, 0.445, 0.414, 0.313, 0.378]"
