closeness_centrality,[5.]
44,"[0.164, 0.215, 0.106, 0.125, 0.181, 0.219, 0.27, 0.261, 0.239, 0.167]"
45,"[0.228, 0.326, 0.283, 0.285, 0.231, 0.141, 0.189, 0.185, 0.155, 0.236]"
46,"[0.202, 0.194, 0.166, 0.143, 0.122, 0.243, 0.242, 0.265, 0.251, 0.27]"
47,"[0.173, 0.243, 0.238, 0.256, 0.281, 0.195, 0.123, 0.181, 0.229, 0.264]"
48,"[0.246, 0.281, 0.265, 0.243, 0.128, 0.203, 0.226, 0.193, 0.268, 0.181]"
49,"[0.149, 0.218, 0.223, 0.224, 0.23, 0.222, 0.132, 0.246, 0.2, 0.231]"
50,"[0.19, 0.265, 0.264, 0.262, 0.16, 0.186, 0.186, 0.155, 0.225, 0.17]"
51,"[0.155, 0.215, 0.233, 0.202, 0.188, 0.222, 0.144, 0.164, 0.202, 0.199]"
52,"[0.175, 0.232, 0.245, 0.233, 0.21, 0.18, 0.169, 0.143, 0.186, 0.18]"
53,"[0.17, 0.217, 0.307, 0.196, 0.176, 0.198, 0.166, 0.123, 0.233, 0.165]"
54,"[0.167, 0.219, 0.235, 0.206, 0.264, 0.176, 0.149, 0.145, 0.183, 0.201]"
55,"[0.178, 0.206, 0.344, 0.195, 0.175, 0.176, 0.172, 0.128, 0.256, 0.136]"
56,"[0.211, 0.127, 0.234, 0.167, 0.288, 0.169, 0.098, 0.145, 0.185, 0.259]"
57,"[0.189, 0.2, 0.396, 0.169, 0.182, 0.16, 0.169, 0.116, 0.251, 0.17]"
58,"[0.237, 0.114, 0.244, 0.151, 0.285, 0.144, 0.096, 0.131, 0.188, 0.206]"
59,"[0.183, 0.169, 0.452, 0.138, 0.108, 0.108, 0.166, 0.095, 0.169, 0.098]"
60,"[0.118, 0.111, 0.251, 0.081, 0.273, 0.116, 0.096, 0.115, 0.115, 0.182]"
61,"[0.182, 0.162, 0.459, 0.141, 0.116, 0.108, 0.156, 0.094, 0.199, 0.097]"
62,"[0.124, 0.116, 0.268, 0.082, 0.222, 0.119, 0.1, 0.13, 0.113, 0.182]"
63,"[0.185, 0.183, 0.459, 0.189, 0.151, 0.107, 0.178, 0.094, 0.224, 0.103]"
64,"[0.159, 0.143, 0.316, 0.103, 0.269, 0.17, 0.138, 0.163, 0.138, 0.197]"
65,"[0.178, 0.188, 0.443, 0.203, 0.216, 0.141, 0.186, 0.111, 0.262, 0.156]"
66,"[0.203, 0.171, 0.361, 0.137, 0.287, 0.188, 0.18, 0.175, 0.177, 0.218]"
67,"[0.191, 0.194, 0.436, 0.199, 0.283, 0.189, 0.193, 0.144, 0.279, 0.223]"
68,"[0.23, 0.21, 0.385, 0.167, 0.361, 0.197, 0.217, 0.151, 0.218, 0.223]"
69,"[0.232, 0.219, 0.433, 0.186, 0.285, 0.213, 0.194, 0.164, 0.296, 0.237]"
70,"[0.243, 0.223, 0.271, 0.182, 0.319, 0.171, 0.222, 0.116, 0.228, 0.228]"
71,"[0.26, 0.262, 0.367, 0.158, 0.266, 0.218, 0.185, 0.167, 0.283, 0.241]"
72,"[0.246, 0.226, 0.207, 0.178, 0.298, 0.212, 0.227, 0.113, 0.226, 0.272]"
73,"[0.279, 0.296, 0.334, 0.177, 0.259, 0.217, 0.23, 0.166, 0.286, 0.243]"
74,"[0.241, 0.222, 0.186, 0.177, 0.292, 0.231, 0.226, 0.137, 0.214, 0.307]"
75,"[0.292, 0.323, 0.319, 0.208, 0.246, 0.213, 0.269, 0.157, 0.298, 0.236]"
76,"[0.238, 0.219, 0.183, 0.177, 0.296, 0.25, 0.218, 0.176, 0.213, 0.329]"
77,"[0.305, 0.337, 0.323, 0.231, 0.251, 0.211, 0.286, 0.151, 0.305, 0.233]"
78,"[0.236, 0.216, 0.187, 0.176, 0.303, 0.262, 0.219, 0.193, 0.211, 0.342]"
79,"[0.312, 0.338, 0.328, 0.24, 0.243, 0.209, 0.299, 0.152, 0.301, 0.234]"
80,"[0.237, 0.22, 0.186, 0.175, 0.314, 0.262, 0.216, 0.191, 0.213, 0.346]"
81,"[0.318, 0.348, 0.332, 0.241, 0.244, 0.209, 0.313, 0.159, 0.311, 0.241]"
82,"[0.239, 0.22, 0.186, 0.175, 0.327, 0.266, 0.221, 0.197, 0.212, 0.354]"
83,"[0.342, 0.37, 0.348, 0.269, 0.252, 0.206, 0.333, 0.166, 0.321, 0.248]"
84,"[0.233, 0.223, 0.193, 0.174, 0.351, 0.294, 0.222, 0.209, 0.215, 0.371]"
85,"[0.353, 0.38, 0.359, 0.294, 0.257, 0.21, 0.355, 0.167, 0.336, 0.274]"
86,"[0.231, 0.228, 0.216, 0.175, 0.355, 0.306, 0.223, 0.212, 0.219, 0.375]"
87,"[0.363, 0.383, 0.367, 0.308, 0.266, 0.214, 0.36, 0.181, 0.344, 0.278]"
88,"[0.232, 0.233, 0.229, 0.176, 0.367, 0.309, 0.229, 0.217, 0.221, 0.39]"
89,"[0.372, 0.389, 0.372, 0.312, 0.274, 0.218, 0.37, 0.212, 0.358, 0.305]"
90,"[0.241, 0.253, 0.26, 0.18, 0.366, 0.305, 0.257, 0.214, 0.229, 0.378]"
91,"[0.372, 0.387, 0.366, 0.3, 0.268, 0.226, 0.371, 0.243, 0.339, 0.309]"
92,"[0.25, 0.315, 0.298, 0.191, 0.365, 0.287, 0.296, 0.199, 0.235, 0.385]"
93,"[0.357, 0.38, 0.364, 0.28, 0.304, 0.259, 0.354, 0.259, 0.368, 0.308]"
94,"[0.261, 0.325, 0.299, 0.218, 0.375, 0.301, 0.316, 0.205, 0.26, 0.414]"
95,"[0.359, 0.384, 0.373, 0.3, 0.339, 0.287, 0.363, 0.261, 0.354, 0.306]"
96,"[0.261, 0.326, 0.304, 0.234, 0.38, 0.31, 0.32, 0.214, 0.281, 0.43]"
97,"[0.375, 0.4, 0.379, 0.321, 0.338, 0.287, 0.381, 0.261, 0.367, 0.291]"
98,"[0.268, 0.326, 0.3, 0.247, 0.385, 0.33, 0.319, 0.238, 0.291, 0.435]"
99,"[0.388, 0.418, 0.384, 0.338, 0.349, 0.289, 0.389, 0.261, 0.383, 0.296]"
