closeness_centrality,[1.]
10,"[tensor(2.1032), tensor(2.0980), tensor(2.1502), tensor(2.1375), tensor(2.1583), tensor(2.2212), tensor(2.1354), tensor(2.1584), tensor(2.1184), tensor(2.1219)]"
11,"[tensor(2.0633), tensor(2.0588), tensor(2.1216), tensor(2.0998), tensor(2.1731), tensor(2.1604), tensor(2.0834), tensor(2.1470), tensor(2.0806), tensor(2.0859)]"
12,"[tensor(2.0362), tensor(2.0059), tensor(2.1136), tensor(2.1171), tensor(2.1415), tensor(2.1428), tensor(2.0602), tensor(2.0925), tensor(2.0520), tensor(2.0496)]"
13,"[tensor(2.0266), tensor(1.9984), tensor(2.0889), tensor(2.0722), tensor(2.1496), tensor(2.0952), tensor(2.0073), tensor(2.0999), tensor(2.0580), tensor(2.0272)]"
14,"[tensor(2.0280), tensor(1.9708), tensor(2.1057), tensor(2.1232), tensor(2.0935), tensor(2.0925), tensor(2.0001), tensor(2.0959), tensor(2.0433), tensor(2.0314)]"
15,"[tensor(2.0104), tensor(2.0219), tensor(2.0693), tensor(2.0407), tensor(2.1157), tensor(2.0912), tensor(1.9933), tensor(2.0740), tensor(2.0830), tensor(2.0306)]"
16,"[tensor(2.0201), tensor(1.9734), tensor(2.0807), tensor(2.0926), tensor(2.0561), tensor(2.0658), tensor(1.9816), tensor(2.1139), tensor(2.0402), tensor(2.0746)]"
17,"[tensor(2.0032), tensor(2.0256), tensor(2.0608), tensor(2.0418), tensor(2.0745), tensor(2.1141), tensor(2.0109), tensor(2.0533), tensor(2.0793), tensor(2.0350)]"
18,"[tensor(2.0220), tensor(1.9751), tensor(2.0638), tensor(2.0703), tensor(2.0366), tensor(2.0468), tensor(1.9963), tensor(2.0987), tensor(2.0293), tensor(2.0738)]"
19,"[tensor(1.9917), tensor(2.0097), tensor(2.0482), tensor(2.0584), tensor(2.0565), tensor(2.1023), tensor(1.9937), tensor(2.0295), tensor(2.0687), tensor(2.0169)]"
20,"[tensor(2.0123), tensor(1.9647), tensor(2.0567), tensor(2.0504), tensor(2.0209), tensor(2.0280), tensor(1.9833), tensor(2.0840), tensor(2.0105), tensor(2.0659)]"
21,"[tensor(1.9753), tensor(1.9851), tensor(2.0294), tensor(2.0583), tensor(2.0394), tensor(2.0886), tensor(1.9739), tensor(2.0090), tensor(2.0530), tensor(1.9940)]"
22,"[tensor(1.9927), tensor(1.9470), tensor(2.0447), tensor(2.0260), tensor(2.0041), tensor(2.0069), tensor(1.9621), tensor(2.0711), tensor(1.9854), tensor(2.0530)]"
23,"[tensor(1.9585), tensor(1.9695), tensor(2.0126), tensor(2.0451), tensor(2.0221), tensor(2.0742), tensor(1.9603), tensor(1.9877), tensor(2.0361), tensor(1.9704)]"
24,"[tensor(1.9771), tensor(1.9285), tensor(2.0263), tensor(2.0037), tensor(1.9898), tensor(1.9874), tensor(1.9414), tensor(2.0573), tensor(1.9627), tensor(2.0383)]"
25,"[tensor(1.9399), tensor(1.9542), tensor(1.9926), tensor(2.0317), tensor(2.0038), tensor(2.0565), tensor(1.9556), tensor(1.9671), tensor(2.0217), tensor(1.9502)]"
26,"[tensor(1.9537), tensor(1.9898), tensor(2.0109), tensor(1.9820), tensor(1.9688), tensor(1.9659), tensor(1.9253), tensor(2.0418), tensor(1.9396), tensor(2.0269)]"
27,"[tensor(1.9838), tensor(1.9161), tensor(1.9728), tensor(2.0216), tensor(1.9847), tensor(2.0396), tensor(1.9625), tensor(1.9467), tensor(2.0064), tensor(1.9756)]"
28,"[tensor(1.9171), tensor(2.0182), tensor(2.0003), tensor(1.9552), tensor(1.9484), tensor(1.9457), tensor(1.9447), tensor(2.0247), tensor(1.9632), tensor(1.9612)]"
29,"[tensor(2.0121), tensor(1.8929), tensor(1.9511), tensor(1.9862), tensor(1.9684), tensor(2.0230), tensor(1.9228), tensor(1.9473), tensor(1.9628), tensor(2.0125)]"
30,"[tensor(1.8959), tensor(2.0073), tensor(1.9732), tensor(1.9754), tensor(1.9382), tensor(1.9394), tensor(1.9790), tensor(2.0050), tensor(1.9933), tensor(1.9187)]"
31,"[tensor(2.0063), tensor(1.8892), tensor(1.9690), tensor(1.9580), tensor(1.9536), tensor(2.0021), tensor(1.9079), tensor(1.9526), tensor(1.9392), tensor(2.0149)]"
32,"[tensor(1.8872), tensor(1.9995), tensor(1.9638), tensor(1.9744), tensor(1.9382), tensor(1.9536), tensor(1.9856), tensor(1.9944), tensor(1.9850), tensor(1.9047)]"
33,"[tensor(2.0028), tensor(1.8846), tensor(1.9602), tensor(1.9532), tensor(1.9507), tensor(1.9908), tensor(1.8933), tensor(1.9481), tensor(1.9271), tensor(2.0107)]"
34,"[tensor(1.8939), tensor(1.9936), tensor(1.9615), tensor(1.9636), tensor(1.9328), tensor(1.9553), tensor(1.9804), tensor(1.9914), tensor(1.9722), tensor(1.9099)]"
35,"[tensor(1.9933), tensor(1.8859), tensor(1.9398), tensor(1.9609), tensor(1.9472), tensor(1.9863), tensor(1.8749), tensor(1.9412), tensor(1.9383), tensor(1.9991)]"
36,"[tensor(1.9064), tensor(1.9863), tensor(1.9781), tensor(1.9417), tensor(1.9191), tensor(1.9536), tensor(1.9778), tensor(1.9912), tensor(1.9535), tensor(1.9313)]"
37,"[tensor(1.9798), tensor(1.8850), tensor(1.9238), tensor(1.9787), tensor(1.9388), tensor(1.9868), tensor(1.8656), tensor(1.9310), tensor(1.9643), tensor(1.9848)]"
38,"[tensor(1.9339), tensor(1.9745), tensor(1.9861), tensor(1.9325), tensor(1.9091), tensor(1.9524), tensor(1.9716), tensor(1.9937), tensor(1.9381), tensor(1.9617)]"
39,"[tensor(1.9601), tensor(1.8846), tensor(1.9116), tensor(1.9931), tensor(1.9389), tensor(1.9866), tensor(1.8568), tensor(1.9250), tensor(1.9880), tensor(1.9610)]"
40,"[tensor(1.9338), tensor(1.9725), tensor(1.9932), tensor(1.9250), tensor(1.8988), tensor(1.9486), tensor(1.9570), tensor(1.9947), tensor(1.9259), tensor(1.9695)]"
41,"[tensor(1.9549), tensor(1.8845), tensor(1.9032), tensor(1.9925), tensor(1.9417), tensor(1.9847), tensor(1.8391), tensor(1.9181), tensor(1.9888), tensor(1.9541)]"
42,"[tensor(1.9359), tensor(1.9550), tensor(1.9910), tensor(1.9223), tensor(1.8929), tensor(1.9424), tensor(1.9468), tensor(1.9915), tensor(1.9204), tensor(1.9760)]"
43,"[tensor(1.9431), tensor(1.9158), tensor(1.8991), tensor(1.9902), tensor(1.9372), tensor(1.9809), tensor(1.8479), tensor(1.9141), tensor(1.9859), tensor(1.9413)]"
44,"[tensor(1.9492), tensor(1.9027), tensor(1.9881), tensor(1.9142), tensor(1.8865), tensor(1.9345), tensor(1.9289), tensor(1.9866), tensor(1.9159), tensor(1.9942)]"
45,"[tensor(1.9147), tensor(1.9549), tensor(1.8947), tensor(1.9895), tensor(1.9364), tensor(1.9773), tensor(1.8740), tensor(1.9153), tensor(1.9878), tensor(1.9220)]"
46,"[tensor(1.9697), tensor(1.8759), tensor(1.9883), tensor(1.9024), tensor(1.8813), tensor(1.9311), tensor(1.8877), tensor(1.9875), tensor(1.8988), tensor(2.0157)]"
47,"[tensor(1.8964), tensor(1.9513), tensor(1.8857), tensor(1.9959), tensor(1.9311), tensor(1.9786), tensor(1.9360), tensor(1.9101), tensor(1.9957), tensor(1.9076)]"
48,"[tensor(1.9710), tensor(1.8658), tensor(1.9917), tensor(1.8898), tensor(1.8748), tensor(1.9254), tensor(1.8630), tensor(1.9870), tensor(1.8854), tensor(2.0194)]"
49,"[tensor(1.8836), tensor(1.9437), tensor(1.8802), tensor(1.9993), tensor(1.9306), tensor(1.9812), tensor(1.9367), tensor(1.9007), tensor(1.9935), tensor(1.8942)]"
50,"[tensor(1.9633), tensor(1.8556), tensor(1.9909), tensor(1.8758), tensor(1.8733), tensor(1.9182), tensor(1.8345), tensor(1.9848), tensor(1.8701), tensor(2.0148)]"
51,"[tensor(1.8653), tensor(1.9347), tensor(1.8726), tensor(1.9989), tensor(1.9298), tensor(1.9810), tensor(1.9242), tensor(1.8859), tensor(1.9828), tensor(1.8802)]"
52,"[tensor(1.9555), tensor(1.8351), tensor(1.9851), tensor(1.8620), tensor(1.8709), tensor(1.9091), tensor(1.8086), tensor(1.9791), tensor(1.8519), tensor(2.0054)]"
53,"[tensor(1.8348), tensor(1.9259), tensor(1.8608), tensor(1.9930), tensor(1.9182), tensor(1.9735), tensor(1.9052), tensor(1.8698), tensor(1.9702), tensor(1.8522)]"
54,"[tensor(1.9454), tensor(1.8159), tensor(1.9743), tensor(1.8437), tensor(1.8585), tensor(1.8950), tensor(1.7851), tensor(1.9685), tensor(1.8203), tensor(1.9914)]"
55,"[tensor(1.7990), tensor(1.9167), tensor(1.8385), tensor(1.9830), tensor(1.9070), tensor(1.9661), tensor(1.8796), tensor(1.8481), tensor(1.9541), tensor(1.8149)]"
56,"[tensor(1.9359), tensor(1.7961), tensor(1.9591), tensor(1.8185), tensor(1.8379), tensor(1.8722), tensor(1.7635), tensor(1.9569), tensor(1.7847), tensor(1.9806)]"
57,"[tensor(1.7767), tensor(1.9050), tensor(1.8114), tensor(1.9712), tensor(1.8896), tensor(1.9530), tensor(1.8374), tensor(1.8181), tensor(1.9389), tensor(1.7852)]"
58,"[tensor(1.9232), tensor(1.7722), tensor(1.9442), tensor(1.7916), tensor(1.8139), tensor(1.8417), tensor(1.7501), tensor(1.9447), tensor(1.7589), tensor(1.9686)]"
59,"[tensor(1.7542), tensor(1.8948), tensor(1.7845), tensor(1.9598), tensor(1.8748), tensor(1.9396), tensor(1.7797), tensor(1.7906), tensor(1.9262), tensor(1.7562)]"
60,"[tensor(1.9107), tensor(1.7454), tensor(1.9344), tensor(1.7722), tensor(1.7904), tensor(1.8119), tensor(1.7344), tensor(1.9308), tensor(1.7371), tensor(1.9576)]"
61,"[tensor(1.7367), tensor(1.8778), tensor(1.7616), tensor(1.9486), tensor(1.8571), tensor(1.9274), tensor(1.7471), tensor(1.7664), tensor(1.9145), tensor(1.7334)]"
62,"[tensor(1.8917), tensor(1.7230), tensor(1.9186), tensor(1.7568), tensor(1.7661), tensor(1.7883), tensor(1.7139), tensor(1.9141), tensor(1.7195), tensor(1.9419)]"
63,"[tensor(1.7222), tensor(1.8579), tensor(1.7434), tensor(1.9318), tensor(1.8381), tensor(1.9123), tensor(1.7200), tensor(1.7440), tensor(1.8983), tensor(1.7145)]"
64,"[tensor(1.8732), tensor(1.6992), tensor(1.9037), tensor(1.7439), tensor(1.7490), tensor(1.7613), tensor(1.7120), tensor(1.8983), tensor(1.7076), tensor(1.9204)]"
65,"[tensor(1.7121), tensor(1.8461), tensor(1.7331), tensor(1.9101), tensor(1.8098), tensor(1.8961), tensor(1.7111), tensor(1.7290), tensor(1.8791), tensor(1.6980)]"
66,"[tensor(1.8612), tensor(1.6767), tensor(1.8849), tensor(1.7281), tensor(1.7302), tensor(1.7487), tensor(1.7054), tensor(1.8758), tensor(1.7034), tensor(1.9043)]"
67,"[tensor(1.7012), tensor(1.8443), tensor(1.7230), tensor(1.8900), tensor(1.7933), tensor(1.8772), tensor(1.7166), tensor(1.7163), tensor(1.8712), tensor(1.6784)]"
68,"[tensor(1.8544), tensor(1.6619), tensor(1.8685), tensor(1.7145), tensor(1.7292), tensor(1.7379), tensor(1.7108), tensor(1.8593), tensor(1.6990), tensor(1.8990)]"
69,"[tensor(1.6839), tensor(1.8429), tensor(1.7180), tensor(1.8776), tensor(1.7688), tensor(1.8623), tensor(1.7360), tensor(1.7097), tensor(1.8727), tensor(1.6647)]"
70,"[tensor(1.8504), tensor(1.6554), tensor(1.8581), tensor(1.6988), tensor(1.7310), tensor(1.7330), tensor(1.7102), tensor(1.8469), tensor(1.6909), tensor(1.8970)]"
71,"[tensor(1.6756), tensor(1.8363), tensor(1.7124), tensor(1.8786), tensor(1.7635), tensor(1.8564), tensor(1.7687), tensor(1.7033), tensor(1.8736), tensor(1.6617)]"
72,"[tensor(1.8427), tensor(1.6553), tensor(1.8572), tensor(1.6910), tensor(1.7223), tensor(1.7235), tensor(1.6964), tensor(1.8458), tensor(1.6854), tensor(1.8943)]"
73,"[tensor(1.6733), tensor(1.8095), tensor(1.7040), tensor(1.8784), tensor(1.7638), tensor(1.8581), tensor(1.7884), tensor(1.6926), tensor(1.8683), tensor(1.6733)]"
74,"[tensor(1.8256), tensor(1.6604), tensor(1.8486), tensor(1.6928), tensor(1.6997), tensor(1.7112), tensor(1.6669), tensor(1.8422), tensor(1.6838), tensor(1.8751)]"
75,"[tensor(1.6659), tensor(1.7910), tensor(1.6970), tensor(1.8697), tensor(1.7867), tensor(1.8495), tensor(1.7799), tensor(1.6808), tensor(1.8535), tensor(1.6818)]"
76,"[tensor(1.8143), tensor(1.6616), tensor(1.8413), tensor(1.6972), tensor(1.6750), tensor(1.6997), tensor(1.6479), tensor(1.8374), tensor(1.6748), tensor(1.8616)]"
77,"[tensor(1.6644), tensor(1.7815), tensor(1.6878), tensor(1.8643), tensor(1.7844), tensor(1.8388), tensor(1.7608), tensor(1.6663), tensor(1.8389), tensor(1.6869)]"
78,"[tensor(1.8055), tensor(1.6499), tensor(1.8337), tensor(1.6964), tensor(1.6637), tensor(1.6857), tensor(1.6374), tensor(1.8267), tensor(1.6679), tensor(1.8498)]"
79,"[tensor(1.6566), tensor(1.7754), tensor(1.6819), tensor(1.8582), tensor(1.7683), tensor(1.8269), tensor(1.7489), tensor(1.6571), tensor(1.8283), tensor(1.6803)]"
80,"[tensor(1.7970), tensor(1.6391), tensor(1.8269), tensor(1.6918), tensor(1.6611), tensor(1.6771), tensor(1.6293), tensor(1.8141), tensor(1.6590), tensor(1.8410)]"
81,"[tensor(1.6496), tensor(1.7725), tensor(1.6725), tensor(1.8584), tensor(1.7542), tensor(1.8171), tensor(1.7392), tensor(1.6445), tensor(1.8215), tensor(1.6692)]"
82,"[tensor(1.7918), tensor(1.6338), tensor(1.8228), tensor(1.6876), tensor(1.6702), tensor(1.6688), tensor(1.6244), tensor(1.8052), tensor(1.6533), tensor(1.8360)]"
83,"[tensor(1.6469), tensor(1.7705), tensor(1.6643), tensor(1.8656), tensor(1.7310), tensor(1.8105), tensor(1.7351), tensor(1.6331), tensor(1.8190), tensor(1.6640)]"
84,"[tensor(1.7875), tensor(1.6302), tensor(1.8185), tensor(1.6852), tensor(1.6993), tensor(1.6608), tensor(1.6207), tensor(1.7949), tensor(1.6516), tensor(1.8321)]"
85,"[tensor(1.6433), tensor(1.7635), tensor(1.6620), tensor(1.8760), tensor(1.6836), tensor(1.8016), tensor(1.7304), tensor(1.6328), tensor(1.8150), tensor(1.6612)]"
86,"[tensor(1.7776), tensor(1.6325), tensor(1.8111), tensor(1.6832), tensor(1.7336), tensor(1.6596), tensor(1.6175), tensor(1.7705), tensor(1.6505), tensor(1.8192)]"
87,"[tensor(1.6507), tensor(1.7533), tensor(1.6574), tensor(1.8775), tensor(1.6779), tensor(1.7887), tensor(1.7135), tensor(1.6304), tensor(1.8033), tensor(1.6629)]"
88,"[tensor(1.7747), tensor(1.6322), tensor(1.8087), tensor(1.6879), tensor(1.7291), tensor(1.6640), tensor(1.6172), tensor(1.7641), tensor(1.6584), tensor(1.8198)]"
89,"[tensor(1.6635), tensor(1.7537), tensor(1.6599), tensor(1.8774), tensor(1.6722), tensor(1.7811), tensor(1.7176), tensor(1.6318), tensor(1.8053), tensor(1.6703)]"
90,"[tensor(1.7778), tensor(1.6322), tensor(1.8063), tensor(1.6934), tensor(1.7233), tensor(1.6690), tensor(1.6292), tensor(1.7641), tensor(1.6716), tensor(1.8259)]"
91,"[tensor(1.6637), tensor(1.7554), tensor(1.6656), tensor(1.8755), tensor(1.6718), tensor(1.7774), tensor(1.7245), tensor(1.6402), tensor(1.8080), tensor(1.6687)]"
92,"[tensor(1.7733), tensor(1.6322), tensor(1.8031), tensor(1.6948), tensor(1.7260), tensor(1.6745), tensor(1.6232), tensor(1.7663), tensor(1.6731), tensor(1.8258)]"
93,"[tensor(1.6650), tensor(1.7525), tensor(1.6701), tensor(1.8739), tensor(1.6740), tensor(1.7771), tensor(1.7312), tensor(1.6477), tensor(1.8041), tensor(1.6685)]"
94,"[tensor(1.7707), tensor(1.6308), tensor(1.8013), tensor(1.6946), tensor(1.7285), tensor(1.6775), tensor(1.6238), tensor(1.7663), tensor(1.6729), tensor(1.8210)]"
95,"[tensor(1.6623), tensor(1.7531), tensor(1.6721), tensor(1.8665), tensor(1.6801), tensor(1.7760), tensor(1.7357), tensor(1.6560), tensor(1.8012), tensor(1.6639)]"
96,"[tensor(1.7710), tensor(1.6250), tensor(1.8001), tensor(1.6896), tensor(1.7300), tensor(1.6757), tensor(1.6161), tensor(1.7670), tensor(1.6649), tensor(1.8199)]"
97,"[tensor(1.6492), tensor(1.7542), tensor(1.6683), tensor(1.8627), tensor(1.6835), tensor(1.7789), tensor(1.7351), tensor(1.6532), tensor(1.7987), tensor(1.6532)]"
98,"[tensor(1.7724), tensor(1.6181), tensor(1.7973), tensor(1.6807), tensor(1.7305), tensor(1.6689), tensor(1.6074), tensor(1.7676), tensor(1.6463), tensor(1.8197)]"
99,"[tensor(1.6368), tensor(1.7517), tensor(1.6592), tensor(1.8596), tensor(1.6839), tensor(1.7793), tensor(1.7353), tensor(1.6380), tensor(1.7963), tensor(1.6436)]"
