eigenvector_centrality,"[0, 3, 33, 15, 24, 31, 19, 48, 8, 39]"
0,"[tensor(0.0115, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1')]"
1,"[tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0115, device='cuda:1')]"
2,"[tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0113, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0113, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0116, device='cuda:1')]"
3,"[tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0113, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0115, device='cuda:1')]"
4,"[tensor(0.0114, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0112, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0115, device='cuda:1')]"
5,"[tensor(0.0114, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0113, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0113, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0113, device='cuda:1'), tensor(0.0113, device='cuda:1'), tensor(0.0113, device='cuda:1'), tensor(0.0113, device='cuda:1'), tensor(0.0115, device='cuda:1')]"
6,"[tensor(0.0114, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0113, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0113, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0113, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0113, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0113, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0113, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0113, device='cuda:1'), tensor(0.0113, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0113, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0115, device='cuda:1'), tensor(0.0113, device='cuda:1'), tensor(0.0111, device='cuda:1'), tensor(0.0113, device='cuda:1'), tensor(0.0113, device='cuda:1'), tensor(0.0114, device='cuda:1')]"
7,"[tensor(0.0114, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0113, device='cuda:1'), tensor(0.0113, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0113, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0113, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0113, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0113, device='cuda:1'), tensor(0.0113, device='cuda:1'), tensor(0.0113, device='cuda:1'), tensor(0.0112, device='cuda:1'), tensor(0.0113, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0113, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0112, device='cuda:1'), tensor(0.0113, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0113, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0113, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0113, device='cuda:1'), tensor(0.0113, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0112, device='cuda:1'), tensor(0.0113, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0113, device='cuda:1'), tensor(0.0112, device='cuda:1'), tensor(0.0112, device='cuda:1'), tensor(0.0113, device='cuda:1'), tensor(0.0114, device='cuda:1')]"
8,"[tensor(0.0113, device='cuda:1'), tensor(0.0113, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0113, device='cuda:1'), tensor(0.0113, device='cuda:1'), tensor(0.0113, device='cuda:1'), tensor(0.0113, device='cuda:1'), tensor(0.0113, device='cuda:1'), tensor(0.0113, device='cuda:1'), tensor(0.0112, device='cuda:1'), tensor(0.0112, device='cuda:1'), tensor(0.0113, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0112, device='cuda:1'), tensor(0.0113, device='cuda:1'), tensor(0.0113, device='cuda:1'), tensor(0.0112, device='cuda:1'), tensor(0.0113, device='cuda:1'), tensor(0.0113, device='cuda:1'), tensor(0.0113, device='cuda:1'), tensor(0.0113, device='cuda:1'), tensor(0.0113, device='cuda:1'), tensor(0.0112, device='cuda:1'), tensor(0.0112, device='cuda:1'), tensor(0.0112, device='cuda:1'), tensor(0.0113, device='cuda:1'), tensor(0.0112, device='cuda:1'), tensor(0.0113, device='cuda:1'), tensor(0.0112, device='cuda:1'), tensor(0.0113, device='cuda:1'), tensor(0.0112, device='cuda:1'), tensor(0.0112, device='cuda:1'), tensor(0.0113, device='cuda:1'), tensor(0.0111, device='cuda:1'), tensor(0.0113, device='cuda:1'), tensor(0.0112, device='cuda:1'), tensor(0.0112, device='cuda:1'), tensor(0.0113, device='cuda:1'), tensor(0.0113, device='cuda:1'), tensor(0.0112, device='cuda:1'), tensor(0.0112, device='cuda:1'), tensor(0.0113, device='cuda:1'), tensor(0.0112, device='cuda:1'), tensor(0.0113, device='cuda:1'), tensor(0.0113, device='cuda:1'), tensor(0.0110, device='cuda:1'), tensor(0.0112, device='cuda:1'), tensor(0.0112, device='cuda:1'), tensor(0.0113, device='cuda:1')]"
9,"[tensor(0.0113, device='cuda:1'), tensor(0.0112, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0113, device='cuda:1'), tensor(0.0112, device='cuda:1'), tensor(0.0112, device='cuda:1'), tensor(0.0112, device='cuda:1'), tensor(0.0112, device='cuda:1'), tensor(0.0112, device='cuda:1'), tensor(0.0111, device='cuda:1'), tensor(0.0112, device='cuda:1'), tensor(0.0112, device='cuda:1'), tensor(0.0112, device='cuda:1'), tensor(0.0113, device='cuda:1'), tensor(0.0111, device='cuda:1'), tensor(0.0113, device='cuda:1'), tensor(0.0112, device='cuda:1'), tensor(0.0112, device='cuda:1'), tensor(0.0113, device='cuda:1'), tensor(0.0113, device='cuda:1'), tensor(0.0112, device='cuda:1'), tensor(0.0113, device='cuda:1'), tensor(0.0112, device='cuda:1'), tensor(0.0111, device='cuda:1'), tensor(0.0112, device='cuda:1'), tensor(0.0111, device='cuda:1'), tensor(0.0111, device='cuda:1'), tensor(0.0111, device='cuda:1'), tensor(0.0112, device='cuda:1'), tensor(0.0112, device='cuda:1'), tensor(0.0113, device='cuda:1'), tensor(0.0111, device='cuda:1'), tensor(0.0111, device='cuda:1'), tensor(0.0113, device='cuda:1'), tensor(0.0112, device='cuda:1'), tensor(0.0112, device='cuda:1'), tensor(0.0114, device='cuda:1'), tensor(0.0112, device='cuda:1'), tensor(0.0112, device='cuda:1'), tensor(0.0112, device='cuda:1'), tensor(0.0112, device='cuda:1'), tensor(0.0113, device='cuda:1'), tensor(0.0111, device='cuda:1'), tensor(0.0112, device='cuda:1'), tensor(0.0112, device='cuda:1'), tensor(0.0111, device='cuda:1'), tensor(0.0111, device='cuda:1'), tensor(0.0111, device='cuda:1'), tensor(0.0112, device='cuda:1'), tensor(0.0112, device='cuda:1')]"
